KNM        MB 29100   Vm1stv
10.5368    14.2933    4.006
10.6488    14.3646    3.9324
10.706     14.4468    3.8786
10.8549    14.5298    3.7929




















































































































































































11.3389    10.5051    5.3354     L-ALV
11.5655    10.5325    5.2397
11.7164    10.6084    5.2489
11.8979    10.6975    5.1433
12.0262    10.826     5.1145
12.1365    10.9523    5.1497
12.2867    11.0848    5.0879
12.4234    11.232     5.0351
12.5695    11.5111    4.9622
12.5933    11.6415    4.944
12.7111    11.7548    4.8154
12.7563    11.9108    4.7902
12.8215    12.1071    4.6151
12.8882    12.2502    4.5572
12.9581    12.3912    4.4547
13.0153    12.5467    4.3744
13.0984    12.6736    4.2249
13.1241    12.7996    4.1549
