AMNH       163082     Sep1stv
























































2.6915     9.7942     8.3397     LORBIT
2.8375     9.84       8.3354
2.9705     9.8686     8.3336
3.1085     9.9282     8.35
3.3158     9.9748     8.411
3.4989     10.037     8.5534
3.6103     10.0673    8.7288
3.7721     10.0736    8.93
3.7851     10.1287    9.0993
3.8286     10.1249    9.4701
3.835      10.0917    9.7288
3.7675     9.9869     9.9293
3.6467     9.8563     10.1093
3.5205     9.7511     10.2766
3.3942     9.7341     10.3145
3.2383     9.6549     10.3988
3.0623     9.5545     10.4456
2.8284     9.4442     10.4449
2.5674     9.3253     10.4277
2.3266     9.2122     10.3931
2.1344     9.1378     10.3465
1.864      9.1253     10.2382
1.6153     9.1717     10.0953
1.5274     9.2808     9.8988
1.4913     9.4162     9.7357
1.4609     9.559      9.5611
1.4419     9.6041     9.5206













































































































































































-2.3911    10.6687    9.9091     RTEMFOS
-2.4107    10.6645    9.7373
-2.428     10.621     9.5097
-2.4656    10.6059    9.3354
-2.4806    10.5414    9.2065
-2.4851    10.5416    9.0863
-2.4799    10.5636    8.8911
-2.4899    10.5742    8.6809
-2.4961    10.5776    8.5155
-2.5143    10.6474    8.2598
-2.5488    10.7414    8.104
-2.5733    10.8289    7.9644
-2.6262    10.9864    7.8456
-2.6769    11.1631    7.784
-2.6854    11.2293    7.7601
-2.6944    11.3848    7.7547
























































































































































































4.2177     10.472     9.9853     LTEMFOS
4.2619     10.4107    9.7909
4.3061     10.3782    9.6342
4.3434     10.3579    9.4565
4.3621     10.371     9.2726
4.3916     10.4078    9.0529
4.4192     10.4456    8.8964
4.4461     10.4779    8.7297
4.4691     10.5105    8.5757
4.4964     10.5912    8.4427
4.5509     10.7156    8.3041
4.5907     10.8206    8.201
4.6272     10.9146    8.1388
4.664      11.0662    8.0955
4.7053     11.1601    8.0889
4.7246     11.2388    8.087
4.7303     11.3433    8.1072























































































































































































1.0692     9.252      11.7677    OP
1.1057     10.7495    11.8125    BA
1.3335     13.952     10.7108    ST
1.5089     16.6446    10.3225    IV
