KNM        ER 1485    Rht2stv
11.3314    9.3984     9.6147     LORBIT
11.5195    9.2739     9.5765
11.7787    9.2488     9.5287
12.0187    9.2105     9.6681
12.1993    9.2183     9.7662
12.3215    9.2192     9.8519
12.476     9.2242     9.9572
12.577     9.2943     10.0394
12.74      9.3457     10.1472
12.8661    9.3734     10.3129
12.9859    9.4025     10.4847
13.0692    9.3842     10.6394
13.1135    9.3864     10.8044
13.1746    9.3958     10.9351
13.2092    9.4753     11.1912
13.2313    9.5349     11.3155
13.2241    9.5613     11.4304
13.1665    9.4796     11.6609
13.1096    9.4983     11.8233
12.9643    9.5742     11.968
12.8828    9.6162     12.0631
12.6981    9.6963     12.163
12.5882    9.758      12.2209
12.4232    9.7851     12.3032
12.2677    9.8362     12.4322
11.953     9.9692     12.4522
11.6195    10.1112    12.4449
11.4665    10.1427    12.4222
11.2936    10.2072    12.3661
11.0836    10.3197    12.2685
10.9399    10.3852    12.1559
10.7432    10.3991    11.9822
10.7064    10.4429    11.7786
10.6542    10.4767    11.5614
10.583     10.4778    11.4147
10.6408    10.5133    11.2475
10.6949    10.5267    11.0893
10.7012    10.5373    10.9562
10.7023    10.5397    10.8974

































































































































































9999       9999       9999       RTEMFOS







































































































































































































14.1072    8.8952     10.7736    LTEMFOS
14.0735    8.7986     10.5699
14.0256    8.6794     10.3894
13.9878    8.5923     10.1782
13.9531    8.5096     9.9991
13.8937    8.4643     9.8613
13.8458    8.374      9.6461
13.7626    8.2858     9.4818
13.7039    8.2379     9.3142
13.655     8.1726     9.1175
13.616     8.0552     8.8723
13.5966    8.1268     8.7579
13.605     8.0934     8.5848
13.6278    8.0882     8.4283
13.6455    8.0887     8.238
13.8821    8.2588     8.2029
14.0065    8.3495     8.2159























































































































































































7.1758     8.0383     8.0296     OP
8.7934     9.6555     8.0966     BA
12.3354    13.5501    6.1399     ST
15.1344    16.4382    5.542      IV
6.6259     13.0538    7.7167     R_PG
9999       9999       9999       R_ZTI
11.5366    15.4464    7.1053     R_M3D
12.7471    17.1699    7.0834     R_M12
14.4691    18.2296    5.8709     R_MP3
15.289     18.5293    5.4572     R_PMI
12.0537    8.0177     7.4993     L_PG
14.4812    8.8821     6.0271     L_ZTI
14.1259    12.6412    7.125      L_M3D
16.1207    14.0701    6.8297     L_M12
17.1467    15.6149    5.7622     L_MP3
17.1212    16.363     5.0649     L_PMI
17.3896    17.8971    6.5688     O1
8.5303     14.1337    2.3423     O2
13.7216    7.8892     5.705      O3
6.2193     6.3697     5.4066     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































16.0138    12.4677    5.6557     LZYGINF
16.0507    12.2232    5.6482
16.0495    12.0373    5.59
16.0918    11.8651    5.5736
16.0374    11.699     5.6608
16.0682    11.5371    5.6605
16.0566    11.3184    5.7555
15.9903    11.125     5.7864
15.9175    10.952     5.822
15.8214    10.7804    5.8474
15.7304    10.5957    5.8879
15.6607    10.4648    5.9119
15.5165    10.3108    5.9763
15.4053    10.2519    6.0148
15.3094    10.065     6.062
15.1615    9.8173     5.9977
14.898     9.6109     6.0458
14.7568    9.4746     6.1017
14.6471    9.3088     6.1069
14.5326    9.2043     6.0787
14.4215    8.9934     6.0654
14.4036    8.8937     6.0515
14.3927    8.8269     6.0483
14.3391    8.7559     6.0677
















































































































































































11.5499    15.2367    7.2278     R-ALV
11.5661    15.442     7.1251
11.6545    15.6381    7.088
11.9444    16.1976    7.0608
12.0844    16.4723    7.1185
12.2854    16.7041    7.1848
12.4736    16.9483    7.1445
12.7276    17.2092    7.0279
12.9813    17.4201    7.0374
13.1981    17.5977    6.935
13.3614    17.655     6.6554
13.6685    17.7938    6.4632
13.8181    17.8591    6.3313
14.0569    18.0186    6.2402
