NMNH       240885     Tg11stv
13.3696    10.0427    7.994
13.4492    10.0002    7.854
13.5456    10.0277    7.6424
13.5889    10.0442    7.4566
13.6332    10.0861    7.2876













































































































































9.6538     14.6662    13.8898    SUPORB
9.6774     14.6071    14.0655
9.6772     14.4673    14.2702
9.7413     14.3364    14.4543
9.7636     14.1634    14.6705
9.7344     13.9617    14.7683
9.7332     13.7943    14.7677
9.7179     13.6543    14.764
9.6386     13.5027    14.7472
9.589      13.2641    14.7072
9.5573     13.078     14.711
9.6016     12.9251    14.7176
9.6467     12.7181    14.7333
9.6732     12.5574    14.7366
9.6672     12.384     14.689
9.729      12.1828    14.6795
9.8187     11.9774    14.6553
9.8871     11.77      14.6241
9.9882     11.5922    14.6029
10.0831    11.437     14.5771
10.1406    11.3281    14.5792
10.2722    11.1274    14.5321
10.3196    10.9429    14.4841
10.431     10.8748    14.4898
10.5567    10.7311    14.4935
10.7032    10.5941    14.5066
10.8765    10.4152    14.5478
11.0936    10.2468    14.6108
11.2819    10.1111    14.6798
11.4534    10.0342    14.7241
11.6918    9.8567     14.797
11.9433    9.8273     14.8522
12.2538    9.7842     14.9065
12.473     9.7645     14.9597
12.7447    9.708      14.9826
13.0146    9.7469     15.0101
13.2516    9.7601     15.086
13.526     9.8027     15.0694
13.7075    9.7116     15.0498
13.9579    9.6606     14.9324
14.1004    9.652      14.8372
14.2362    9.6533     14.6734
14.3659    9.7165     14.5936
14.542     9.7355     14.4909




























































































































































10.3879    12.6637    12.0474    RORBIT
10.2651    12.894     12.0691
10.1859    13.1271    12.1356
10.1056    13.3269    12.2253
10.0694    13.4485    12.3435
10.021     13.5767    12.4509
9.9256     13.753     12.7283
9.896      13.829     12.8929
9.8474     13.8777    13.0851
9.7725     13.884     13.2881
9.7224     13.8307    13.4861
9.5648     13.7358    13.6514
9.5336     13.4635    13.7753
9.3718     13.179     13.8313
9.2794     12.9836    13.8733
9.2348     12.7696    13.9066
9.2909     12.6108    13.8647
9.4346     12.326     13.8178
9.5257     12.0936    13.7994
9.6822     11.8683    13.8058
9.8338     11.6474    13.953
10.1822    11.3275    14.0139
10.3561    11.3043    13.9388
10.5246    11.2568    13.8466
10.6808    11.3572    13.6471
10.7771    11.3736    13.4895
10.8918    11.3649    13.3081
10.8883    11.3958    13.2539












































































































































































12.8699    10.0622    12.2451    LORBIT
13.0787    9.9421     12.2445
13.2297    9.9294     12.3717
13.3778    9.8637     12.4502
13.561     9.8262     12.6548
13.6971    9.7193     12.7904
13.7402    9.7752     12.9446
13.802     9.7085     13.1372
13.8427    9.6864     13.2422
13.8447    9.7194     13.4862
13.8982    9.5526     13.6564
13.8366    9.5153     13.8784
13.6989    9.4791     14.0041
13.6526    9.4005     14.0854
13.4902    9.3458     14.1515
13.2542    9.3317     14.1423
13.0393    9.297      14.1352
12.7468    9.3022     14.1234
12.5279    9.3987     14.0845
12.3004    9.4752     14.0565
12.1258    9.4457     14.0573
11.9538    9.4933     14.0738
11.7511    9.7086     14.0461
11.5674    9.9936     14.0336
11.4211    10.1878    14.0226
11.3269    10.3385    13.9794
11.2837    10.4796    13.8944
11.2315    10.5671    13.8283
11.2143    10.6354    13.6902
11.2729    10.7148    13.5069
11.3203    10.7982    13.3363
11.3903    10.8172    13.198








































































































































































9.6683     14.603     14.0584    RTEMFOS
9.652      14.674     13.8788
9.6396     14.7178    13.7364
9.6704     14.815     13.5693
9.6466     14.8498    13.4303
9.6319     14.8729    13.3142
9.6326     14.9389    13.1298
9.6514     14.9695    13.0006
9.6345     14.9702    12.8587
9.6732     15.008     12.6416
9.6415     14.9863    12.4467
9.641      15.0009    12.3139
9.6046     14.9732    12.1139
9.6268     15.0173    11.9271
9.6756     15.076     11.7219
9.6312     15.1461    11.5557
9.6303     15.2467    11.3567
9.6787     15.465     11.2032
9.6997     15.5989    11.1102
9.76       15.782     11.0286
9.7678     15.9556    11.0231
9.7522     16.0742    11.0043
9.8546     16.3347    11.064
9.8969     16.3896    11.0535
9.8908     16.4568    11.0671















































































































































































14.6057    9.6633     14.3808    LTEMFOS
14.7364    9.7079     14.1924
14.8275    9.713      13.9983
14.8818    9.6962     13.8206
14.9484    9.6238     13.5207
14.9961    9.6195     13.3865
15.0145    9.5875     13.2358
15.0685    9.5616     13.0789
15.0581    9.5344     12.9293
15.0723    9.516      12.7621
15.1202    9.5076     12.541
15.1347    9.4907     12.3984
15.1515    9.5179     12.3023
15.176     9.484      12.1336
15.2739    9.5104     11.9517
15.3495    9.5092     11.8325
15.4373    9.5531     11.7467
15.5263    9.5493     11.6496
15.6345    9.5492     11.5029
15.7359    9.6562     11.4875
15.8683    9.7199     11.4346
16.0641    9.6679     11.3411
16.3719    9.6986     11.2153

















































































































































































9.5741     9.2116     12.5108    OP
10.9977    10.5262    12.8813    BA
14.2122    13.727     13.002     ST
17.9613    17.5128    13.5077    IV
8.2962     13.5499    12.4819    R_PG
8.8236     15.9957    11.5384    R_ZTI
13.0036    15.3755    14.1508    R_M3D
14.4429    17.3131    14.1384    R_M12
16.2199    18.505     13.8952    R_MP3
17.893     19.0149    13.427     R_PMI
13.9102    7.9212     12.9802    L_PG
16.2118    8.2407     12.5694    L_ZTI
15.7354    12.8538    14.4177    L_M3D
17.4932    14.352     14.6339    L_M12
18.9532    16.0333    14.2118    L_MP3
19.4853    17.5769    13.782     L_PMI
20.007     18.3199    14.2086    O1
12.6353    15.0856    6.8382     O2
16.3248    8.1341     11.7221    O3
9.0586     7.642      9.7697     O4




















































































































































































12.4691    17.1308    11.9101    RZYGINF
12.2452    17.1364    11.7408
12.0596    17.1106    11.5992
11.8197    17.0862    11.532
11.5342    17.11      11.5341
11.2505    17.1698    11.4805
10.9122    17.0313    11.5172
10.5852    16.9751    11.5285
10.3675    16.9777    11.5309
10.0963    16.8653    11.5087
9.875      16.7442    11.5044
9.719      16.6191    11.4858
9.5787     16.5452    11.4674
9.3697     16.3946    11.4743
9.2394     16.2937    11.4894
9.094      16.1629    11.5285
8.9117     16.0551    11.5261
8.8161     15.9877    11.5003






















































































































































































9999       9999       9999       LZYGINF







































































































































































































12.9278    15.3964    14.0532    R-ALV
12.9461    15.6903    14.1018
13.0896    15.8752    14.0377
13.2074    16.0883    14.0561
13.3973    16.347     14.1563
13.5273    16.5111    14.1961
13.6817    16.7462    14.1795
13.7867    16.8895    14.1161
14.0622    17.1903    14.0828
14.2531    17.2371    14.0641
14.4723    17.389     14.073
14.71      17.6137    14.0454
14.869     17.734     14.0949
15.0203    17.8393    14.0656
15.2541    17.9748    14.0281
15.4655    18.0245    14.0761
15.6351    18.0682    14.093
15.8676    18.3167    14.0981
15.9362    18.3692    14.0441
16.0517    18.449     13.9802
16.1655    18.5363    13.8772
16.2984    18.6521    13.759


















































































































































































15.5831    12.8366    14.3524    L-ALV
15.9487    12.9585    14.4751
16.1415    13.0627    14.4928
16.364     13.198     14.5591
16.5996    13.3978    14.6341
16.8267    13.6019    14.69
17.0481    13.8506    14.679
17.2619    14.0466    14.6594
17.4771    14.3244    14.6341
17.665     14.4891    14.6114
17.904     14.7931    14.5802
18.0165    14.9121    14.5688
18.1319    15.0498    14.4826
18.2164    15.2364    14.4792
18.3913    15.4624    14.4997
18.5479    15.6927    14.4609
18.6789    15.8651    14.4348
18.8072    15.9986    14.3674
18.9027    16.0697    14.2553
