NMNH       305107     Tg8stv
10.6852    11.6641    14.3111
10.8428    11.6088    14.2571
11.0025    11.3958    14.3593
11.2742    11.3206    14.3791
11.4908    11.2016    14.3374
11.6585    11.1697    14.232
11.7596    11.2101    14.0727
11.8642    11.3037    13.9254
11.9236    11.2652    13.7979
12.0037    11.3177    13.5899











































































































































































13.8167    10.4112    12.7104    LORBIT
14.0519    10.2953    12.7149
14.1821    10.2362    12.734
14.3244    10.1936    12.7185
14.4571    10.113     12.7671
14.5876    10.0647    12.823
14.6737    10.0946    12.9208
14.8176    10.0312    12.9876
14.95      10.0381    13.123
15.1654    10.0083    13.2411
15.2427    10.1005    13.4516
15.2297    10.1253    13.659
15.2569    10.041     13.8751
15.1827    9.9841     14.043
15.0517    9.8118     14.3139
14.8323    9.8247     14.349
14.5353    9.7026     14.4415
14.2382    9.7354     14.4348
13.9302    9.8335     14.4056
13.7021    9.9436     14.3651
13.5077    10.0746    14.328
13.1448    10.1973    14.414
12.9119    10.404     14.4805
12.7229    10.5711    14.4688
12.5363    10.6768    14.3687
12.5783    10.7482    14.1731
12.6249    10.8239    13.8879
12.6331    10.8967    13.7099
12.7078    10.919     13.6096
12.8048    10.9799    13.491










































































































































































10.4306    14.0795    14.9399    RTEMFOS
10.4116    14.198     14.7604
10.3355    14.3624    14.579
10.2542    14.3902    14.3913
10.2358    14.4998    14.1889
10.1991    14.5228    14.0801
10.1804    14.5762    13.9457
10.1188    14.6268    13.7354
10.1084    14.6953    13.5628
10.054     14.709     13.4295
10.0578    14.7867    13.2022
10.0262    14.8538    12.9901
10.0097    14.8977    12.8035
9.9836     14.8831    12.6568
9.9843     14.9182    12.4771
9.9886     14.9218    12.2889
9.95       14.9354    12.1279
9.9536     15.029     11.9714
9.9687     15.1709    11.8286
10.018     15.3512    11.7244
9.9435     15.552     11.6237
10.0163    15.782     11.6474
10.0045    15.9062    11.6262
10.059     16.056     11.6723
















































































































































































15.6994    10.1949    15.0333    LTEMFOS
15.8509    10.1315    14.8575
15.9403    10.1143    14.6982
16.1034    10.0658    14.4758
16.2187    10.0116    14.2553
16.3115    9.9662     14.0671
16.4222    9.9708     13.8794
16.4843    9.948      13.6814
16.552     9.9217     13.481
16.594     9.9154     13.2844
16.6422    9.8743     12.9526
16.6146    9.8418     12.7658
16.6476    9.891      12.5542
16.6314    9.8454     12.3417
16.6317    9.8304     12.1722
16.7312    9.8618     12.0121
16.8292    9.9169     11.8283
16.9614    9.965      11.7289
17.1627    10.0532    11.6391
17.3017    10.104     11.6565
17.4686    10.1732    11.6642
17.6349    10.2331    11.6776
17.7578    10.3091    11.7128

















































































































































































9.5915     8.2717     12.0776    OP
10.7559    9.7295     12.2739    BA
13.7384    13.1177    12.308     ST
16.8272    17.1344    12.9137    IV
7.9197     12.3633    11.6678    R_PG
8.3964     14.7916    10.5546    R_ZTI
12.1888    14.9211    13.3118    R_M3D
13.6837    17.0659    13.3417    R_M12
15.4333    18.6699    13.305     R_MP3
16.8134    19.2957    13.227     R_PMI
13.5574    7.1221     12.6557    L_PG
16.1354    7.8756     12.1629    L_ZTI
15.1958    12.4364    14.1534    L_M3D
17.0418    14.2947    14.2987    L_M12
18.4183    16.2314    14.0765    L_MP3
18.8335    17.777     13.6629    L_PMI
18.726     18.0844    12.6185    O1
12.376     13.8951    5.9886     O2
15.9554    7.3447     11.3905    O3
9.5222     6.1141     9.074      O4




















































































































































































11.3276    16.078     11.0677    RZYGINF
11.2001    16.1097    10.9582
10.9361    16.0905    10.9403
10.6002    16.0282    10.9914
10.4502    15.9111    11.0262
10.3259    15.8389    11.0027
10.1861    15.7712    10.9883
10.0903    15.7036    10.979
9.9236     15.6322    10.9477
9.7918     15.5765    10.9325
9.6633     15.5483    10.9183
9.5169     15.4719    10.8983
9.3856     15.383     10.8979
9.203      15.3009    10.8205
9.041      15.2135    10.743
8.897      15.1242    10.689
8.809      15.0158    10.68
8.7124     14.9371    10.708
8.5938     14.8432    10.7201
8.5179     14.8334    10.6704
8.4195     14.8601    10.5868
8.3301     14.8404    10.4819


















































































































































































16.904     11.4009    12.4031    LZYGINF
16.9998    11.214     12.3107
16.979     10.9914    12.291
17.0064    10.8116    12.3231
16.9617    10.6038    12.3757
16.9839    10.4012    12.4242
16.9285    10.2783    12.4625
16.8798    10.0957    12.483
16.8085    9.9154     12.4965
16.7428    9.727      12.4938
16.6877    9.5497     12.4847
16.5754    9.308      12.4501
16.5155    9.1599     12.448
16.4159    8.9738     12.4094
16.3113    8.7662     12.3286
16.2048    8.6491     12.3037
16.1047    8.4736     12.3225
16.0515    8.3279     12.3278
15.997     8.1391     12.3058
16.077     8.0565     12.2583
16.1152    7.9367     12.1211



















































































































































































12.0709    14.8744    13.3519    R-ALV
12.1481    15.1087    13.3099
12.1871    15.3834    13.278
12.2565    15.5844    13.2851
12.3396    15.7592    13.3121
12.4701    15.9697    13.3247
12.5813    16.1136    13.3268
12.7405    16.2926    13.3643
12.8552    16.4352    13.3538
12.996     16.5994    13.3741
13.121     16.7184    13.3827
13.3844    16.9531    13.375
13.5779    17.0474    13.3518
13.7476    17.2544    13.3131
13.9718    17.4476    13.3128
14.1944    17.676     13.4088
14.5095    17.8288    13.4191
14.6955    18.0157    13.4421
14.8394    18.1458    13.4838
15.0069    18.3069    13.5073
15.1106    18.4442    13.5016
15.2781    18.625     13.3836


















































































































































































15.2227    12.4271    14.141     L-ALV
15.4853    12.509     14.1831
15.7849    12.7105    14.2569
15.9518    12.8911    14.2783
16.1472    13.0429    14.3205
16.3477    13.2947    14.2645
16.4992    13.4901    14.2677
16.6877    13.7088    14.2623
16.8664    13.9346    14.2441
16.9961    14.1504    14.2646
17.0963    14.3707    14.282
17.286     14.6339    14.2958
17.4243    14.8379    14.2953
17.5723    15.0351    14.3256
17.6397    15.2829    14.2482
17.7221    15.5238    14.3012
17.9175    15.7933    14.2382
18.0597    15.9411    14.2235
18.1725    16.0462    14.2003
18.3482    16.2218    14.1311
