UCB LHES   108        Tg5stv
6.15309    6.09309    10.00086
6.26311    6.03677    9.91473
6.38163    5.97735    9.83211
6.53052    5.96277    9.57457
6.63785    6.02051    9.30722
6.72691    6.04792    9.10986
6.84376    6.0661     8.92008
6.9009     6.01629    8.70747
6.94125    6.00434    8.59306
7.01496    5.97696    8.47079
7.12068    5.96365    8.30518
7.15161    5.96107    8.20995
7.22232    5.91936    8.09712
7.31091    5.87009    7.94445
7.42837    5.79851    7.79485
7.52972    5.74126    7.67254
7.60759    5.66826    7.58499
7.72398    5.6219     7.49978
7.89466    5.54033    7.40366
7.96392    5.53418    7.3391
8.01587    5.49344    7.16112
8.06804    5.49999    6.99665
8.0743     5.49794    6.78551
8.06987    5.54561    6.62737












































































































































4.71072    10.67793   13.95513   SUPORB
4.63485    10.58326   14.19274
4.60125    10.46568   14.28858
4.5754     10.30687   14.35868
4.6033     10.17426   14.45405
4.60437    10.04729   14.48851
4.63527    9.9013     14.54443
4.664      9.76533    14.60537
4.72808    9.63948    14.65775
4.70003    9.41834    14.69723
4.73035    9.27637    14.72366
4.7882     9.09893    14.78879
4.8619     8.9414     14.82694
4.94661    8.79092    14.84355
5.03843    8.692      14.86967
5.16348    8.55442    14.89847
5.21727    8.41276    14.88719
5.24569    8.26995    14.88482
5.30943    8.13338    14.85989
5.36471    7.98119    14.85021
5.42428    7.89493    14.84298
5.4911     7.74879    14.80881
5.6445     7.57089    14.75985
5.79729    7.4428     14.76424
5.94473    7.34034    14.7777
5.97833    7.23315    14.7772
6.06095    7.16743    14.76
6.12778    7.09258    14.79451
6.2031     7.04784    14.79322
6.29656    6.97155    14.81291
6.40029    6.88981    14.83739
6.53582    6.81105    14.88131
6.63537    6.77855    14.89136
6.73405    6.7731     14.91066
6.81036    6.64859    14.94842
6.91703    6.58561    14.9616
7.01683    6.52416    14.9812
7.08234    6.48003    14.99403
7.21451    6.47269    15.01677
7.3466     6.44422    15.03899
7.47502    6.40736    15.04187
7.59202    6.34836    15.04395
7.86334    6.31048    15.00272
7.97412    6.22367    14.97774
8.04656    6.14597    14.96527
8.23131    6.12608    14.94893
8.3782     6.05939    14.90622
8.52306    6.0351     14.87389
8.68021    5.99771    14.83581
8.82318    5.98814    14.7782
8.98144    5.97854    14.71246
9.1268     6.0521     14.69408
9.27972    6.1202     14.7161
9.39423    6.14239    14.64459
9.51161    6.14295    14.59349
9.61731    6.1722     14.50946
9.64192    6.28208    14.32453
9.75168    6.31172    14.15306














































































































































5.21671    8.87087    11.88418   RORBIT
5.13744    9.05978    11.90637
5.06294    9.19178    11.91567
4.97208    9.37618    11.94351
4.89806    9.4875     11.96175
4.84525    9.63728    12.02341
4.81939    9.77421    12.10674
4.79074    9.82897    12.16932
4.78717    9.92815    12.29864
4.77034    10.01406   12.37041
4.73012    10.09315   12.51192
4.71997    10.16611   12.77301
4.67966    10.20363   13.01118
4.65688    10.20091   13.24388
4.63161    10.11792   13.44147
4.59264    10.05358   13.57366
4.51661    9.96634    13.68631
4.45529    9.83685    13.78189
4.42749    9.68655    13.81752
4.40673    9.58307    13.86097
4.33877    9.31048    13.96861
4.37161    9.13437    13.96607
4.36414    8.97408    14.024
4.39831    8.8524     14.0277
4.454      8.75358    14.02086
4.49888    8.64209    14.01382
4.52401    8.59917    14.01588
4.57518    8.54211    14.01436
4.66365    8.42321    13.99228
4.77482    8.31419    13.97585
4.87879    8.20588    14.00998
4.9477     8.12202    14.05629
5.06665    8.04518    14.11814
5.15255    8.00023    14.1345
5.26455    7.94682    14.13905
5.33748    7.86503    14.14646
5.41981    7.75271    14.14454
5.55225    7.73341    14.06967
5.70811    7.71123    13.93245
5.79568    7.68642    13.80182
5.84398    7.68504    13.72938
5.90361    7.7046     13.61981
5.98224    7.72125    13.46779
6.04668    7.73176    13.36256




























































































































































7.96777    6.41756    12.1169    LORBIT
8.14423    6.37494    12.09564
8.32254    6.31925    12.11287
8.4705     6.2079     12.13314
8.60544    6.13616    12.16729
8.69686    6.1375     12.23102
8.85323    6.05248    12.32206
8.928      6.06762    12.39907
9.0055     6.09422    12.5533
9.07615    6.11305    12.69812
9.14454    6.10421    12.84166
9.20622    6.11727    12.99162
9.22302    6.08741    13.12488
9.22558    6.1148     13.24781
9.21674    6.11028    13.36171
9.2064     6.13743    13.49206
9.17843    6.06996    13.72369
9.1352     6.00033    13.89594
8.98836    6.01084    13.9756
8.90636    5.93149    14.06438
8.787      5.8988     14.11912
8.63082    5.85196    14.17337
8.52252    5.83583    14.21545
8.40307    5.82727    14.25505
8.27285    5.81514    14.27311
8.08738    5.86522    14.25667
7.96711    5.83119    14.28472
7.84997    5.85651    14.27749
7.81221    5.90135    14.24353
7.67454    5.91875    14.25206
7.5242     5.9505     14.22719
7.33644    6.04164    14.20716
7.17761    6.1336     14.18778
7.01449    6.2848     14.21703
6.9086     6.37312    14.28228
