MNHN       AC A-1438  Tg39stv
0.6086     9.2364     16.8885
0.8482     9.2446     16.9215
1.0153     9.2979     16.9161
1.2432     9.3427     16.9049
1.5099     9.3719     16.9066
1.7493     9.4549     16.8705
1.9725     9.5055     16.8355
2.1398     9.5717     16.8015
2.3617     9.7429     16.6588
2.5248     9.7855     16.6013
2.6825     9.8898     16.5248
2.8889     9.968      16.4572
2.9893     10.0783    16.3678
3.0933     10.156     16.2874
3.2054     10.2521    16.2151
3.3152     10.3191    16.1175
3.4307     10.4616    15.998
3.4728     10.5466    15.9168
3.5194     10.7376    15.7099
3.5934     10.7235    15.606
3.7258     10.6841    15.4013
3.6432     10.6959    15.2602




























































































































































-1.2302    7.9793     14.3781    RORBIT
-1.4647    8.0282     14.3193
-1.6626    8.0301     14.3019
-1.8266    8.0375     14.2735
-2.0608    8.2216     14.2932
-2.1967    8.37       14.3516
-2.3498    8.521      14.4382
-2.4601    8.6475     14.518
-2.484     8.8027     14.6188
-2.5474    8.9264     14.7431
-2.5737    9.0973     14.9545
-2.579     9.188      15.0832
-2.5766    9.2512     15.1571
-2.5428    9.3518     15.384
-2.534     9.3379     15.5813
-2.4737    9.2946     15.8374
-2.3367    9.254      15.9324
-2.2165    9.206      16.0705
-2.0497    9.1088     16.2154
-1.9619    9.0275     16.3519
-1.8282    8.9157     16.4639
-1.6265    8.827      16.5088
-1.4931    8.7698     16.5635
-1.3303    8.71       16.5854
-1.1442    8.6725     16.6314
-0.9979    8.6575     16.6008
-0.863     8.6414     16.6229
-0.7629    8.6521     16.6136
-0.5554    8.6479     16.618
-0.3219    8.6993     16.5525
-0.1974    8.7373     16.4411
-0.0503    8.7364     16.2926
0.0553     8.6949     16.087
0.0767     8.6913     15.9613
0.116      8.6845     15.7963
0.1307     8.6439     15.6311
0.1502     8.6097     15.5124
0.1609     8.5538     15.3969


































































































































































2.3346     8.3613     14.2411    LORBIT
2.4922     8.3482     14.1969
2.6695     8.4574     14.1193
2.8931     8.4941     14.0948
3.0571     8.6675     14.1168
3.14       8.7757     14.1459
3.2064     8.938      14.219
3.2997     9.0842     14.303
3.4096     9.233      14.4181
3.415      9.4672     14.5929
3.416      9.6359     14.7838
3.4711     9.7328     14.9354
3.3909     9.8062     15.1249
3.373      9.8118     15.3968
3.3123     9.7652     15.6063
3.1936     9.6107     15.9283
3.0611     9.5142     16.0621
2.9158     9.3754     16.1648
2.7804     9.2919     16.2134
2.6362     9.2063     16.2546
2.5217     9.0662     16.335
2.3301     8.9547     16.4269
2.1029     8.8574     16.4842
1.946      8.8498     16.4357
1.7238     8.8238     16.4633
1.5126     8.8315     16.421
1.2778     8.8497     16.3796
1.1124     8.8578     16.2522
0.976      8.8218     16.0863
0.9031     8.7743     15.8959
0.8918     8.7809     15.7657
0.8789     8.7528     15.6663
0.8741     8.7297     15.5859
0.8624     8.7244     15.4773






































































































































































-2.9843    10.0586    15.5876    RTEMFOS
-3.0507    10.0082    15.3774
-3.1537    9.8853     15.1742
-3.2612    9.7747     15.0126
-3.3229    9.6171     14.8683
-3.3551    9.5028     14.71
-3.3935    9.3658     14.5621
-3.4101    9.2476     14.4182
-3.4354    9.1796     14.2603
-3.4546    9.0612     14.0989
-3.4909    8.9469     13.8666
-3.5039    8.8487     13.7624
-3.5227    8.7589     13.6689
-3.5572    8.6617     13.563
-3.5818    8.5562     13.3736
-3.6052    8.4595     13.2311
-3.6379    8.3746     13.1103
-3.7092    8.2636     13.0117
-3.7592    8.2089     12.8874
-3.846     8.1679     12.7082
-3.8541    8.2346     12.5538
-3.9467    8.234      12.3738
-4.0201    8.2834     12.1407
-4.0402    8.3122     11.9367
-4.1409    8.4989     11.7062
-4.2526    8.5921     11.5963
-4.3066    8.6659     11.5481
-4.3739    8.8026     11.5234
-4.4932    8.978      11.5259











































































































































































3.6577     10.6661    15.1577    LTEMFOS
3.7313     10.5858    15.0026
3.857      10.3492    14.7831
3.9884     10.2497    14.5692
4.0557     10.0903    14.4037
4.1215     9.9117     14.2002
4.1658     9.7657     13.9545
4.2182     9.6194     13.7946
4.2725     9.4749     13.653
4.3196     9.3273     13.485
4.3589     9.1526     13.3001
4.3946     9          13.1949
4.4444     8.8754     13.0005
4.5043     8.7564     12.844
4.5872     8.6418     12.6845
4.6622     8.6265     12.5104
4.7969     8.6057     12.37
4.8891     8.6838     12.1763
5.0224     8.7606     12.0201
5.1618     8.8626     11.9071
5.257      9.053      11.7685
5.3927     9.2303     11.7318
5.4213     9.3872     11.6913
5.4307     9.5338     11.6412
5.47       9.5804     11.6513
5.4951     9.6614     11.6199














































































































































































0.5477     4.1949     11.727     OP
0.409      6.2091     11.5378    BA
0.0691     11.1201    10.742     ST
-0.2375    16.6641    10.847     IV
-3.5223    5.8459     11.2917    R_PG
-5.067     7.8154     10.3752    R_ZTI
-1.797     11.7623    12.2959    R_M3D
-2.2021    14.3537    12.0603    R_M12
-2.0755    16.9153    11.8554    R_MP3
-1.6988    18.1594    11.418     R_PMI
4.3906     6.5341     11.037     L_PG
5.6814     8.8293     10.0301    L_ZTI
1.9072     12.1458    12.3299    L_M3D
2.0769     14.772     11.8715    L_M12
1.4826     17.1446    11.8758    L_MP3
0.9484     18.3855    11.2575    L_PMI
-0.1123    19.5546    11.2331    O1
-2.7222    9.259      4.8563     O2
5.883      8.3347     9.3411     O3
0.1649     1.4619     9.0419     O4




















































































































































































-3.3467    11.8484    10.3265    RZYGINF
-3.5446    11.6831    10.3911
-3.6278    11.4601    10.3488
-3.7004    11.281     10.2946
-3.7295    11.0665    10.3135
-3.7822    10.7737    10.3777
-3.7588    10.5476    10.3977
-3.8072    10.3771    10.4224
-3.8634    10.1197    10.5169
-4.0701    9.8288     10.5758
-4.2297    9.625      10.5353
-4.2835    9.4146     10.4721
-4.4068    9.1635     10.3913
-4.4908    8.9575     10.4282
-4.5084    8.8035     10.4911
-4.6185    8.7085     10.5516
-4.7637    8.511      10.5634
-4.8799    8.3448     10.5062
-4.9597    8.1822     10.4611
-5.0013    7.9589     10.4428
-5.0286    7.8045     10.4057



















































































































































































3.6268     12.0747    10.2103    LZYGINF
3.7797     11.9282    10.0911
3.882      11.8338    9.9585
3.9976     11.835     9.8729
4.1258     11.7499    9.806
4.2672     11.5837    9.7702
4.4271     11.5116    9.7909
4.6073     11.4208    9.8083
4.7436     11.3034    9.7904
4.9191     11.0632    9.7829
4.9845     10.7857    9.7487
5.146      10.5845    9.7059
5.1784     10.2952    9.7311
5.2178     10.0343    9.7906
5.2696     9.8058     9.8587
5.279      9.6524     9.9097
5.322      9.3856     9.9878
5.4448     9.2683     9.9844
5.5637     9.1241     10.0056
5.7011     8.9885     9.9755
5.6594     8.85       9.9654



















































































































































































-1.7787    11.7521    12.2981    R-ALV
-1.9475    12.1535    12.1892
-2.0408    12.3862    12.1388
-2.0872    12.639     12.0773
-2.1278    12.8452    11.9987
-2.1446    13.0694    11.968
-2.1715    13.3111    11.9417
-2.2067    13.5204    11.9029
-2.2635    13.74      11.8763
-2.3075    13.9343    11.8529
-2.2341    14.2051    11.8614
-2.2248    14.4627    11.8464
-2.2239    14.706     11.8587
-2.2568    14.9542    11.8547
-2.2753    15.1468    11.8538
-2.2347    15.318     11.89
-2.1778    15.4574    11.9135
-2.1654    15.6937    11.9388
-2.1709    15.927     11.9622
-2.1659    16.087     11.9754
-2.1287    16.353     11.9823
-2.1067    16.5204    11.9339
-2.0722    16.6729    11.9029
-2.0795    16.7188    11.905
-2.0169    16.844     11.9015















































































































































































2.0493     12.1064    12.0972    L-ALV
2.1843     12.4097    12.0507
2.2318     12.7997    11.9618
2.2394     13.1374    11.9174
2.1846     13.4595    11.8646
2.1901     13.6643    11.8503
2.1984     13.9077    11.8659
2.2363     14.0894    11.8176
2.2574     14.1772    11.8065
2.303      14.453     11.7956
2.2426     14.6322    11.7382
2.1824     14.8249    11.7227
2.1741     15.0495    11.6978
2.1237     15.2815    11.6791
2.1086     15.5117    11.6133
2.0435     15.7746    11.5712
1.9469     16.0372    11.5305
1.9137     16.2555    11.6469
1.8485     16.527     11.6765
1.8287     16.6892    11.663
1.7985     16.8167    11.7061
1.7815     16.9736    11.7096
1.7704     17.0736    11.6887
1.7151     17.2243    11.7131
