NMNH       357628     Pyn3stv
5.3373     5.3918     4.4362
5.5754     5.4549     4.4925
5.7491     5.5213     4.5572
5.9334     5.5964     4.6732
6.0303     5.6923     4.7907
6.1292     5.7993     4.9484
6.1882     5.925      5.163
6.254      6.0175     5.3671
6.304      6.0792     5.5463
6.3108     6.124      5.7582
6.2468     6.1475     6.0358
6.1103     6.1251     6.2879
5.8436     6.0643     6.4471
5.6829     6.0187     6.5901
5.4735     5.9838     6.643
5.167      5.8875     6.7315
4.9718     5.8256     6.7549
4.8287     5.7701     6.7995
4.6377     5.7113     6.8032
4.3854     5.6422     6.8431
4.2184     5.6151     6.8316
4.0716     5.5713     6.7598
3.8826     5.5626     6.7131
3.7435     5.5441     6.6371
3.6235     5.5218     6.4239
3.6144     5.5484     6.1582
3.6076     5.5199     6.05
3.5928     5.5059     5.8646
3.6152     5.4775     5.7476
3.6166     5.5074     5.5328









































































































































































-0.8644    6.4385     6.109      RTEMFOS
-0.9103    6.277      5.9663
-0.9243    6.1351     5.8305
-0.8669    5.9236     5.7223
-0.8911    5.8808     5.5016
-0.8953    5.7807     5.3094
-0.872     5.7213     5.1176
-0.8555    5.6936     4.9614
-0.8044    5.6549     4.8069
-0.7808    5.5891     4.6589
-0.7497    5.545      4.5332
-0.7303    5.5071     4.3882
-0.7281    5.5093     4.2396
-0.7169    5.5742     4.088
-0.7028    5.6194     3.9674
-0.7568    5.7967     3.8558
-1.0468    6.4119     3.7461























































































































































































6.4507     6.8875     6.0485     LTEMFOS
6.4864     6.7346     5.8951
6.5029     6.6187     5.706
6.5201     6.4934     5.6057
6.5364     6.4451     5.4435
6.5335     6.3293     5.3309
6.5378     6.2299     5.1973
6.5411     6.238      5.0348
6.5337     6.1511     4.8989
6.4719     6.1143     4.657
6.4456     6.0519     4.5259
6.425      6.0377     4.2949
6.4341     6.0023     4.0954
6.4601     6.1101     3.8839
6.4924     6.2158     3.8039
6.5271     6.4011     3.6677
6.5985     6.5522     3.607
6.6662     6.8198     3.5685






















































































































































































