AMNH       87256      Pyn8stv
0.0408     5.4314     3.2246
0.2218     5.5789     3.4493
0.3472     5.7671     3.576
0.3953     5.8879     3.7714
0.4234     6.0072     3.9178
0.4163     6.1206     4.0804
0.4213     6.1971     4.2663
0.3433     6.2674     4.3775
0.2649     6.3135     4.5839
0.1844     6.3137     4.7403
0.0212     6.2973     4.9343
-0.1302    6.2501     4.8804















































































































































































-0.1921    5.3795     3.0895     NASP-PR
-0.1812    5.2424     2.9883
-0.1658    5.1116     2.8757
-0.1836    5.0482     2.7347
-0.2237    5.0672     2.6568
-0.1754    5.1003     2.5497


































































































































































































-0.4093    6.6049     5.8361     R-PM/MAX
-0.4738    6.5919     5.6404
-0.6048    6.6165     5.4747
-0.7387    6.6527     5.1863
-0.785     6.6164     4.9498
-0.8365    6.5147     4.6529
-0.9123    6.3841     4.3658
-0.9577    6.2531     4.138
-1.0702    6.1387     3.8612
-1.0983    5.9255     3.6103
-1.1836    5.7727     3.3283
-1.2158    5.6103     3.1106
-1.2184    5.4862     2.8602
-1.1157    5.5369     2.6537


























































































































































































0.2181     6.6687     5.8404     L-PM/MAX
0.3271     6.7127     5.5979
0.4347     6.7478     5.3177
0.4952     6.7389     5.0882
0.5019     6.646      4.8337
0.5307     6.6011     4.5917
0.588      6.5134     4.3608
0.6243     6.4156     4.2055
0.6891     6.2745     3.9779
0.7379     6.1114     3.7863
0.8041     5.9812     3.5683
0.8195     5.815      3.3171
0.8251     5.6524     3.0873
0.877      5.5631     2.9357
0.7685     5.5415     2.6677

























































































































































































-1.9925    6.823      2.8274     ROSTRUM
-1.9592    6.7724     3.066
-1.8253    6.7917     3.3372
-1.6005    6.7985     3.6453
-1.4078    6.7629     3.8452
-1.122     6.7283     4.4176
-0.9653    6.6953     4.5997
-0.8488    6.6531     4.8613
-0.6975    6.5933     5.1111
-0.5294    6.5781     5.4222
-0.4143    6.5515     5.614
-0.3189    6.5057     5.7251
-0.1756    6.5299     5.8145
0.029      6.5351     5.8225
0.1822     6.5789     5.571
0.3526     6.6573     5.2683
0.5089     6.7057     4.9667
0.5701     6.7584     4.7487
0.6512     6.7615     4.5328
0.739      6.7459     4.3549
0.8499     6.7406     4.1262
0.9531     6.761      3.8751
1.0865     6.7592     3.6582
1.2762     6.7905     3.4395
1.4292     6.8057     3.1868
1.495      6.821      2.8863
1.5029     6.8541     2.7172
1.4908     6.8701     2.5846












































































































































































-3.7836    8.3063     6.2201     SUPORB
-3.6833    8.331      6.3973
-3.5308    8.2048     6.6937
-3.3789    8.1385     6.8508
-3.2098    8.0539     6.969
-3.0206    7.9316     7.0607
-2.7375    7.8676     7.1775
-2.4571    7.7583     7.2372
-2.219     7.6622     7.2842
-2.0204    7.6181     7.3308
-1.7475    7.5338     7.3719
-1.5254    7.4637     7.3724
-1.2153    7.3425     7.3825
-0.9669    7.2937     7.3924
-0.7083    7.2722     7.3824
-0.4522    7.221      7.329
-0.3352    7.2056     7.3138
-0.2272    7.1999     7.3067
-0.0481    7.2569     7.3169
0.1888     7.2775     7.3438
0.4488     7.3407     7.3328
0.5983     7.3514     7.3465
0.7952     7.3764     7.3378
1.0249     7.4471     7.3323
1.207      7.4635     7.3058
1.3645     7.4981     7.2986
1.5188     7.4807     7.2826
1.6838     7.5376     7.262
1.9102     7.6381     7.2355
2.0493     7.7071     7.195
2.2528     7.8238     7.1296
2.4207     7.9341     7.0941
2.5482     8.0216     7.0348
2.7071     8.1095     6.9467
2.8586     8.1884     6.841
2.986      8.2475     6.7389
3.0583     8.3519     6.6503
3.1242     8.3852     6.5165
3.3403     8.4012     6.1093

































































































































































-2.2006    7.0708     4.544      RORBIT
-2.4214    7.0942     4.523
-2.6624    7.1585     4.5581
-2.8766    7.1881     4.622
-3.0855    7.2568     4.7427
-3.2584    7.3672     4.9306
-3.3793    7.4408     5.116
-3.4505    7.5248     5.363
-3.4676    7.584      5.5411
-3.466     7.6238     5.6921
-3.5131    7.6368     5.9123
-3.4398    7.6752     6.0733
-3.3688    7.6703     6.2945
-3.2267    7.6362     6.4675
-3.0469    7.5967     6.6621
-2.8463    7.5327     6.7895
-2.6423    7.4841     6.8743
-2.3467    7.4261     6.9546
-2.1689    7.3362     7.0098
-1.973     7.2253     7.0817
-1.6801    7.1855     7.0176
-1.4402    7.2077     6.9864
-1.1576    7.1124     6.8468
-0.9332    7.0173     6.6403
-0.8329    6.9826     6.4758
-0.704     6.9156     6.2894
-0.699     6.8993     5.9787
-0.7665    6.8961     5.766












































































































































































1.8377     7.2144     4.4994     LORBIT
2.0588     7.1828     4.4895
2.3195     7.2823     4.5722
2.5575     7.4119     4.6931
2.8162     7.5045     4.9084
2.9354     7.6294     5.1442
3.0093     7.726      5.3754
3.0329     7.7887     5.6088
3.0857     7.7992     5.9181
3.0738     7.8161     6.0202
3.0464     7.8122     6.1574
2.9794     7.7931     6.4221
2.8472     7.7624     6.6121
2.6533     7.6966     6.7536
2.4916     7.6509     6.8083
2.3326     7.5994     6.8977
2.1067     7.5115     7.0151
1.8754     7.4351     6.9961
1.7281     7.3853     7.0364
1.5369     7.3181     7.0504
1.2969     7.2474     7.0152
1.0709     7.2345     6.9704
0.7552     7.1233     6.8507
0.4672     7.0015     6.4807
0.432      6.9902     6.2617
0.376      6.9395     6.0301
0.3923     6.9122     5.9291
0.4029     6.8864     5.7312












































































































































































-3.7963    8.2849     6.1595     RTEMFOS
-3.8169    8.2622     6.0068
-3.8111    8.1846     5.7652
-3.8168    8.106      5.6904
-3.801     8.0625     5.5847
-3.8167    7.9724     5.4371
-3.7906    7.9466     5.2988
-3.7819    7.888      5.1273
-3.7376    7.8377     4.9184
-3.6981    7.7788     4.7612
-3.6689    7.8018     4.6042
-3.6456    7.8561     4.3964
-3.6575    8.0051     4.2024
-3.6943    8.1901     4.0843
-3.6968    8.3599     4.0749
-3.782     8.4994     4.0159
























































































































































































3.3475     8.47       5.9961     LTEMFOS
3.3457     8.3592     5.8
3.3451     8.2788     5.596
3.3504     8.2067     5.4119
3.3581     8.1338     5.2281
3.3443     8.0456     5.031
3.2927     8.0288     4.8707
3.2408     7.9806     4.6792
3.2071     7.9941     4.5311
3.1855     8.0503     4.4039
3.1587     8.1826     4.2139
3.191      8.278      4.124
3.2144     8.4356     4.068
3.2456     8.5167     4.0454
3.2693     8.6922     4.059

























































































































































































0.026      7.1266     8.5811     OP
0.0979     8.9921     8.5185     BA
0.1374     12.5709    7.5512     ST
0.1465     14.8025    7.2784     IV
-2.6298    9.3055     8.1695     R_PG
-3.4844    11.3659    7.7471     R_ZTI
-1.3836    12.2764    7.9282     R_M3D
-1.7305    13.7206    7.8454     R_M12
-1.231     15.08      7.6348     R_MP3
-0.7535    15.4677    7.4468     R_PMI
2.7064     9.2626     7.9029     L_PG
3.6009     11.1844    7.3793     L_ZTI
1.5334     12.2585    7.8714     L_M3D
1.951      13.653     7.7983     L_M12
1.5578     15.1426    7.4305     L_MP3
1.0132     15.5445    7.3546     L_PMI
-0.1669    16.2875    7.2698     O1
3.3821     11.6123    4.7048     O2
-3.6763    10.4581    7.4897     O3
1.1736     5.4564     7.2585     O4




















































































































































































-2.5456    13.3525    7.5251     RZYGINF
-2.7127    13.1768    7.5788
-2.9207    13.0472    7.6221
-2.9831    12.9187    7.678
-3.1001    12.6946    7.7281
-3.1749    12.5519    7.7545
-3.2234    12.4078    7.716
-3.2491    12.2608    7.7419
-3.2766    12.0441    7.7919
-3.3071    11.9246    7.8079
-3.3621    11.6999    7.8319
-3.4224    11.4864    7.7825
-3.4875    11.3565    7.7197



























































































































































































2.617      13.1878    7.3776     LZYGINF
2.9051     13.0876    7.3967
3.0264     12.8821    7.4148
3.1706     12.7186    7.4603
3.284      12.5472    7.4548
3.3519     12.3877    7.4279
3.3598     12.2169    7.4319
3.4147     12.0354    7.4592
3.4223     11.8058    7.5003
3.4783     11.6765    7.4898
3.5112     11.4786    7.469
3.518      11.3512    7.4519
3.5585     11.1754    7.3965



























































































































































































-1.2723    15.1031    7.5219     R-ALV
-1.3528    14.9384    7.6071
-1.4381    14.7723    7.671
-1.5206    14.5353    7.6872
-1.6073    14.3285    7.7699
-1.6809    14.083     7.8369
-1.72      13.8091    7.8489
-1.7391    13.4569    7.8974
-1.722     13.263     7.9119
-1.7       13.0539    7.8593
-1.6344    12.7742    7.8292
-1.529     12.5504    7.8619
-1.408     12.3308    7.8511
-1.311     12.1786    7.8883


























































































































































































1.5088     12.2372    7.8374     L-ALV
1.6706     12.4448    7.8571
1.7888     12.7683    7.85
1.8576     12.9605    7.774
1.8964     13.1028    7.79
1.9363     13.3443    7.7705
1.9554     13.5754    7.7341
1.9387     13.7065    7.7286
1.9382     13.9234    7.6827
1.89       14.2058    7.7243
1.8078     14.3575    7.6192
1.7351     14.6505    7.5839
1.6847     14.802     7.5977
1.59       14.9725    7.5751
1.4497     15.2288    7.4714
