NMNH       544973     Scc15stv
-1.8591    11.7249    5.9675     O1
-3.4062    11.5948    6.0691     O2
-0.172     9.387      5.2155     O3
-4.9431    9.202      5.3483     O4




















































































































































































-4.9431    9.202      5.3483     RZYGINF
-5.1921    8.9648     5.3952
-5.357     8.789      5.4024
-5.535     8.6272     5.3772
-5.6669    8.3831     5.42
-5.8034    8.138      5.3696
-5.8531    7.9473     5.3676
-5.8083    7.7664     5.4227
-5.9633    7.649      5.1545
-6.0262    7.3996     5.062
-6.0847    7.1895     5.0508
-6.1243    7.0297     4.9609




























































































































































































-0.172     9.387      5.2155     LZYGINF
0.0694     9.1669     5.218
0.2821     8.9638     5.2549
0.4539     8.8279     5.1896
0.5641     8.6964     5.1426
0.6979     8.5344     5.0989
0.8467     8.3621     5.0321
0.8401     8.226      5.0379
0.9326     8.0289     5.0159
0.9993     7.8794     4.9856
1.0431     7.6723     4.9836
1.0466     7.4791     4.9907
1.1063     7.3175     4.9254



























































































































































































-3.8592    8.1744     6.0898     R-ALV
-3.9644    8.3636     6.1194
-4.0408    8.5474     6.1523
-4.1121    8.7443     6.1941
-4.1413    8.9297     6.1984
-4.2242    9.1506     6.2602
-4.2201    9.4038     6.2179
-4.2407    9.5362     6.2441
-4.2342    9.7133     6.2822
-4.2371    9.8402     6.2849
-4.1971    10.1012    6.3041
-4.1484    10.1606    6.3172
-4.135     10.4257    6.2625
-4.0988    10.7037    6.2883
-4.0823    10.8324    6.2658
-4.0631    10.9826    6.2368
-4.0507    11.1167    6.1566























































































































































































-0.1988    9.3252     5.2375     L-ALV
-0.0087    9.2111     5.2353
0.1957     9.0957     5.2458
0.3643     8.921      5.221
0.5123     8.7427     5.158
0.7046     8.5588     5.1076
0.814      8.3896     5.0488
0.8184     8.1998     5.031
0.8734     8.001      5.0452
0.947      7.885      5.0059
1.0054     7.6608     5.0093
1.0363     7.4967     4.9924
1.1044     7.3352     4.9313
