NMNH       256916     Pyg3stv
3.0143     7.0223     6.9728
2.8684     6.9526     7.144
2.6788     6.8728     7.3299
2.5006     6.8009     7.4631
2.2248     6.7149     7.5818
1.925      6.5786     7.684
1.6795     6.4973     7.6727
1.5038     6.4137     7.6482
1.2891     6.3304     7.585
0.9666     6.3063     7.5703
0.602      6.2243     7.4841
0.4103     6.19       7.3599
0.2758     6.2431     7.1346
0.2673     6.334      6.9268
0.2655     6.3801     6.8115
0.2393     6.4496     6.6927














































































































































































-3.7912    7.8093     7.1319     RTEMFOS
-3.8198    7.7652     6.8204
-3.83      7.7243     6.5983
-3.9057    7.6536     6.436
-3.9239    7.6174     6.2798
-3.909     7.539      6.0735
-3.8986    7.4721     5.9163
-3.9134    7.4433     5.7761
-3.873     7.3852     5.634
-3.8361    7.4387     5.4628
-3.8149    7.5866     5.2654
-3.8737    7.6865     5.1423
-3.9988    7.8125     5.0335
-4.0596    8.0175     5.0105
-4.067     8.1683     5.0489
-4.0507    8.2864     5.0657
























































































































































































3.2726     7.6742     7.1486     LTEMFOS
3.3191     7.5943     7.0111
3.3553     7.5783     6.8102
3.3874     7.4861     6.6238
3.4063     7.4691     6.418
3.3924     7.4322     6.179
3.3713     7.3767     5.9476
3.3367     7.3403     5.7748
3.3231     7.3065     5.567
3.3457     7.3605     5.3882
3.3652     7.4687     5.229
3.4004     7.603      5.1126
3.4768     7.7607     5.0498
3.5177     7.8736     5.0525
3.5593     7.9708     5.0625

























































































































































































9999       9999       9999       OP
0.5072     5.3455     7.1711     BA
-0.3925    9.249      6.7705     ST
-0.9274    11.4297    6.7333     IV
-2.4913    5.2056     7.1057     R_PG
-3.7726    6.8788     6.4961     R_ZTI
-1.6162    8.4705     7.277      R_M3D
-2.2654    9.7719     7.4701     R_M12
-2.2959    11.3603    7.1972     R_MP3
-1.865     11.986     7.0162     R_PMI
3.2408     6.4301     6.6267     L_PG
3.7082     8.4591     5.9863     L_ZTI
1.179      9.0894     6.9295     L_M3D
1.1736     10.5761    7.1329     L_M12
0.4532     12.0987    6.9967     L_MP3
-0.2253    12.3905    6.8387     L_PMI
-0.9539    12.986     7.321      O1
-3.4636    7.6857     3.4901     O2
3.9008     7.6117     5.8263     O3
-1.9081    3.261      4.5717     O4




















































































































































































-3.3141    9.2302     6.4156     RZYGINF
-3.4456    9.1858     6.3575
-3.7262    9.069      6.3574
-3.8575    8.8915     6.3477
-3.8811    8.7379     6.3861
-3.9056    8.5942     6.4167
-3.8848    8.4681     6.4588
-3.8497    8.2794     6.5221
-3.8372    8.1482     6.5748
-3.817     7.9948     6.5932
-3.8231    7.8583     6.6121
-3.7957    7.7033     6.6343
-3.7966    7.512      6.6503
-3.7829    7.2932     6.6587
-3.7621    7.134      6.6368
-3.7594    7.0175     6.6139
-3.7622    6.9338     6.5973
-3.7665    6.8791     6.4969






















































































































































































1.9737     10.5151    6.1742     LZYGINF
2.1921     10.4907    6.0503
2.3717     10.4232    6.0293
2.577      10.3439    5.961
2.8155     10.2135    6.0248
2.9625     10.0357    6.0462
3.0923     9.8363     6.0872
3.2164     9.6438     6.1218
3.2623     9.3912     6.1707
3.2768     9.279      6.1758
3.3299     9.1813     6.2073
3.4582     9.042      6.2006
3.5402     8.8966     6.1823
3.5931     8.7194     6.151
3.6509     8.5651     6.1502
3.7167     8.4668     6.0413
























































































































































































-1.6971    8.4907     7.2987     R-ALV
-1.8402    8.6651     7.3073
-1.9688    8.8875     7.3236
-2.0454    9.0247     7.3623
-2.1522    9.2889     7.4233
-2.2413    9.6223     7.4505
-2.3285    9.9681     7.5137
-2.3717    10.1723    7.5191
-2.3159    10.3762    7.483
-2.3326    10.6117    7.4912
-2.3776    10.8622    7.4148
-2.3253    10.9669    7.3487
-2.358     11.1486    7.3029
-2.3437    11.2779    7.2273


























































































































































































1.1305     9.1441     7.0755     L-ALV
1.1929     9.3092     7.0553
1.2097     9.6073     7.0753
1.2257     9.7195     7.0906
1.2322     9.8765     7.1648
1.2199     10.0813    7.2255
1.1934     10.249     7.2531
1.1522     10.5119    7.2899
1.1188     10.6864    7.2249
1.0897     10.8892    7.2145
1.0103     11.1144    7.1714
0.9106     11.2154    7.1749
0.8656     11.3122    7.1657
0.7788     11.5847    7.0875
0.7034     11.6846    7.0666
0.6168     11.8053    7.0902
0.5629     11.9076    7.0762
0.4417     12.0595    7.0379
