AMNH       103372     scc14ms.xls
9.0536     7.2454     6.0763
9.1318     7.2046     6.0939
9.2528     7.1527     6.0887
9.3572     7.1293     6.1133
9.4113     7.046      6.146
9.5114     7.029      6.1752
9.6091     7.0028     6.2205
9.7209     7.0138     6.2914
9.8142     6.9732     6.3668
9.8968     6.9978     6.5043
9.9634     7.0046     6.5841
9.9827     6.992      6.6809
10.0434    7.0068     6.7618
10.0652    6.9866     6.8795
10.0819    6.9839     6.992
10.0726    6.9749     7.1209
10.0711    6.9765     7.2326
10.0822    6.9804     7.3624
10.0334    6.9682     7.4705
10.0135    6.9884     7.6004
9.9526     7.0058     7.719
9.8706     7.0403     7.8356
9.7538     7.0717     7.9552
9.6807     7.0938     8.041
9.5575     7.1814     8.0845
9.4377     7.2425     8.1562
9.3259     7.2726     8.1886
9.1981     7.3197     8.249
9.0891     7.404      8.2285
8.9781     7.4285     8.257
8.8717     7.443      8.291
8.7308     7.5174     8.285
8.6266     7.596      8.2597
8.4572     7.6821     8.197
8.3873     7.6731     8.1737
8.2508     7.7694     8.0531
8.2088     7.7708     8.0574
8.1353     7.7811     8.0067
8.0917     7.792      7.959
8.1346     7.9024     7.8322
8.1382     7.9498     7.6863
8.0872     7.9428     7.5744
8.1215     8.0266     7.437
8.1235     8.0259     7.3484

























































































































































5.8576     10.704     7.4614     RTEMFOS
5.8148     10.7558    7.3406
5.7626     10.765     7.2211
5.7406     10.7671    7.0775
5.6912     10.7585    6.9135
5.7048     10.7231    6.8395
5.6973     10.7236    6.7153
5.6645     10.7213    6.6308
5.6883     10.7493    6.4901
5.6968     10.7566    6.3232
5.695      10.8059    6.2074
5.7066     10.8444    6.1106
5.7335     10.9021    5.9965
5.7241     10.9331    5.8941
5.7278     10.9958    5.834
5.7501     11.0569    5.7777
5.7848     11.1326    5.764
5.8238     11.2199    5.7235
5.8353     11.3102    5.7074
5.8699     11.3931    5.717
5.8726     11.5167    5.7131
5.9107     11.5868    5.7238


















































































































































































10.7122    6.9244     7.3474     LTEMFOS
10.7054    6.905      7.2275
10.7287    6.8829     7.1001
10.7246    6.8576     6.9734
10.7081    6.8286     6.8543
10.7046    6.8346     6.7263
10.7096    6.8382     6.595
10.7009    6.8277     6.4975
10.7571    6.881      6.3263
10.7743    6.838      6.2114
10.8056    6.844      6.0915
10.8962    6.8791     5.9257
10.9487    6.9435     5.8364
11.0319    6.9265     5.7625
11.0876    7.0278     5.7127
11.2008    7.085      5.6603
11.2348    7.1397     5.6714
11.2692    7.1657     5.6628
11.3543    7.2104     5.6654
11.4431    7.2414     5.6726
11.4925    7.288      5.6953



















































































































































































7.1739     7.4828     7.1552     OP
8.0516     8.7768     7.4798     BA
10.0802    11.6197    6.1635     ST
11.538     13.7622    5.9216     IV
6.2998     10.8163    7.1234     R_PG
6.4152     12.8078    6.2036     R_ZTI
8.9814     12.3702    7.019      R_M3D
9.574      13.7681    6.8446     R_M12
10.5596    14.8506    6.3105     R_MP3
11.303     14.9105    5.9766     R_PMI
10.5856    7.7765     7.0462     L_PG
12.4522    8.5712     6.2186     L_ZTI
11.1589    10.8458    7.0768     L_M3D
12.2685    11.8175    6.8983     L_M12
12.9907    13.1784    6.3596     L_MP3
12.7801    13.8631    6.0293     L_PMI
11.4312    14.55      5.4153     O1
8.2057     13.7233    4.9154     O2
5.0948     9.2774     6.6605     O3
5.9324     6.8299     5.2678     O4




















































































































































































8.6149     13.8131    5.9398     RZYGINF
8.6317     13.811     5.9279
8.5222     13.8256    5.9097
8.3152     13.8151    5.9094
8.1885     13.7966    5.9417
8.0836     13.8122    6.0126
7.9127     13.7835    6.0529
7.8047     13.7329    6.0469
7.7036     13.7006    6.0579
7.6346     13.645     6.0616
7.5048     13.5991    6.0578
7.4395     13.5627    6.0452
7.3617     13.5058    6.0287
7.2905     13.4747    6.0445
7.1925     13.4207    6.0465
7.1236     13.3705    6.0687
7.0311     13.3047    6.1424
6.9526     13.267     6.1764
6.832      13.2111    6.2034
6.7519     13.1648    6.1889
6.672      13.1225    6.1913
6.5871     13.0634    6.195
6.5327     12.9953    6.1856
6.4913     12.9437    6.2027
6.4437     12.8719    6.2201
6.3987     12.8217    6.205














































































































































































12.6194    10.9713    6.0098     LZYGINF
12.7067    10.8845    6.0161
12.75      10.7956    6.0214
12.8038    10.7311    6.0047
12.7578    10.6473    6.0474
12.8204    10.5475    6.0559
12.8188    10.4645    6.0557
12.825     10.411     6.0351
12.8469    10.3061    6.0459
12.8187    10.2138    6.0803
12.8021    10.1547    6.0936
12.8257    10.0627    6.0949
12.8225    10.0247    6.0942
12.833     9.9461     6.0824
12.8481    9.8483     6.0432
12.839     9.8272     6.0431
12.8176    9.7433     6.0358
12.8006    9.647      6.055
12.8052    9.5844     6.0505
12.7854    9.5113     6.0803
12.7494    9.4391     6.1127
12.7117    9.3221     6.1467
12.6913    9.2639     6.1814
12.6801    9.1993     6.2063
12.6428    9.0771     6.2195
12.6286    8.9855     6.2174
12.6207    8.9236     6.2121
12.6033    8.8537     6.2061
12.5817    8.7932     6.224
12.5582    8.7583     6.2319
12.515     8.6793     6.2552
12.5024    8.6423     6.2406
12.5006    8.573      6.2054












































































































