AMNH       103354     scc1cs.xls




















































































































































-2.9347    28.7105    7.6856     LTEMFOS
-3.042     28.7063    7.3873
-3.1024    28.778     6.9429
-3.1872    28.7825    6.6487
-3.2329    28.696     6.3659
-3.1942    28.5717    6.1441
-3.0704    28.3539    6.0331
-2.976     28.1692    5.998
































































































































































































-2.3821    34.3032    7.8283     OP
-1.5504    33.1414    8.1373     BA
0.3969     30.528     7.4232     ST
1.7106     29.0805    7.4797     IV
0.7994     34.1433    7.8723     R_PG
2.2318     33.5234    7.2168     R_ZTI
1.2505     31.4752    7.9162     R_M3D
2.2434     30.6529    8.0237     R_M12
2.6603     29.2941    7.702      R_MP3
2.5772     28.8396    7.6329     R_PMI
-3.1244    31.3646    8.0162     L_PG
-2.9259    29.7352    7.5187     L_ZTI
-0.733     30.0493    7.9462     L_M3D
-0.2165    28.9204    8.1726     L_M12
0.9749     28.105     7.8405     L_MP3
1.4522     27.9821    7.6114     L_PMI
0.7786     28.2741    7.2039     O1
-1.035     28.4896    6.6868     O2
-3.9062    32.2588    6.4773     O3
-2.5597    35.4172    5.9779     O4




















































































































































































2.5848     31.1793    7.1781     RZYGINF
2.6427     31.3203    7.1916
2.7263     31.4845    7.2432
2.7836     31.6993    7.2396
2.8401     31.9278    7.2347
2.8049     32.1262    7.2824
2.7578     32.3087    7.2757
2.7126     32.5003    7.2332
2.5974     32.7001    7.236
2.5407     32.8351    7.2318
2.4676     32.9983    7.2668
2.3601     33.1567    7.2972
2.2686     33.2934    7.2582
2.2192     33.3231    7.2135


























































































































































































-0.9787    28.6878    7.3518     LZYGINF
-1.2741    28.6678    7.4294
-1.5907    28.6395    7.426
-1.8693    28.7426    7.4776
-2.2914    28.9996    7.4765
-2.5616    29.2856    7.5133
-2.8274    29.5137    7.5718
-2.949     29.719     7.5402
