NME        L32-155    Tb8stv
9999       9999       9999       OP
9999       9999       9999       BA
11.3652    10.654     6.0276     ST
13.1764    15.019     4.0495     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
9.3988     11.8345    6.5042     R_M3D
9.7589     14.6109    5.6012     R_M12
11.4937    16.505     4.2774     R_MP3
12.4249    16.9891    3.9324     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
12.9686    10.2128    6.8563     L_M3D
14.961     12.4704    6.3292     L_M12
15.2893    14.8417    4.5311     L_MP3
15.1312    16.0626    4.0519     L_PMI
14.8123    15.9374    3.1583     O1
6.3309     13.2952    3.4373     O2
14.2087    6.7885     3.8853     O3
11.5795    8.4765     6.4873     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































9.4544     11.6063    6.5366     R-ALV
9.2506     12.2384    6.1672
9.1519     12.7791    6.2323
9.1654     13.1041    6.1781
9.1791     13.3907    6.1042
9.2406     13.6026    6.0238
9.3132     13.8159    5.9147
9.4076     14.0428    5.8732
9.5168     14.2621    5.7867
9.7362     14.5166    5.6854
9.8753     14.8573    5.5271
9.9503     15.0923    5.35
10.0595    15.2896    5.2711
10.2253    15.4363    4.8989
10.4366    15.5861    4.8119
10.58      15.7345    4.7359
10.7755    15.9258    4.6208
11.0238    16.1851    4.5287
11.1875    16.3868    4.46
11.5589    16.5389    4.2275




















































































































































































12.9612    10.2214    6.8518     L-ALV
14.1614    11.0565    6.9213
14.4434    11.3599    6.8158
14.627     11.6781    6.6923
14.7112    11.9276    6.6218
14.7671    12.069     6.5341
14.9394    12.4836    6.331
15.0661    12.7614    6.1821
15.2067    12.9946    6.0203
15.3158    13.2429    5.884
15.3192    13.6072    5.5634
15.3119    13.8918    5.364
15.3462    14.1611    5.2543
15.368     14.454     5.0933
15.2825    14.7446    4.8015
15.2836    14.9116    4.7226
