MNHN       AC A-1439  Tg36stv
0.7603     6.8269     15.5513
0.8765     6.8319     15.5436
1.0587     6.8838     15.5369
1.2479     6.9688     15.5215
1.4638     7.069      15.518
1.637      7.0763     15.5207
1.8183     7.1488     15.5068
2.0375     7.2578     15.4974
2.2476     7.3536     15.4752
2.4498     7.5234     15.4376
2.5558     7.658      15.4002
2.6521     7.7316     15.3483
2.8858     8.0917     15.1728
2.9869     8.3417     15.0632
3.0891     8.4759     14.9853
3.1596     8.539      14.905
3.227      8.772      14.6372
3.2521     8.8075     14.5911



































































































































































-1.1539    6.8554     13.2584    RORBIT
-1.3566    6.9191     13.2881
-1.6401    7.0212     13.3715
-1.8025    7.0747     13.4442
-1.989     7.2        13.6144
-2.0805    7.3266     13.7911
-2.1305    7.445      13.9603
-2.2147    7.5345     14.1616
-2.1807    7.588      14.309
-2.1626    7.6297     14.4267
-2.1521    7.6394     14.6224
-2.1049    7.6084     14.8285
-1.9603    7.485      14.9717
-1.8405    7.3726     15.0889
-1.6746    7.2196     15.1747
-1.5512    7.0849     15.2157
-1.3249    6.9636     15.2155
-1.0826    6.8592     15.1777
-0.8306    6.7323     15.2185
-0.5723    6.7474     15.1592
-0.3699    6.7476     15.1783
-0.0822    6.8022     15.127
0.1365     6.7925     15.0974
0.1873     6.9401     14.9067
0.2335     7.0148     14.6674
0.2793     7.0204     14.4346
0.3063     7.0198     14.2881
0.297      7.001      14.1254












































































































































































2.0929     7.2151     12.9752    LORBIT
2.2736     7.3292     12.9876
2.5056     7.4293     12.9902
2.6644     7.5838     13.0678
2.8081     7.7149     13.1816
2.9521     7.8777     13.334
3.0206     7.9892     13.5072
3.0895     8.0558     13.6532
3.1355     8.107      13.8006
3.0801     8.1715     14.0255
3.1097     8.1768     14.2885
3.0964     8.0584     14.4974
3.0173     7.9645     14.6294
2.9634     7.8039     14.7711
2.7154     7.6217     14.8413
2.5755     7.4006     14.883
2.4592     7.2551     14.9203
2.2736     7.0881     14.9261
2.0346     7.0514     14.9043
1.7393     6.9401     14.994
1.4177     6.9114     14.9816
1.0816     6.9449     14.845
0.9555     6.9697     14.6017
0.9064     6.9999     14.4086
0.9101     7.0475     14.2631
0.8926     7.0773     14.0509














































































































































































-2.4812    8.2206     14.9159    RTEMFOS
-2.6101    8.2209     14.6896
-2.716     8.1757     14.4984
-2.8163    8.1027     14.2952
-2.8594    8.0547     14.1522
-2.9045    7.9973     13.9873
-2.9741    7.9066     13.7213
-3.023     7.8481     13.5684
-3.0766    7.7665     13.3851
-3.1366    7.7206     13.2012
-3.1709    7.732      13.0099
-3.2785    7.6382     12.8348
-3.4021    7.671      12.5549
-3.5121    7.642      12.4024
-3.6833    7.7316     12.1816
-3.7435    7.9766     12.0791
-3.8548    8.1615     12.0084
-3.9569    8.3443     11.9891
-3.9955    8.4588     11.9945
-4.0067    8.57       11.9875




















































































































































































3.2408     8.8353     14.4919    LTEMFOS
3.3254     8.8276     14.3189
3.4084     8.8296     14.0875
3.469      8.821      13.9145
3.5314     8.7712     13.7287
3.5612     8.7444     13.5042
3.607      8.6812     13.3178
3.6461     8.5958     13.1311
3.6537     8.5366     12.8646
3.7374     8.4213     12.6215
3.773      8.3673     12.4276
3.8151     8.3204     12.2577
3.8728     8.3827     11.9778
3.9617     8.4361     11.7407
4.0295     8.5343     11.5629
4.1354     8.6795     11.4304
4.1761     8.9065     11.334
4.3444     9.0404     11.2634
4.3179     9.2892     11.316






























