FMNH        27189     Tg18stv























8.4582      10.6779     11.3296     RORBIT
8.3108      10.8935     11.3908
8.2315      11.0065     11.4502
8.1163      11.1215     11.5312
8.0955      11.2003     11.6236
7.9963      11.3022     11.7266
8.0008      11.3498     11.8459
7.9805      11.413      12.0448
7.928       11.4815     12.229
7.8797      11.5271     12.4
7.8523      11.503      12.5385
7.8546      11.4558     12.7235
7.7814      11.4677     12.8743
7.7166      11.367      13.0893
7.6339      11.0816     13.2214
7.5784      10.8488     13.2939
7.5806      10.6545     13.3101
7.5595      10.4747     13.3332
7.6061      10.2702     13.3001
7.6162      10.0893     13.2826
7.8623      9.8665      13.1217
7.7819      9.8085      13.168
7.8748      9.6082      13.1726
8.1254      9.4824      13.1076
8.2226      9.3749      13.189
8.5127      9.2539      13.15
8.6314      9.1799      13.1376
8.7974      9.1346      13.1104
8.9443      9.1571      13.0179
9.077       9.1982      12.8105
9.1738      9.2152      12.6051
9.23        9.303       12.4479
9.2925      9.382       12.2388
9.2935      9.4328      12.1299






































































































































































10.9933     8.274       11.3786     LORBIT
11.1095     8.1711      11.4113
11.266      8.0461      11.4817
11.3622     7.9491      11.5089
11.5214     7.8549      11.6175
11.653      7.8178      11.7935
11.7823     7.7533      12.0133
11.863      7.7282      12.1974
11.9292     7.6783      12.3521
12.0165     7.625       12.5164
11.981      7.646       12.73
11.9716     7.5948      12.8945
11.9459     7.5586      13.1044
11.8049     7.5685      13.3063
11.5949     7.4638      13.4097
11.4192     7.4461      13.445
11.2823     7.4508      13.447
11.1695     7.3958      13.5006
11.0816     7.4103      13.4728
10.9055     7.4705      13.4449
10.7894     7.4963      13.4091
10.6583     7.5397      13.3623
10.5225     7.5292      13.3617
10.3368     7.665       13.2586
10.1768     7.786       13.2035
9.9685      7.8671      13.2462
9.809       7.9758      13.3205
9.7725      8.1951      13.2751
9.5998      8.4623      13.1688
9.5941      8.6029      13.0567
9.5507      8.7162      12.9212
9.663       8.8262      12.7057
9.6993      8.8662      12.5535
9.7437      8.9097      12.3642
9.7586      8.9363      12.2485
9.7864      8.9613      12.0934




































































































































































7.8366      12.0694     13.188      RTEMFOS
7.7981      12.1707     12.8817
7.7643      12.2717     12.6319
7.7514      12.3347     12.4184
7.7445      12.3791     12.1543
7.721       12.4291     11.9366
7.7176      12.4739     11.7015
7.7168      12.5151     11.4648
7.6866      12.5297     11.2797
7.6885      12.5945     11.0595
7.7573      12.7366     10.8376
7.7225      12.9224     10.6438
7.7497      13.1148     10.5211
