FMNH       27039      Tg12stv



















6.8366     12.0892    13.7772    SUPORB
6.8235     11.9923    13.9243
6.7838     11.9016    14.1297
6.7644     11.7376    14.2426
6.765      11.59      14.3115
6.7359     11.4213    14.3396
6.7126     11.3036    14.3426
6.6855     11.1485    14.3316
6.6656     11.0543    14.3351
6.6437     10.8752    14.3252
6.6264     10.7302    14.3284
6.6446     10.5613    14.3417
6.6911     10.4147    14.357
6.7297     10.4012    14.3746
6.7181     10.2198    14.3682
6.7472     10.0315    14.37
6.7699     9.8831     14.3632
6.8588     9.6974     14.3704
6.9421     9.5515     14.3679
7.0474     9.3648     14.3389
7.1392     9.2289     14.3295
7.2513     9.0803     14.308
7.3334     8.9347     14.2794
7.4099     8.7858     14.2507
7.4926     8.6925     14.2428
7.608      8.6034     14.2592
7.6853     8.4725     14.228
7.7853     8.3977     14.2819
7.9587     8.2767     14.3262
8.0673     8.1842     14.3527
8.1854     8.055      14.3885
8.3039     7.8861     14.4149
8.468      7.7398     14.4165
8.5905     7.6179     14.4732
8.7619     7.5115     14.501
8.8917     7.4155     14.5355
9.0486     7.354      14.5587
9.3086     7.2756     14.5597
9.4632     7.2224     14.5745
9.6178     7.2042     14.599
9.8101     7.175      14.6116
10.0123    7.1757     14.6457
10.1516    7.1953     14.6696
10.295     7.1899     14.6936
10.4679    7.2209     14.7252
10.628     7.2785     14.7518
10.7644    7.3524     14.7773
10.8605    7.39       14.7957
11.0065    7.4067     14.5917
11.1065    7.3551     14.4882
11.1698    7.2927     14.378
11.2298    7.2728     14.2282
11.2689    7.2796     14.2196
11.4059    7.3546     14.1251


















































































































































7.5723     10.262     11.7853    RORBIT
7.4088     10.46      11.7883
7.2911     10.692     11.8163
7.1926     10.8701    11.8716
7.1184     11.0188    11.9089
7.0579     11.1823    11.9973
7.03       11.2609    12.0381
7.07       11.3286    12.1328
6.9855     11.4922    12.2851
6.9861     11.5283    12.3746
6.9991     11.5793    12.5209
6.9725     11.6398    12.6539
6.9627     11.6754    12.7548
6.9541     11.6629    12.9864
6.9142     11.6472    13.1726
6.8567     11.5724    13.4121
6.7611     11.5469    13.4788
6.6673     11.3343    13.5937
6.5165     11.2189    13.6353
6.4696     10.9081    13.6415
6.4327     10.7052    13.6274
6.3636     10.4152    13.6331
6.404      10.249     13.6247
6.4166     9.9935     13.6521
6.5882     9.7737     13.6077
6.8374     9.6049     13.6301
7.0616     9.4282     13.7041
7.2226     9.2853     13.7316
7.4467     9.1782     13.7212
7.6337     9.0731     13.65
7.711      9.0055     13.5698
7.8139     9.0152     13.4401
7.8943     9.0156     13.266
7.9804     9.0737     13.1206
8.0614     9.1821     12.9708















































































































