BM(NH)     M32102     Too31stv



























































































8.08       5.6169     9.753      LORBIT
8.2502     5.5071     9.7374
8.4952     5.398      9.7197
8.7141     5.3294     9.6967
9.0576     5.1958     9.7467
9.3095     5.176      9.844
9.5422     5.119      9.9846
9.7971     5.1695     10.1356
9.9555     5.2359     10.2866
10.1866    5.2972     10.5256
10.2752    5.3668     10.6471
10.3229    5.4437     10.783
10.4036    5.5045     10.9653
10.4111    5.5354     11.2394
10.3577    5.5765     11.4092
10.2726    5.5029     11.6581
10.0697    5.538      11.7583
9.8174     5.557      11.9953
9.4517     5.6603     12.1251
9.2396     5.7008     12.2122
8.944      5.754      12.3516
8.7336     5.8272     12.2791
8.5749     5.9031     12.2312
8.1839     6.1788     12.3951
8.0226     6.3042     12.3857
7.7495     6.4993     12.3469
7.6305     6.6432     12.1467
7.6088     6.7352     11.892
7.4458     6.7968     11.6992
7.3839     6.8788     11.4925
7.369      6.8911     11.3635
7.3639     6.8816     11.3179
7.2908     6.8527     11.1913







































































































































































4.574      11.5765    11.0477    RTEMFOS
4.4739     11.7325    10.8731
4.4121     11.7654    10.6007
4.3063     11.7264    10.358
4.2079     11.6412    10.142
4.0596     11.6647    9.8862
4.0107     11.6401    9.7301
3.9141     11.5722    9.5838
3.8315     11.5004    9.326
3.7138     11.357     9.1067
3.5948     11.2077    9.0352
3.4149     11.0801    8.727
3.3469     11.0289    8.5736
3.2357     10.9704    8.4169
3.1504     11.024     8.2247
3.0959     11.1206    8.0101
3.05       11.2712    7.9241
3.0926     11.5459    7.8947
3.1048     11.6387    7.8937
3.1334     11.7847    7.8918




















































































































































































11.6006    5.6933     11.1403    LTEMFOS
11.6636    5.5668     10.9438
11.6953    5.4868     10.7526
11.711     5.4353     10.5829
11.739     5.3352     10.3775
11.761     5.1432     10.1313
11.765     5.039      9.9879
11.7703    4.8986     9.8007
11.7336    4.762      9.6242
11.6329    4.6005     9.496
11.5797    4.4693     9.3386
11.5748    4.3619     9.1142
11.5361    4.2194     8.9317
11.5363    4.1416     8.8089
11.5449    4.0737     8.6861
11.6495    4.0462     8.5932
11.7544    4.0331     8.5333
11.8733    3.9747     8.5015
11.9773    4.0996     8.4609
12.1272    4.1949     8.4994
12.3603    4.3246     8.5244
12.5108    4.3414     8.5452
12.715     4.3793     8.5273























