AMNH       110456     Rprf012z
17.6594    19.6457    9.2294
17.3669    19.8106    9.3201
17.1542    19.9198    9.3638
16.9817    20.0162    9.387
16.7599    20.0574    9.4323
16.5084    20.1718    9.4563
16.3285    20.2216    9.4608
16.0845    20.3785    9.4751
15.6968    20.5045    9.3972
15.4164    20.5929    9.3076
15.2465    20.6762    9.1643
15.0419    20.7403    8.9957
14.955     20.7855    8.8788
14.8659    20.8773    8.6587
14.7976    20.8943    8.4273






































































































































































19.0984    17.7947    6.8893     RORBIT
19.2046    17.6548    6.8638
19.2435    17.5222    6.9282
19.2884    17.4122    6.9564
19.2834    17.3096    6.9931
19.3489    17.2319    7.0252
19.3497    17.1276    7.0955
19.3613    17.0069    7.1528
19.3798    16.8957    7.2728
19.4103    16.7437    7.4842
19.4564    16.6175    7.6978
19.4318    16.5895    7.9174
19.4489    16.5818    8.114
19.4205    16.59      8.323
19.369     16.6471    8.5186
19.3429    16.7553    8.7538
19.2412    16.9938    9.0083
19.1678    17.2101    9.0708
19.1019    17.4014    9.1728
19.0365    17.5938    9.2039
18.9524    17.8627    9.1922
18.8674    18.0443    9.1731
18.776     18.1796    9.1189
18.6924    18.3222    9.0815
18.6576    18.4677    9.1367
18.5952    18.6115    9.0673
18.5185    18.7545    9.0002
18.4367    18.9104    8.9167
18.3799    18.9943    8.7801
18.3368    19.0535    8.6467
18.0472    18.6623    8.3603









































































































































































16.3528    20.7227    6.9676     LORBIT
16.2472    20.8081    7.0129
16.1159    20.8785    7.0111
15.9623    20.9452    7.0629
15.8381    20.961     7.1453
15.7278    21.0156    7.2495
15.575     21.0537    7.3378
15.4795    21.0523    7.4122
15.4456    21.0393    7.5103
15.3629    21.0578    7.7002
15.3207    21.0306    7.8474
