FSM        1011       Tg40stv
-2.0151    9.0377     14.0401
-1.7915    8.8089     14.1418
-1.4918    8.5835     14.1778
-1.1996    8.4004     14.1852
-0.9837    8.3133     14.194
-0.7142    8.3709     14.0949
-0.5061    8.31       14.2035
-0.2637    8.3836     14.1709
-0.0735    8.5455     14.0205
0.0071     8.6468     13.8237
0.0438     8.7126     13.6314
0.1152     8.679      13.468
0.1622     8.6652     13.2911
0.1876     8.6322     13.1168













































































































































































2.2873     8.795      11.9841    LORBIT
2.4864     8.8209     11.9416
2.7407     8.8155     11.9038
2.8495     8.9262     11.9285
3.0273     9.0458     12.0084
3.1659     9.2239     12.1657
3.2851     9.33       12.3047
3.3908     9.4657     12.4766
3.4206     9.6022     12.7454
3.3815     9.6788     12.9114
3.4405     9.6899     13.2202
3.4749     9.6244     13.5392
3.3377     9.4584     13.7689
3.2454     9.2772     13.9326
3.0485     9.0119     14.0965
2.8618     8.8479     14.069
2.573      8.6045     14.1071
2.3484     8.5072     14.0608
2.1436     8.4631     14.029
1.8594     8.5157     13.9949
1.4281     8.6209     13.9827
1.1942     8.6513     13.8592
1.0953     8.7128     13.6299
0.9762     8.7195     13.4014
0.9296     8.7137     13.2549
0.9159     8.7075     13.1503
0.9813     8.6761     12.9212













































































































































































-2.7179    10.0712    13.9159    RTEMFOS
-2.7864    9.9986     13.7717
-2.8765    9.9919     13.5737
-2.9624    9.915      13.3633
-3.0125    9.8562     13.2338
-3.0884    9.8041     13.0571
-3.1617    9.7494     12.8431
-3.2442    9.7314     12.6587
-3.2967    9.697      12.489
-3.3375    9.6076     12.3423
-3.4221    9.5411     12.1083
-3.4852    9.4862     11.9083
-3.5705    9.4619     11.7045
-3.6361    9.4073     11.5211
-3.7875    9.3769     11.2535
-3.9403    9.4682     11.0533
-4.1529    9.6444     10.8614
-4.2785    9.728      10.7781
-4.4666    9.886      10.6892
-4.5476    10.0688    10.692
-4.6287    10.2471    10.6519
-4.7275    10.4162    10.6762
-4.8004    10.5494    10.6767
-4.8574    10.6743    10.6801
















































































































































































3.4759     10.2928    14.0042    LTEMFOS
