AMNH       119648     Rpr11stv





















































-2.2739    6.8842     4.9285     RORBIT
-2.4803    6.8469     4.9257
-2.6567    6.9013     4.9906
-2.8526    7.0069     5.12
-3.0447    7.0616     5.2723
-3.2742    7.1549     5.5752
-3.2912    7.2041     5.7338
-3.3424    7.2486     5.8935
-3.2887    7.2936     6.0112
-3.2982    7.3353     6.2344
-3.2736    7.3478     6.474
-3.201     7.3326     6.6758
-3.0391    7.3089     6.9454
-2.7178    7.2994     7.1864
-2.3443    7.1849     7.2996
-2.0442    6.9683     7.3857
-1.8724    6.8762     7.3975
-1.5512    6.8153     7.2969
-1.2665    6.7824     7.1674
-1.0003    6.7786     6.9685
-0.8254    6.7565     6.8094
-0.8315    6.9199     6.3888
-0.805     6.9468     6.141

















































































































































































1.9923     7.0249     4.8045     LORBIT
2.1249     7.0711     4.8292
2.323      7.1579     4.8895
2.5415     7.2037     4.9692
2.754      7.2733     5.1082
2.9555     7.378      5.294
3.0172     7.4329     5.432
3.052      7.5501     5.6822
3.0703     7.6118     5.8701
3.0672     7.6407     6.0229
3.0452     7.671      6.3324
2.9633     7.651      6.5771
2.8301     7.5823     6.8753
2.6784     7.5649     6.9701
2.5145     7.5551     7.0743
2.3297     7.481      7.13
2.0617     7.4026     7.177
1.9109     7.2891     7.2136
1.7208     7.1679     7.2026
1.4101     7.0143     7.1725
1.1687     6.9927     7.0379
0.9237     6.959      6.8945
0.7376     6.9531     6.7018
0.7005     7.0186     6.5605
0.6629     7.0108     6.3154
0.6632     7.0203     6.226
0.6338     6.9695     6.0872













































































































































































-3.725     7.8789     6.6437     RTEMFOS
-3.7897    7.8679     6.4648
-3.838     7.8457     6.2907
-3.8796    7.8347     6.1025
-3.8971    7.7948     5.9215
-3.8912    7.7124     5.7852
-3.888     7.7032     5.5911
-3.8703    7.693      5.4036
-3.8592    7.7289     5.1886
-3.8573    7.6768     5.0314
-3.8412    7.7533     4.7699
-3.8711    7.7681     4.6367
-3.8719    7.9218     4.5026
-3.9235    8.078      4.2615
-3.9576    8.3144     4.2196
-4.0794    8.4769     4.1627
-4.043     8.5768     4.1631
-4.0722    8.6763     4.138








































































































































