MNHN       AC A-1437  Tg38stv



























































0.3522     2.1141     7.4851     NASP-PR
0.3525     1.7816     7.2569
0.3647     1.6579     7.1001
0.3627     1.5431     6.9185
0.3275     1.3801     6.6885
0.3663     1.2468     6.3626
0.3364     1.1692     6.1184
0.3584     1.1395     5.9402
0.3576     1.1473     5.5805
0.2997     1.1456     5.3712






























































































































































































-0.4095    4.768      8.7384     R-PM/MAX
-0.4912    4.5679     8.6214
-0.5546    4.2913     8.4525
-0.564     4.1057     8.3313
-0.5806    3.9366     8.2599
-0.5947    3.7649     8.1797
-0.6256    3.5647     8.0996
-0.666     3.3898     8.0214
-0.6688    3.1805     7.9546
-0.7664    3.0034     7.8485
-0.8441    2.9785     7.8009
-0.9271    2.9726     7.7312
-1.0041    2.8617     7.6515
-1.1104    2.7951     7.5187
-1.2942    2.6454     7.2884
-1.5063    2.2813     6.8334
-1.5377    2.0757     6.627
-1.5018    1.9147     6.3547
-1.4316    1.8414     6.1082
-1.335     1.7572     5.9724
-1.1337    1.7438     5.7106



















































































































































































1.0725     4.8592     8.6818     L-PM/MAX
1.1261     4.6073     8.5139
1.1257     4.3785     8.3493
1.1518     4.1499     8.1927
1.1831     3.82       8.0255
1.1622     3.5691     7.954
1.1886     3.362      7.8559
1.2729     3.1755     7.7784
1.3212     2.9858     7.6818
1.4116     3.1788     7.7156
1.5247     3.3406     7.7143
1.5588     3.1695     7.5946
1.7565     2.8312     7.2505
1.8147     2.6946     7.0771
1.9214     2.559      6.8828
1.9607     2.4147     6.7139
1.9936     2.253      6.4736
1.9574     2.1202     6.2531
1.8992     2.0124     6.0095
1.8202     1.9746     5.849
1.6552     2.0113     5.6046



















































































































































































-2.379     5.6312     5.9174     ROSTRUM
-2.341     5.5656     6.178
-2.3179    5.5965     6.3793
-2.2056    5.5685     6.5443
-2.0023    5.5985     6.6803
-1.8638    5.5685     6.7731
-1.6683    5.5992     6.9009
-1.5109    5.607      7.0133
-1.3727    5.6293     7.2319
-1.2521    5.6767     7.4896
-1.1474    5.6433     7.7141
-1.063     5.6232     7.9107
-0.9854    5.6132     8.1407
-0.9384    5.6429     8.3965
-0.8987    5.6551     8.6161
-0.8311    5.6165     8.8898
-0.6177    5.57       9.1105
-0.4768    5.5538     9.1773
-0.2964    5.5697     9.2832
-0.0331    5.5741     9.3754
0.2141     5.5802     9.4294
0.4384     5.5824     9.4203
0.6156     5.5868     9.4113
0.8032     5.6559     9.349
0.9479     5.6378     9.226
1.1565     5.6353     9.1536
1.2564     5.697      9.1119
1.3763     5.7241     8.8064
1.3946     5.6767     8.5563
1.3756     5.756      8.2612
1.401      5.7556     8.0271
1.4815     5.8118     7.7757
1.5698     5.8328     7.5313
1.6172     5.9092     7.2879
1.7076     5.8998     7.1017
1.7678     5.9204     6.8782
1.8732     5.9867     6.7446
1.962      5.979      6.6521
2.1053     5.9466     6.5461
2.1949     5.8708     6.4409
2.363      5.8736     6.3285
2.4789     5.8184     6.1317
2.5501     5.8357     5.8805
2.5538     5.8383     5.6941
2.5556     5.8647     5.5015



























































































































































-2.6283    8.4919     13.5119    SUPORB
-2.5555    8.4276     13.687
-2.3827    8.2135     13.8896
-2.2825    8.0466     13.9128
-2.1854    7.9205     13.9277
-2.0306    7.7886     13.9769
-1.945     7.6583     13.9764
-1.6943    7.5456     13.9733
-1.4847    7.4762     13.9894
-1.2208    7.4701     13.9585
-0.9544    7.4099     13.9479
-0.7115    7.3339     13.8934
-0.4922    7.2608     13.8553
-0.2584    7.2031     13.7871
-0.0733    7.1693     13.7418
0.1341     7.2018     13.7142
0.3103     7.1848     13.6919
0.5492     7.1836     13.6413
0.7383     7.2059     13.6507
0.9658     7.2385     13.657
1.2014     7.2564     13.6977
1.7081     7.287      13.7449
1.8957     7.3266     13.7653
2.1093     7.3861     13.778
2.3177     7.4861     13.7708
2.558      7.567      13.7758
2.7765     7.7094     13.7414
2.9755     7.9021     13.7295
3.1716     8.1411     13.6802
3.3163     8.4021     13.6402
3.4585     8.5189     13.5635
3.5997     8.5339     13.3876
3.6079     8.593      13.11







































































































































































-1.2454    7.2298     11.273     RORBIT
-1.4915    7.2457     11.2761
-1.7946    7.3071     11.3164
-1.998     7.3931     11.4318
-2.2022    7.5447     11.6425
-2.2806    7.6422     11.8132
-2.4072    7.7822     12.0379
-2.4438    7.8783     12.2646
-2.4154    7.9494     12.4917
-2.4072    7.9629     12.7216
-2.3989    7.9256     12.9871
-2.3181    7.8628     13.1737
-2.2395    7.7965     13.2373
-2.0492    7.5286     13.3877
-1.8585    7.3706     13.4598
-1.6358    7.23       13.4534
-1.3912    7.1092     13.4333
-1.2457    7.0726     13.395
-1.1139    7.0289     13.3729
-0.9317    7.0241     13.3318
-0.7346    7.0251     13.2938
-0.5242    7.0301     13.2859
-0.3248    7.0238     13.2785
-0.0794    7.0526     13.2276
0.0265     7.1305     13.1078
0.0823     7.1743     12.9482
0.1082     7.1646     12.8243
0.1609     7.1835     12.6488
0.1601     7.2379     12.5168
0.1725     7.273      12.386










































































































































































1.8801     7.3759     11.0995    LORBIT
2.1453     7.4166     11.0569
2.4391     7.4169     11.026
2.6833     7.5154     11.0556
2.865      7.6317     11.2095
3.0185     7.7596     11.3759
3.1276     7.8846     11.579
3.2127     8.0428     11.8258
3.2515     8.111      12.0102
3.3139     8.1092     12.2663
3.2905     8.1488     12.5046
3.2467     7.9714     12.8612
3.1462     7.7757     13.0459
2.994      7.5974     13.1523
2.7462     7.3859     13.2271
2.4612     7.1906     13.264
2.2148     7.0923     13.2506
1.8347     7.0592     13.2388
1.5469     7.0579     13.2306
1.3135     7.1117     13.1953
1.0874     7.1346     13.1285
0.9581     7.1907     12.975
0.8918     7.2706     12.746
0.8312     7.2717     12.5876
0.7816     7.3102     12.3476















































































































































































-2.6954    8.5404     13.4536    RTEMFOS
-2.9154    8.5222     13.2148
-3.0643    8.431      13.0686
-3.2351    8.4285     12.8032
-3.2956    8.3216     12.5687
-3.3345    8.2461     12.308
-3.4112    8.1446     12.094
-3.4672    8.0854     11.8117
-3.5044    8.003      11.5948
-3.542     7.934      11.2365
-3.6248    7.8123     10.9679
-3.6887    7.8825     10.6257
-3.9271    7.8898     10.4771
-4.1168    7.9401     10.2886
-4.2218    8.1287     10.1741
-4.3414    8.1962     10.1109
-4.635     8.441      9.9859
-4.7242    8.8146     10.0543
-4.8766    9.1289     10.0826





















































































































































































3.5904     8.598      13.0617    LTEMFOS
3.7437     8.6542     12.8587
3.8184     8.6659     12.7413
3.9132     8.645      12.5882
4.0351     8.5263     12.3838
4.0724     8.4776     12.1193
4.1249     8.3891     11.8521
4.154      8.3342     11.5653
4.1909     8.2771     11.3109
4.1953     8.226      11.0163
4.1981     8.0941     10.8781
4.2236     8.1292     10.6772
4.2592     8.1191     10.4878
4.3693     8.0652     10.2035
4.4216     8.192      9.9674
4.5745     8.2851     9.7947
4.8593     8.4361     9.6193
4.9606     8.5598     9.5259
5.13       8.7998     9.4305
5.1767     8.9994     9.4193
5.2168     9.2487     9.4113



















































































































































































0.7489     4.4909     11.6715    OP
0.5644     6.497      11.8575    BA
0.1315     11.2434    11.0493    ST
-0.0438    17.0527    11.3501    IV
-3.5545    6.753      11.8193    R_PG
-5.2133    8.6546     10.6122    R_ZTI
-1.9358    12.6828    13.1214    R_M3D
-2.3706    15.1574    12.7697    R_M12
-2.1587    17.6596    12.3054    R_MP3
-1.4176    19.0334    11.7496    R_PMI
4.3044     7.0963     11.4914    L_PG
5.6401     9.2314     10.2415    L_ZTI
2.0335     12.62      12.9324    L_M3D
2.3998     15.4479    12.5786    L_M12
1.8864     17.6849    12.3177    L_MP3
1.1084     19.0364    11.6863    L_PMI
-2.6684    19.2655    14.3943    O1
2.6085     10.781     5.4041     O2
-5.228     7.565      10.1712    O3
2.1613     2.6512     8.8339     O4




















































































































































































-3.4949    12.4771    10.4512    RZYGINF
-3.6622    12.2996    10.2842
-3.8398    12.1464    10.2082
-4.0139    11.9845    10.1563
-4.2278    11.7133    10.1971
-4.3851    11.5061    10.2663
-4.5236    11.2329    10.3397
-4.6457    10.9846    10.383
-4.7483    10.7457    10.4025
-4.8612    10.4561    10.4156
-4.936     10.2663    10.4255
-5.0232    10.0471    10.4228
-5.0333    9.8011     10.4779
-5.0356    9.5971     10.5196
-5.038     9.368      10.5806
-4.99      9.1899     10.6438
-4.9915    9.0456     10.6675
-5.035     8.8664     10.6957
-5.1426    8.7495     10.6706
-5.1978    8.6796     10.6181




















































































































































































3.5476     12.8337    10.3363    LZYGINF
3.6527     12.7747    10.2237
3.8161     12.6927    10.0391
3.9333     12.5871    9.9518
4.1347     12.5291    9.8531
4.3275     12.3956    9.8334
4.4787     12.242     9.8631
4.6108     12.0281    9.8983
4.7476     11.8102    9.9201
4.9195     11.5731    9.9949
5.1417     11.3635    10.0235
5.2467     11.1647    10.0527
5.3592     10.9442    10.0905
5.4647     10.6966    10.0635
5.3791     10.4732    10.1097
5.3301     10.2397    10.161
5.3041     10.0188    10.1771
5.3331     9.7436     10.2027
5.3398     9.5189     10.2176
5.4126     9.2691     10.2695
5.6712     9.233      10.1883



















































































































































































-1.9418    12.581     13.0639    R-ALV
-2.1373    12.8998    12.9418
-2.213     13.2353    12.8564
-2.281     13.5489    12.8132
-2.3129    13.8318    12.8291
-2.3674    14.1003    12.8458
-2.392     14.3823    12.7793
-2.4084    14.5357    12.7476
-2.4483    14.7729    12.7026
-2.4372    15.0091    12.662
-2.4246    15.2645    12.645
-2.4176    15.4932    12.6211
-2.4362    15.7538    12.6026
-2.4282    16.0029    12.5895
-2.3816    16.23      12.5432
-2.2898    16.4675    12.6189
-2.2814    16.7289    12.5852
-2.2759    16.9326    12.5787
-2.2609    17.1661    12.5357
-2.2077    17.3856    12.4984
-2.1925    17.5447    12.4159
-2.0988    17.7317    12.2934


















































































































































































2.2141     12.8393    12.7359    L-ALV
2.3132     13.1455    12.7485
2.3503     13.3618    12.6517
2.3464     13.6527    12.6562
2.4193     13.9099    12.6277
2.4473     14.1966    12.5996
2.4848     14.476     12.5841
2.4826     14.6565    12.57
2.5199     14.8976    12.4872
2.4555     15.2938    12.4429
2.4305     15.5896    12.4701
2.4247     15.9021    12.4804
2.3415     16.2077    12.4837
2.2619     16.4663    12.3427
2.2101     16.7711    12.4158
2.1728     16.9696    12.4296
2.1146     17.2066    12.3696
2.042      17.438     12.3029
1.9876     17.5795    12.3011
1.8314     17.7668    12.2594
