NMNH       63470      See8stv
-2.4836    7.1275     5.8339
-2.4302    7.0952     6.1395
-2.3063    7.0611     6.3291
-2.0978    7.0402     6.5015
-1.9756    7.0079     6.6343
-1.7642    6.9084     6.7953
-1.6335    6.7958     6.8795
-1.4055    6.624      6.907
-1.1786    6.4627     6.9464
-0.9556    6.3313     6.9178
-0.7269    6.2436     6.8315
-0.4837    6.1532     6.7811
-0.3363    6.0865     6.6969
-0.198     6.0306     6.5384
-0.1896    6.0827     6.0407
-0.1845    6.1109     5.8045
-0.148     6.2305     5.5887













































































































































































2.528      5.7097     4.5539     LORBIT
2.7905     5.7742     4.5455
2.9874     5.8314     4.5508
3.1592     5.9515     4.5947
3.377      5.982      4.6779
3.5705     6.0301     4.7991
3.7611     6.1345     4.9707
3.8094     6.2777     5.2248
3.8755     6.3327     5.5003
3.9475     6.3811     5.7491
3.9138     6.4156     5.9793
3.9012     6.372      6.2593
3.8016     6.3635     6.3638
3.6603     6.3754     6.4848
3.5131     6.3605     6.6334
3.3447     6.3636     6.8123
3.1396     6.2961     6.9336
2.8819     6.1913     7.0033
2.6622     6.0787     7.0093
2.3866     6.018      6.9749
2.1116     5.9248     6.9501
1.8838     5.907      6.8764
1.6525     5.8667     6.7802
1.4265     5.8644     6.6031
1.4442     5.9548     5.8277















































































































































































-2.5907    7.7284     6.445      RTEMFOS
-2.6992    7.779      6.2243
-2.7637    7.7854     5.9927
-2.9048    7.6281     5.85
-2.9817    7.5091     5.5452
-2.9999    7.4377     5.3946
-3.0227    7.3301     5.1542
-3.033     7.2628     4.9398
-3.0422    7.2629     4.7272
-3.0573    7.1061     4.5237
-3.0548    7.1187     4.1834
-3.0724    7.2139     3.8931
-3.1758    7.2886     3.716
-3.2751    7.4408     3.5143
-3.3477    7.6455     3.3911
-3.3736    7.8731     3.3709
-3.3719    7.9722     3.3898
-3.3647    8.0815     3.4256









