KNM        ER 1531    Too20stv





















































9.0518     17.4011    11.4664    SUPORB
8.9677     17.2404    11.766
8.9463     17.0322    11.8801
8.9768     16.8123    11.9297
8.9949     16.6371    11.9915
8.994      16.4164    12.0576
8.9649     16.2026    12.1244
8.9496     15.9455    12.1829
8.9809     15.8057    12.2338
9.0161     15.6064    12.3214
9.0901     15.4034    12.3981
9.1937     15.2361    12.4677
9.279      15.1265    12.5166
9.4177     14.9636    12.5893
9.5566     14.882     12.6512
10.2545    14.2438    12.9235
10.5072    14.0391    12.9898
10.6919    13.9302    13.029
10.7974    13.7964    13.0298
10.9153    13.6052    12.9931
10.98      13.4855    12.949
11.0834    13.2908    12.8608
11.2088    13.1133    12.828
11.3985    12.9826    12.9012
11.7164    12.967     13.0426
11.9741    12.8974    13.08
12.1413    12.7981    13.0805
12.3488    12.6526    13.0623
12.6034    12.4603    13.0269
12.8423    12.275     12.9824
13.0076    12.0871    12.9321
13.2068    11.9899    12.9072
13.3938    11.9472    12.8597
13.6071    11.9152    12.7915
13.8484    11.8521    12.7119
14.0836    11.8468    12.6919
14.3371    11.7931    12.5975
14.5657    11.774     12.4772
14.7114    11.7534    12.3994
14.9785    11.7265    12.4097
15.2173    11.7047    12.3495
15.4042    11.7062    12.1787
15.5167    11.721     12.0557
15.6182    11.6807    11.8881
15.5389    11.4101    11.5391



























































































































































9.1772     13.9544    9.3244     RORBIT
8.9483     14.1632    9.2639
8.7547     14.4044    9.2406
8.6709     14.6865    9.2531
8.603      14.9312    9.3867
8.6018     15.2081    9.5217
8.5957     15.43      9.6362
8.668      15.5271    9.7194
8.6903     15.6889    9.8608
8.7354     15.8182    9.9866
8.736      15.9298    10.1265
8.7171     16.1039    10.3183
8.8093     16.2047    10.5085
8.8274     16.2233    10.7412
8.6806     16.1468    11.1094
8.7271     15.9681    11.2916
8.7014     15.8816    11.4519
8.7702     15.7164    11.5409
8.8201     15.5891    11.6732
8.8592     15.445     11.8172
8.9406     15.2907    11.8302
8.9551     15.1719    11.8991
9.0232     15.008     11.956
9.1074     14.9324    11.921
9.1528     14.8468    11.9268
9.9362     13.7123    11.9863
10.0558    13.5618    11.9033
10.1653    13.4378    11.7253
10.2789    13.2569    11.4272
10.4155    13.2342    11.2616
10.5159    13.191     10.9484
10.499     13.1746    10.7959








































































































































































12.3586    11.3134    9.3396     LORBIT
12.5241    11.1822    9.313
12.7202    11.1411    9.3101
12.9404    11.1034    9.3403
