BMNH       69.556     Phk3stv
8.0068     4.3013     10.8198
7.8738     4.3375     10.5695
7.8202     4.3537     10.3782
7.7687     4.4066     10.1973
7.7465     4.4479     10.0576
7.7548     4.4566     9.8931
7.7955     4.467      9.6505
7.8334     4.436      9.5179
7.8172     4.3798     9.3904





























































































































































4.8681     7.7397     10.0617    RTEMFOS
4.8386     7.7464     9.8616
4.8631     7.6464     9.5908
4.8159     7.5953     9.4782
4.7977     7.5241     9.3303
4.802      7.42       9.1484
4.8073     7.3646     9.0274
4.8099     7.2972     8.8636
4.807      7.2087     8.626
4.7849     7.1063     8.4008
4.7817     7.1187     8.2022
4.734      7.0708     7.9168
4.6619     7.098      7.7261
4.5489     7.0597     7.5201
4.529      7.2738     7.4679
4.5346     7.5737     7.3583
4.5348     7.7536     7.3552
4.5496     8.0024     7.3745
4.6054     8.2441     7.3935
4.659      8.3534     7.4485
4.7338     8.5073     7.5185



















































































































































































11.5523    3.8809     9.9176     LTEMFOS
11.5606    3.8546     9.7278
11.5236    3.7991     9.6224
11.4515    3.7269     9.4223
11.3896    3.7014     9.2212
11.3184    3.6665     9.0732
11.2491    3.6664     8.9034
11.2075    3.6862     8.6955
11.1524    3.6352     8.5605
11.0984    3.6188     8.4116
11.0632    3.6181     8.1807
11.0427    3.5968     7.9384
11.0599    3.5552     7.7284
11.1172    3.5409     7.5782
11.2456    3.4983     7.4203
11.3991    3.4881     7.3119
11.5453    3.5272     7.2565
11.7548    3.6035     7.2399
11.945     3.6863     7.2333
12.0954    3.8175     7.2616
12.2479    3.9261     7.2721
12.3456    4.0154     7.3009
12.4551    4.1049     7.3499











































































































