MNHN       1969.447   Phh21stv
0.3173     8.0329     10.2687
0.4786     8.0265     10.2521
0.6153     8.0494     10.2437
0.8056     8.0128     10.2611
0.9658     7.9948     10.2725
1.1466     8.0125     10.309
1.3624     8.0185     10.2754
1.5415     8.0288     10.1915
1.6723     8.0509     10.0659
1.661      8.0568     9.6215
1.6811     8.0751     9.4557
1.6956     8.1396     9.2585
1.6595     8.1208     9.0759
1.6365     8.1169     8.8645
1.6068     8.1518     8.5858
1.5772     8.1668     8.4098
1.5537     8.1828     8.1745
1.522      8.1901     8.0286
1.5105     8.2298     7.9009
1.509      8.2015     7.7383
1.5431     8.1988     7.6321
1.6609     8.2288     7.5078
1.8644     8.2374     7.3727
2.0399     8.2789     7.2719
2.2001     8.3352     7.1297
2.2765     8.3657     6.8974
2.2423     8.4085     6.7197
2.2132     8.4435     6.5555
2.2218     8.4876     6.4882
2.2128     8.5134     6.3222









































































































































-4.2961    11.613     13.1013    SUPORB
-4.2383    11.7372    13.3311
-4.1442    11.8294    13.5109
-4.0218    11.8382    13.6619
-3.9161    11.806     13.8459
-3.7616    11.8256    13.977
-3.5324    11.7947    14.1702
-3.2782    11.7214    14.3072
-3.0638    11.6652    14.39
-2.8384    11.4482    14.5144
-2.5667    11.2967    14.5932
-2.3461    11.2454    14.6498
-2.1074    11.1009    14.6814
-1.9149    11.0614    14.6948
-1.6191    10.8705    14.7167
-1.3523    10.7423    14.6928
-1.091     10.5966    14.675
-0.67      10.4527    14.6064
-0.3816    10.4555    14.5679
-0.1693    10.3696    14.565
0.0987     10.4587    14.6074
0.6376     10.6154    14.66
0.8494     10.7178    14.6727
1.0682     10.8885    14.6884
1.3388     10.9723    14.668
1.6098     11.0737    14.6507
1.8027     11.2575    14.6202
2.062      11.3365    14.5532
2.2701     11.4305    14.4897
2.5045     11.4695    14.4235
2.7712     11.5072    14.2885
2.9534     11.6385    14.1814
3.2209     11.7215    13.9469
3.3283     11.774     13.8026
3.4783     11.7542    13.6275
3.5962     11.754     13.4526
3.6528     11.7158    13.2938
3.7423     11.6855    13.1189
3.7452     11.5819    13.0252
3.8577     11.5604    12.8371
































































































































































-2.0018    10.2178    11.6107    RORBIT
-2.2166    10.247     11.6072
-2.4227    10.2733    11.6248
-2.6528    10.3152    11.6746
-2.8316    10.4136    11.7349
-3.0615    10.5708    11.9023
-3.2403    10.7418    12.098
-3.3412    10.8557    12.2713
-3.3982    10.9476    12.4639
-3.4326    11.0337    12.6468
-3.5388    11.0114    12.8488
-3.5402    11.0357    13.1105
-3.4617    11.0148    13.3819
-3.3038    10.9591    13.5793
-3.1457    10.8591    13.764
-3.0385    10.778     13.8672
-2.8919    10.6809    13.9607
-2.7016    10.6089    13.9638
-2.542     10.557     13.9695
-2.359     10.395     14.0399
-2.1817    10.3504    14.0118
-2.0056    10.3282    13.9778
-1.6972    10.2901    13.885
-1.3633    10.4151    13.9664
-1.0577    10.3486    13.9896
-0.8241    10.2317    13.8507
-0.8068    10.3699    13.6329
-0.7667    10.4449    13.3782
-0.6477    10.4088    13.1413
-0.6369    10.4265    12.9944
-0.6106    10.4022    12.8575









































































































































































1.6722     10.2772    11.5341    LORBIT
1.8763     10.3347    11.5633
2.069      10.4704    11.6512
2.3217     10.5685    11.7255
2.485      10.6576    11.8602
2.6099     10.7623    12.0073
2.7453     10.8091    12.1519
2.8026     10.894     12.2686
2.9204     10.974     12.4517
2.9729     11.0488    12.6581
2.9989     11.0971    12.8267
2.999      11.0964    13.0962
2.8746     11.1193    13.2779
2.7994     11.0005    13.4323
2.6426     10.8653    13.6483
2.4688     10.6816    13.8558
2.1652     10.6611    13.8532
1.8954     10.4787    13.9321
1.671      10.346     13.9787
1.3998     10.3377    13.9029
1.1818     10.4043    13.8196
0.8875     10.3999    13.9175
0.5229     10.4153    13.9054
0.2099     10.3303    13.5134
0.0839     10.4174    13.1276
0.0645     10.4606    12.9844
0.0907     10.4848    12.813













































































































































































-4.324     11.6171    13.0153    RTEMFOS
-4.3873    11.5004    12.8364
-4.4326    11.4092    12.5178
-4.4385    11.235     12.2097
-4.4479    11.1675    12.0222
-4.4831    11.0471    11.7805
-4.494     10.9585    11.6074
-4.5197    10.8935    11.4373
-4.5271    10.8219    11.2724
-4.5696    10.7505    11.0426
-4.6023    10.7182    10.8957
-4.6596    10.6137    10.7599
-4.6564    10.5861    10.6631
-4.736     10.5648    10.3902
-4.8004    10.5514    10.2094
-4.9188    10.5751    10.022
-5.0389    10.6008    9.8901
-5.1832    10.7188    9.7732
-5.3133    10.971     9.7675
-5.435     11.355     9.8147
-5.5116    11.6325    9.8412
-5.6517    11.8318    9.8774
-5.6666    12.0308    9.9255

















































































































































































3.7436     11.6718    12.9539    LTEMFOS
3.8161     11.5538    12.7533
3.8556     11.4887    12.5336
3.875      11.4126    12.3797
3.8887     11.3398    12.1391
3.9535     11.253     11.9336
3.9126     11.1767    11.7766
3.9004     11.08      11.6134
3.9204     10.9835    11.3824
3.9303     10.8661    11.2218
3.9392     10.779     11.0309
3.9619     10.6907    10.8497
3.99       10.604     10.6215
4.049      10.5336    10.42
4.1057     10.5392    10.2634
4.2026     10.5424    10.12
4.2764     10.5767    10.0143
4.317      10.528     9.9217
4.394      10.5837    9.8877
4.4502     10.692     9.8157
4.5268     10.8779    9.7279
4.6704     10.922     9.7397
4.7397     11.1318    9.7394
4.8174     11.3582    9.7524
4.9102     11.5326    9.7315
4.9042     11.7326    9.7821
4.9784     11.9277    9.8049













































































































































































-0.0498    5.1508     11.7768    OP
0.0121     7.2526     11.8577    BA
-0.0606    12.5078    11.6475    ST
0.0972     18.4764    12.5219    IV
-4.1948    7.664      11.7094    R_PG
-5.8611    9.8503     10.8802    R_ZTI
-2.1331    13.1532    12.8272    R_M3D
-2.4905    15.7028    13.1879    R_M12
-2.1097    18.3554    13.3909    R_MP3
-1.127     19.6946    13.3777    R_PMI
4.1562     7.7429     11.3999    L_PG
5.6784     9.9356     10.4774    L_ZTI
1.9776     13.0844    12.7694    L_M3D
2.4515     15.6445    13.0956    L_M12
2.1608     18.2719    13.425     L_MP3
1.6073     19.791     13.3332    L_PMI
-0.4348    21.4681    13.6058    O1
2.9054     11.305     5.8746     O2
-5.9874    9.7467     10.5038    O3
0.7149     2.7133     8.5048     O4




















































































































































































-3.7696    13.6719    11.6074    RZYGINF
-3.9483    13.6163    11.472
-4.1061    13.4743    11.3797
-4.2659    13.3595    11.3378
-4.4449    13.2287    11.3166
-4.5629    13.0539    11.3613
-4.7102    12.8284    11.3776
-4.8169    12.5428    11.3789
-4.9222    12.3965    11.3614
-4.9568    12.1764    11.3591
-5.0261    11.9995    11.3447
-5.1184    11.7571    11.3767
-5.25      11.5703    11.3685
-5.2581    11.3369    11.3737
-5.3222    11.2148    11.3371
-5.4115    11.0433    11.2852
-5.4985    10.8734    11.2296
-5.5838    10.546     11.1474
-5.6938    10.3885    11.0767
-5.7975    10.2383    11.0053
-5.8459    10.0312    10.9529
-5.8142    9.8909     10.9548
-5.8214    9.8021     10.9038
-5.8139    9.7615     10.906
















































































































































































3.458      13.7806    11.4642    LZYGINF
3.6962     13.6715    11.3013
3.8485     13.5348    11.1976
4.0206     13.4217    11.1293
4.2038     13.2979    11.0905
4.4132     13.2171    11.0553
4.5296     13.1002    11.0504
4.6349     12.9133    11.0447
4.7153     12.6474    11.0243
4.7633     12.3631    11.0325
4.8173     12.1561    11.0411
4.8505     11.9713    11.0518
4.9139     11.7715    11.0608
4.9982     11.5618    11.0869
5.0977     11.3363    11.0376
5.2043     11.1248    10.9824
5.2602     10.8792    10.8659
5.3225     10.6693    10.7482
5.4084     10.4877    10.6754
5.4681     10.3578    10.6111
5.5093     10.255     10.5631
5.5379     10.1293    10.5159
5.5675     10.0165    10.5007
5.5732     9.9429     10.4734
5.5439     9.8523     10.4839















































































































































































-2.1252    13.1247    12.795     R-ALV
-2.3265    13.4048    12.8176
-2.4132    13.6761    12.8742
-2.5152    14.0866    12.9594
-2.5256    14.2983    13.0206
-2.5461    14.6442    13.078
-2.5561    14.839     13.1696
-2.5291    15.1187    13.2008
-2.5157    15.3707    13.2325
-2.514     15.664     13.1605
-2.5021    15.9352    13.1413
-2.4554    16.2115    13.1052
-2.4285    16.3028    13.2432
-2.3503    16.589     13.29
-2.3312    16.7994    13.1548
-2.3087    16.9906    13.1943
-2.2686    17.2164    13.3182
-2.2596    17.5789    13.3719
-2.2525    17.9369    13.3776
-2.251     18.1701    13.3401
-2.1686    18.3448    13.3768



















































































































































































1.8948     13.096     12.7647    L-ALV
2.2417     13.5699    12.9063
2.3505     14.001     13.0415
2.4509     14.3881    13.0042
2.4816     14.7409    13.0314
2.5029     15.0752    13.0275
2.4904     15.4716    13.0258
2.4569     15.735     13.0559
2.4233     16.021     13.1539
2.3585     16.3311    13.1582
2.2956     16.7658    13.1482
2.2341     17.0806    13.2331
2.2522     17.4574    13.3191
2.2717     17.7833    13.3553
2.2434     17.9776    13.3847
2.138      18.2679    13.4371
