FSM        1012       Tg37stv
-2.2609    9.1885     11.6635
-2.2253    9.1858     11.8978
-2.1929    9.127      12.1451
-2.0344    8.9498     12.3642
-1.7801    8.74       12.5645
-1.594     8.5358     12.6495
-1.3058    8.3554     12.6353
-1.0717    8.2014     12.6443
-0.8505    8.1622     12.6173
-0.6511    8.1849     12.5882
-0.3119    8.2351     12.6135
-0.0698    8.38       12.5174
0.0239     8.421      12.3156
0.0076     8.5456     12.0751
0.0528     8.5761     11.8871
0.0444     8.585      11.7259

















































































































































































1.8338     8.7407     10.8057    LORBIT
2.0982     8.8148     10.7987
2.3091     8.897      10.8473
2.5438     8.9835     10.9257
2.5888     9.0938     11.0425
2.7417     9.2203     11.2273
2.8722     9.284      11.4835
2.9088     9.3394     11.6618
2.9332     9.3457     11.876
2.8954     9.3432     12.1761
2.8734     9.2467     12.3269
2.8272     9.0673     12.5055
2.6642     8.8888     12.5955
2.4633     8.7544     12.6326
2.3733     8.5248     12.6879
2.0343     8.4698     12.5859
1.7574     8.3525     12.591
1.5571     8.185      12.6366
1.293      8.1305     12.6763
0.9744     8.2357     12.6265
0.6734     8.3427     12.5233
0.6342     8.4272     12.297
0.6097     8.5056     12.0097
0.6019     8.5543     11.795
0.6359     8.5726     11.724
0.6758     8.5696     11.5878














































































































































































-2.6186    9.6505     12.5101    RTEMFOS
-2.71      9.6914     12.2718
-2.8124    9.7096     12.0382
-2.8768    9.6263     11.8181
-2.9831    9.6975     11.5509
-3.0329    9.6844     11.2177
-3.078     9.6254     10.9506
-3.1045    9.6277     10.704
-3.1424    9.5617     10.4829
-3.169     9.4581     10.2457
-3.3385    9.573      9.8557
-3.5578    9.6993     9.6581
-3.7189    9.9236     9.496
-3.862     10.0691    9.4393
-3.9439    10.2416    9.4031
-4.0017    10.3977    9.4304
-4.0452    10.5425    9.4705
-4.1339    10.69      9.5578
-4.1724    10.7516    9.5515





















































































































































































3.1007     9.8962     12.4724    LTEMFOS
3.1968     9.9199     12.2165
3.248      9.9055     12.0861
3.2787     9.9286     11.9258
3.401      9.8546     11.7499
3.431      9.8484     11.5251
3.4826     9.8274     11.3563
3.5157     9.8371     11.212
3.5453     9.8688     11.0333
3.5729     9.8652     10.9033
3.6194     9.8179     10.6468
3.6627     9.7737     10.5161
3.7566     9.7399     10.1684
3.8254     9.7916     9.9699
3.9294     9.8894     9.8089
4.0173     9.9662     9.6741
4.1541     10.1171    9.5023
4.2969     10.2064    9.4027
4.3578     10.4262    9.3968
4.4317     10.6873    9.4268
4.4665     10.8263    9.4877
4.5221     10.9684    9.5077


















































































































































































0.619      6.1334     11.4554    OP
0.6674     8.0694     11.3189    BA
0.675      11.8609    10.6556    ST
0.5599     15.9418    10.5812    IV
-2.6779    8.0065     11.0497    R_PG
-4.1318    9.7258     10.3845    R_ZTI
-1.3038    12.1917    11.5463    R_M3D
-1.3387    14.494     11.2889    R_M12
-0.9171    16.5634    10.9116    R_MP3
-0.4641    17.07      10.8529    R_PMI
3.7823     7.9719     10.9309    L_PG
5.3392     9.534      10.1981    L_ZTI
2.5278     12.2531    11.6403    L_M3D
2.5302     14.5202    11.1945    L_M12
2.1119     16.499     11.1194    L_MP3
1.5812     17.0087    11.0003    L_PMI
0.3662     18.0982    10.7365    O1
2.9997     11.0356    5.9802     O2
-4.2077    9.6659     9.7418     O3
2.1257     4.4327     9.64       O4




















































































































































































-2.6327    12.5397    10.3476    RZYGINF
-2.8095    12.3712    10.2768
-3         12.251     10.2532
-3.2117    12.1425    10.2918
-3.354     11.9167    10.3668
-3.4683    11.6829    10.4018
-3.5926    11.5665    10.3788
-3.7247    11.3934    10.3407
-3.8532    11.1971    10.304
-3.9147    10.9425    10.2482
-3.962     10.7114    10.2044
-3.9714    10.5044    10.201
-3.9731    10.2657    10.2767
-3.9586    10.018     10.4109
-3.9971    9.873      10.4431
-4.0538    9.779      10.434
-4.1036    9.6879     10.3879























































































































































































3.9272     12.3316    10.2524    LZYGINF
4.1032     12.2414    10.1428
4.2883     12.1728    10.1112
4.5259     12.151     10.1287
4.719      11.9907    10.1639
4.7701     11.7106    10.2052
4.8663     11.5171    10.2266
4.9854     11.3641    10.2521
5.0259     11.0491    10.2406
5.1452     10.8515    10.2221
5.3201     10.5207    10.0855
5.3419     10.3286    10.0765
5.3751     10.1427    10.1011
5.3312     9.9355     10.1816
5.3839     9.7456     10.1856
5.3769     9.6365     10.1991
5.356      9.5312     10.1789























































































































































































-1.2276    12.1773    11.6102    R-ALV
-1.3488    12.4353    11.5007
-1.3943    12.7425    11.4582
-1.4229    13.0552    11.3374
-1.4029    13.4053    11.3439
-1.4204    13.6502    11.3464
-1.4238    13.9013    11.3654
-1.4301    14.1794    11.2814
-1.3162    14.4686    11.3014
-1.2802    14.714     11.2555
-1.2374    14.943     11.2877
-1.2008    15.1456    11.2436
-1.1031    15.3406    11.1432
-1.0755    15.5155    11.0896
-1.0899    15.811     11.1259
-1.0956    16.0538    11.1221
-1.0565    16.2258    11.0535
-1.0109    16.4166    11.0091
-0.8487    16.5864    10.936





















































































































































































2.5285     12.274     11.554     L-ALV
2.6697     12.5864    11.3608
2.6742     12.8053    11.3747
2.6717     13.0699    11.3504
2.6743     13.4113    11.2924
2.6931     13.602     11.2666
2.6078     13.8796    11.2768
2.6551     14.1469    11.2248
2.5859     14.3996    11.2076
2.5212     14.5444    11.2289
2.5001     14.7849    11.1933
2.4518     14.9969    11.1603
2.4408     15.1408    11.1838
2.4051     15.3509    11.1639
2.3481     15.5185    11.0729
2.3324     15.6655    11.0798
2.3243     15.9287    11.1712
2.3033     16.0956    11.0539
2.2313     16.315     11.0083
2.1409     16.5694    11.064
