AMNH       169432     Phu1cms3


23.3725    -17.6081   15.1453    SUPORB
23.3188    -17.5464   15.4668
23.3636    -17.3939   15.8432
23.4296    -17.2489   16.1841
23.5116    -17.074    16.4807
23.5446    -16.8111   16.7747
23.577     -16.4966   17.0773
23.5768    -16.2241   17.185
23.5993    -15.8      17.3743
23.6238    -15.4512   17.4768
23.6877    -15.1419   17.5677
23.7627    -14.8562   17.6192
23.7855    -14.6219   17.6507
23.8361    -14.3916   17.684
23.8074    -14.1287   17.6849
23.8137    -13.8124   17.6768
23.8227    -13.236    17.5872
23.8195    -13.0268   17.5288
23.8195    -12.814    17.4642
23.7878    -12.5455   17.3961
23.6565    -12.0373   17.4385
23.6451    -11.5913   17.4731
23.5868    -11.314    17.4871
23.5056    -10.977    17.4626
23.452     -10.6205   17.4161
23.3948    -10.2472   17.2972
23.3116    -9.9737    17.2231
23.2374    -9.7746    17.1439
23.0539    -9.4332    17.0068
22.9521    -9.0814    16.7959
22.7759    -8.7703    16.5912
22.643     -8.5009    16.3437
22.5234    -8.3203    16.0313
22.4784    -8.1832    15.6892
22.352     -8.1247    15.4578
22.3185    -8.0782    15.2595
22.2873    -8.0205    15.0441
22.2725    -8.008     14.8184
22.4073    -8.0183    14.6326

































































































































































24.5354    -15.0131   14.0467    RORBIT
24.5426    -15.2785   14.099
24.5561    -15.5513   14.1635
24.475     -15.8604   14.3089
24.3464    -16.1375   14.4848
24.2073    -16.2382   14.6615
24.0662    -16.2975   14.8589
23.936     -16.3587   15.1517
23.8877    -16.4263   15.3397
23.9348    -16.4842   15.5517
24.0838    -16.3864   15.8912
24.2458    -16.1952   16.1481
24.4001    -15.9456   16.3459
24.4424    -15.665    16.4027
24.5173    -15.4226   16.4612
24.5667    -15.1088   16.4901
24.5842    -14.7597   16.4843
24.5506    -14.5564   16.4178
24.5084    -14.2828   16.3693
24.3821    -14.0636   16.3176
24.2859    -13.3269   16.1853
24.3314    -13.2264   15.9183
24.3907    -13.1683   15.6166
24.3996    -13.1479   15.4422
24.391     -13.1422   15.2897
24.4388    -13.1344   15.1875














































































































































































24.2893    -10.4199   13.7112    LORBIT
24.1984    -10.2235   13.8146
24.1075    -10.0281   13.823
24.018     -9.748     13.8894
23.9173    -9.5846    13.953
23.8053    -9.4284    14.018
23.6707    -9.2579    14.1321
23.5373    -9.1291    14.2439
23.3955    -9.1055    14.4187
23.277     -9.0095    14.6587
23.1769    -8.8947    14.8552
23.1498    -8.8333    15.0881
23.1905    -8.8882    15.279
23.3252    -8.8853    15.4867
