UWMA       ZA 201     Phu78stv
12.3564    9.8924     7.569
12.4209    9.9582     7.2826
12.5045    9.9269     7.0257
12.6131    9.8725     6.845
12.7506    9.801      6.7223
12.946     9.6957     6.5596
12.9883    9.6565     6.4692
13.0005    9.6373     6.3478
13.0193    9.6343     6.2262
13.0402    9.6279     6.1078
13.0205    9.6429     5.9603



















































































































































9999       9999       9999       SUPORB







































































































































































































11.1658    14.0915    11.0631    RORBIT
10.9191    14.3064    11.1265
10.7219    14.5217    11.21
10.6596    14.6684    11.3122
10.543     14.8827    11.4166
10.5059    15.0821    11.5669
10.5018    15.2385    11.7388
10.5025    15.3605    11.8691
10.5037    15.4394    11.9981
10.5244    15.5454    12.1616
10.5583    15.5764    12.3324
10.5354    15.6326    12.617
10.5058    15.5854    12.751
10.4642    15.4839    12.8989
10.4132    15.2955    13.0581
10.3462    14.9697    13.348
10.3538    14.667     13.4473
10.4366    14.3885    13.4427
10.6201    14.1623    13.3536
10.6902    13.9569    13.327
10.7602    13.811     13.3049
10.8717    13.6713    13.2851
11.0185    13.5343    13.2588
11.1071    13.3628    13.2199
11.2206    13.1233    13.3221
11.3941    13.0124    13.3778
11.5881    12.7954    13.4001
11.7071    12.7284    13.2309
11.8073    12.7074    13.0615
11.848     12.7499    13.001
11.8981    12.7506    12.8348
11.9726    12.6539    12.4353
11.9869    12.6567    12.0794







































































































































































13.9225    11.4423    10.8578    LORBIT
14.1195    11.2699    10.9423
14.2953    11.1016    11.0169
14.4902    10.9676    11.1084
14.7039    10.893     11.2481
14.8737    10.8713    11.3694
15.0511    10.8692    11.5552
15.1911    10.8442    11.7021
15.3231    10.86      11.8774
15.4028    10.9017    12.0527
15.4381    10.8452    12.273
15.3997    10.8593    12.5309
15.284     10.7133    12.7655
15.112     10.6232    12.9341
14.8035    10.592     13.1588
14.6708    10.5926    13.2101
14.5243    10.6113    13.2385
14.3889    10.6557    13.2373
14.1536    10.6512    13.3251
14.0312    10.716     13.2923
13.8542    10.8193    13.2403
13.6408    10.9205    13.2293
13.3665    11.112     13.172
13.2321    11.2872    13.1519
13.09      11.3945    13.2435
13.0555    11.5094    13.2459
12.9379    11.6177    13.2832
12.7928    11.7598    13.2815
12.626     11.9369    13.1905
12.5557    12.0582    12.9566
12.5915    12.1075    12.8198
12.5623    12.1366    12.6604
12.5344    12.1954    12.4687
12.51      12.2202    12.333
12.5212    12.2272    12.1991
12.5101    12.2437    12.1158




































































































































































10.8362    16.6552    12.5907    RTEMFOS
10.6851    16.6807    12.3397
10.5228    16.66      12.1091
10.5003    16.6889    11.8591
10.4423    16.6817    11.725
10.428     16.6876    11.5481
10.4131    16.6677    11.3443
10.381     16.6492    11.1802
10.3401    16.6157    10.9558
10.287     16.5763    10.7994
10.2648    16.5226    10.5697
10.161     16.4937    10.4511
10.124     16.4876    10.2352
10.1327    16.56      9.9998
10.1281    16.6298    9.7816
10.1747    16.8278    9.6534
10.2365    17.0765    9.5676
10.2873    17.2093    9.5378
10.3972    17.3879    9.5514
10.4864    17.4357    9.5976
10.5842    17.5283    9.6409



















































































































































































16.5243    11.1131    12.3025    LTEMFOS
16.5162    11.0534    12.1729
16.5432    11.0169    11.9835
16.557     10.9522    11.8046
16.5403    10.9148    11.6298
16.5187    10.8757    11.4536
16.5065    10.8526    11.2408
16.4652    10.8419    11.0464
16.4205    10.7907    10.8461
16.383     10.7445    10.7419
16.3632    10.7206    10.6093
16.3224    10.6865    10.4001
16.2918    10.6672    10.2269
16.2789    10.6393    9.973
16.3205    10.5915    9.7202
16.4682    10.6371    9.5816
16.6238    10.6586    9.4255
16.8007    10.7341    9.3764
17.0089    10.8708    9.363
17.0898    11         9.3881
17.1604    11.126     9.417



















































































































































































8.9896     11.2383    12.0091    OP
10.5865    12.5362    12.0281    BA
14.7429    15.6863    11.6443    ST
19.4491    19.0729    11.1234    IV
8.4206     15.843     11.5463    R_PG
9.3232     17.783     10.5472    R_ZTI
14.1532    18.1709    12.4995    R_M3D
16.9356    20.3098    11.8747    R_M12
18.3373    21.1696    11.8609    R_MP3
19.2365    21.2376    11.5841    R_PMI
13.2034    9.7277     12.3472    L_PG
15.5548    9.9684     11.3694    L_ZTI
16.746     14.7048    12.9207    L_M3D
19.048     16.0507    12.4634    L_M12
21.0202    17.842     12.3344    L_MP3
21.3409    18.6433    11.9608    L_PMI
21.8766    19.9695    10.8281    O1
11.0454    16.7082    5.8989     O2
15.2466    9.6068     10.9683    O3
7.9893     8.7524     9.3478     O4




















































































































































































12.766     18.5406    10.2628    RZYGINF
12.4582    18.5132    10.1725
12.258     18.4096    10.1649
12.0094    18.4353    10.1158
11.8175    18.4401    10.1295
11.633     18.4989    10.1436
11.431     18.5348    10.2378
11.1928    18.4664    10.3618
11.0741    18.336     10.4843
10.7874    18.2351    10.5814
10.6321    18.1733    10.6511
10.5527    18.0842    10.677
10.3625    18.0411    10.7261
10.1803    18.0394    10.7235
9.9888     17.9897    10.7176
9.7885     17.9505    10.7161
9.5658     17.9168    10.6522
9.3873     17.8958    10.583
9.2997     17.8567    10.5365
9.2564     17.8242    10.4789




















































































































































































16.9383    12.7358    10.8698    LZYGINF
16.8738    12.5754    10.8382
16.8174    12.2884    10.8359
16.8588    12.0527    10.8832
16.8336    11.9449    10.9401
16.7873    11.7538    11.0746
16.5549    11.6886    11.2094
16.412     11.5262    11.3192
16.2688    11.3563    11.3966
16.1514    11.2378    11.4358
16.1053    11.084     11.4845
16.0667    11.0102    11.4986
16.0507    10.8891    11.5063
15.9695    10.7158    11.5195
15.8954    10.6003    11.5099
15.8055    10.3848    11.4981
15.7269    10.2556    11.4881
15.6142    10.1615    11.4435
15.5901    10.0879    11.4253
15.5032    10.0111    11.372




















































































































































































14.1615    18.2983    12.4198    R-ALV
14.2858    18.5346    12.3443
14.4224    18.7708    12.2588
14.5882    18.9963    12.1899
14.8272    19.0869    12.1908
15.0597    19.1984    12.1554
15.2756    19.3816    12.0816
15.4535    19.509     12.0035
15.5957    19.6435    11.9793
15.7612    19.7631    11.9656
16.0746    19.8729    11.8529
16.3378    19.9817    11.8748
