UCB LHES   104        Phq
5.4834     8.2561     11.5639
5.4534     8.355      11.6143
5.3641     8.4839     11.693
5.3381     8.5815     11.7611
5.279      8.6956     11.8548
5.2153     8.8152     11.9436
5.1981     8.9075     12.0546
5.1757     9.0346     12.2064
5.1561     9.0949     12.3027
5.1426     9.1526     12.4061
5.1707     9.1794     12.5277
5.1717     9.2118     12.6939
5.1597     9.2762     12.8659
5.1191     9.2161     13.0443
5.0492     9.1218     13.2632
5.0431     8.9755     13.4206
5.0082     8.7359     13.6388
5.0637     8.5527     13.7149
5.0621     8.3221     13.8599
5.1558     8.1994     13.8182
5.2314     7.965      13.8643
5.2832     7.7841     13.8979
5.3627     7.5568     13.9107
5.4408     7.4917     13.8695
5.6198     7.305      13.8157
5.7708     7.1945     13.7644
6.0687     6.9698     13.7681
6.2021     6.9412     13.7146
6.3412     6.8329     13.7057
6.4526     6.7123     13.6851
6.5778     6.6996     13.5473
6.607      6.6147     13.469
6.7362     6.6228     13.1824
6.7883     6.6544     13.0539
6.8155     6.6731     12.8382
6.8253     6.6828     12.6991


































































































































































8.7926     5.439      11.2951    LORBIT
8.9743     5.3275     11.2969
9.1363     5.279      11.3408
9.2695     5.2288     11.4009
9.4012     5.235      11.4495
9.5418     5.1899     11.5533
9.7124     5.0863     11.6327
9.8446     5.0762     11.7578
9.9443     5.0448     11.8638
10.0701    5.0623     12.0363
10.1563    5.0383     12.1372
10.2803    5.0192     12.2658
10.2676    5.1232     12.4298
10.3261    5.0703     12.531
10.3315    5.1667     12.7008
10.3143    4.9504     12.9537
10.1875    4.9177     13.1186
10.1042    4.8909     13.222
9.9497     4.872      13.3545
9.824      4.867      13.4665
9.6774     4.8826     13.5431
9.5022     4.8772     13.5946
9.3233     4.9496     13.6397
9.1892     5.0163     13.6576
8.9984     5.0478     13.6694
8.7442     5.029      13.7211
8.5919     5.1149     13.6908
8.3654     5.2726     13.6694
8.175      5.3499     13.6637
7.9525     5.4631     13.6973
7.7593     5.6091     13.6873
7.5708     5.7845     13.6723
7.4836     5.8761     13.5978
7.3662     5.9843     13.4362
7.353      6.0448     13.3057
7.3769     6.1285     13.1649
7.3468     6.1738     13.0091
7.4057     6.2303     12.8841
7.4208     6.2719     12.6753

































































































































































5.2241     9.9755     13.0422    RTEMFOS
5.1675     10.027     12.8514
5.1398     10.0654    12.6867
5.1046     10.0483    12.4703
4.96       9.9701     12.335
4.9664     9.9582     12.0403
4.8553     9.8999     11.9138
4.822      9.8596     11.7247
4.7768     9.8045     11.5209
4.7371     9.7524     11.337
4.6861     9.7173     11.1911
4.6528     9.7011     11.0405
4.6351     9.666      10.9254
4.6235     9.6535     10.7595
4.5998     9.6495     10.5566
4.5541     9.627      10.4919
4.5453     9.6501     10.3789
4.5657     9.7227     10.17
4.5458     9.8201     9.9802
4.5291     9.9231     9.8743
4.5731     10.0784    9.7957
4.6552     10.2787    9.758
4.7018     10.4717    9.8387
4.7553     10.5958    9.8587
4.836      10.7033    9.9375
















































































