TMP        AV 1010    Phu143sf
26.5311    2.6841     13.6425    R_M3D
23.6458    2.3187     13.3359    R_M12
21.0974    2.4077     12.5892    R_MP3
19.5361    3.1849     12.11      R_PMI
32.2792    9.1081     13.5442    L_PG
30.5129    10.148     12.2801    L_ZTI
26.563     7.0826     13.7725    L_M3D
23.6792    7.5328     13.1431    L_M12
21.0426    7.2386     12.564     L_MP3
19.4698    6.4705     11.8916    L_PMI
27.1226    0.8164     11.4387    O1
27.0553    8.7965     11.3666    O2
19.5361    3.1849     12.11      O3
19.4698    6.4705     11.8916    O4




















































































































































































27.1226    0.8164     11.4387    RZYGINF
27.4195    0.704      11.3562
27.5969    0.5747     11.333
27.7728    0.4796     11.4126
28.0606    0.3086     11.5834
28.3214    0.3372     11.7117
28.5786    0.291      11.8216
28.8136    0.2931     11.8925
29.0355    0.15       11.9756
29.2633    -0.0076    12.0471
29.3886    -0.2242    12.0719
29.6913    -0.2883    12.1727
29.788     -0.3607    12.2048
30.0979    -0.4599    12.2899
30.2431    -0.5077    12.3141
30.3024    -0.5482    12.3095
30.4317    -0.5874    12.2475























































































































































































27.0553    8.7965     11.3666    LZYGINF
27.3816    8.851      11.1799
27.5924    9.1279     11.2282
27.8433    9.267      11.3165
28.1774    9.2706     11.4842
28.4611    9.3955     11.5517
28.8976    9.5474     11.725
29.2495    9.6352     11.8557
29.5947    9.7497     11.9428
29.8274    9.9776     12.0166
30.0039    10.0654    12.1327
30.2012    10.1549    12.1977
30.3279    10.2478    12.2408
30.4436    10.2934    12.217
30.4989    10.2706    12.2213

























































































































































































26.4217    2.6445     13.7271    R-ALV
26.0034    2.466      13.6831
25.6948    2.2519     13.5504
25.3933    2.2408     13.563
25.009     2.1914     13.4636
24.6547    2.18       13.4167
24.2364    2.1838     13.3419
23.8347    2.2861     13.3692
23.5412    2.2899     13.2007
23.2727    2.3298     13.1821
22.9603    2.2992     13.1032
22.7305    2.3724     13.0207
22.2366    2.4452     12.7664
21.9536    2.3377     12.606
21.6102    2.3996     12.6081
21.4481    2.3669     12.5839
21.2928    2.3634     12.5414
21.1522    2.3938     12.5598






















































































































































































26.4482    7.0901     13.7099    L-ALV
26.1209    7.3143     13.5942
25.7704    7.4617     13.5514
25.3438    7.5123     13.5272
24.9597    7.5422     13.4798
24.5567    7.6022     13.3615
24.2186    7.5876     13.2966
23.8688    7.5292     13.2022
23.6547    7.4837     13.2079
23.3448    7.5107     13.0911
23.0988    7.4348     13.1451
22.7799    7.4021     13.0885
22.5067    7.289      12.9574
22.2059    7.265      12.9023
21.9727    7.2711     12.934
21.711     7.2414     12.8847
21.5293    7.2737     12.8389
21.3881    7.2948     12.7393
21.221     7.2551     12.6624
21.144     7.2439     12.6362
