NMNH       477331     Prv1stv
-1.4302    0.283      3.4078
-1.3502    0.2973     3.3781
-1.156     0.3077     3.4735
-1.0363    0.389      3.5755
-0.8934    0.5207     3.8158
-0.8946    0.576      3.9398
-0.8593    0.6018     4.1414
-0.8511    0.6444     4.358
-0.8702    0.6567     4.5441
-0.9603    0.642      4.7344
-1.0816    0.6295     4.8246
-1.2129    0.5865     4.8481
-1.3392    0.5794     4.8314
















































































































































































-1.3532    0.3044     3.3692     NASP-PR
-1.3324    0.1639     3.2546
-1.3393    0.1212     3.0548
-1.3455    0.1076     2.943
-1.349     0.1084     2.8351
-1.3431    0.1416     2.7092


































































































































































































-1.5728    0.9532     5.376      R-PM/MAX
-1.6766    0.9558     5.1832
-1.7579    0.9164     4.9948
-1.8142    0.848      4.8643
-1.8934    0.8635     4.6779
-1.9246    0.8601     4.58
-1.9556    0.8573     4.3757
-1.9967    0.841      4.2245
-1.9912    0.7889     4.1003
-2.0191    0.7388     3.9419
-2.0454    0.6716     3.788
-2.0879    0.6344     3.6512
-2.1646    0.6225     3.5144
-2.2089    0.5855     3.3523
-2.211     0.5211     3.2336
-2.2415    0.4894     3.1056
-2.2335    0.4911     2.9949























































































































































































-1.0839    1.0318     5.3312     L-PM/MAX
-1.025     1.0162     5.2152
-0.9896    0.9735     5.1272
-0.9211    0.9086     4.9826
-0.8612    0.8594     4.8671
-0.8243    0.8463     4.741
-0.8106    0.8175     4.6493
-0.7747    0.837      4.5085
-0.7475    0.8143     4.3917
-0.7032    0.7985     4.2541
-0.7089    0.7851     4.1261
-0.6618    0.7509     4.023
-0.6271    0.7276     3.9384
-0.6204    0.7233     3.8869
-0.5667    0.6592     3.7359
-0.5305    0.5871     3.491
-0.5066    0.5358     3.2828
-0.4634    0.4848     3.1835
-0.4354    0.4622     3.1214
-0.4207    0.4833     3.0125




















































































































































































-2.7338    1.1761     2.7981     ROSTRUM
-2.6285    1.1674     3.01
-2.5258    1.1406     3.1861
-2.4813    1.1529     3.3256
-2.4301    1.1456     3.4663
-2.459     1.0892     3.5562
-2.4073    1.0491     3.7655
-2.3015    1.086      3.8647
-2.2142    1.0224     3.951
-2.1292    1.0266     4.0975
-2.0768    1.0442     4.2107
-1.9735    1.0051     4.4432
-1.8981    1.0094     4.6818
-1.8161    1.0457     4.8703
-1.7396    1.0386     5.053
-1.6594    1.0632     5.2546
-1.5453    0.9675     5.402
-1.4283    0.9069     5.5152
-1.34      0.9189     5.5265
-1.1375    0.9399     5.3856
-1.0426    0.9525     5.2607
-0.9411    1.0004     5.1106
-0.8549    0.9777     4.9243
-0.7628    1.0438     4.7298
-0.7188    1.0539     4.5823
-0.6137    1.0375     4.3328
-0.5073    1.0259     4.1172
-0.4175    1.0767     3.9448
-0.2926    1.0909     3.815
-0.158     1.1548     3.7022
-0.2262    1.1857     3.5445
-0.2166    1.185      3.4135
-0.1725    1.1503     3.2375
-0.0947    1.1374     3.0825
-0.0304    1.1062     2.9725
0.0663     1.094      2.7966




































































































































































-4.3629    2.5601     5.6512     SUPORB
-4.3123    2.6033     5.7845
-4.25      2.6297     5.9703
-4.1408    2.5955     6.1632
-4.0065    2.535      6.3344
-3.8489    2.4698     6.4702
-3.6595    2.397      6.5311
-3.4294    2.2708     6.5267
-3.2179    2.1658     6.5853
-2.9407    1.9868     6.6328
-2.6898    1.9106     6.6748
-2.5185    1.8711     6.6665
-2.3742    1.8275     6.6609
-2.1918    1.7896     6.6563
-2.0184    1.6919     6.6394
-1.7669    1.673      6.5902
-1.586     1.5903     6.5571
-1.4511    1.5794     6.542
-1.2744    1.635      6.5931
-1.1066    1.6911     6.6143
-0.9228    1.7239     6.6208
-0.7101    1.7896     6.6785
-0.5066    1.8478     6.6826
-0.3093    1.908      6.685
-0.1535    1.9131     6.6873
0.0052     1.9121     6.6791
0.1854     1.9675     6.6467
0.3135     2.0289     6.6346
0.4923     2.1149     6.606
0.6528     2.1492     6.5497
0.7968     2.2154     6.5105
0.8806     2.3246     6.4687
1.0145     2.3828     6.4655
1.2109     2.5956     6.3188
1.3133     2.6412     6.2074
1.4232     2.6833     6.0389
1.4487     2.6906     5.9328
1.4981     2.672      5.8085
1.5626     2.6473     5.6711
1.6095     2.5575     5.4179
































































































































































-3.0828    1.4323     4.2664     RORBIT
-3.2771    1.5092     4.2863
-3.4371    1.6136     4.3484
-3.5527    1.6918     4.3958
-3.6991    1.7736     4.504
-3.7972    1.8667     4.6717
-3.9103    2.0042     4.9372
-3.9087    2.0611     5.0813
-3.9057    2.128      5.2728
-3.9118    2.1638     5.5078
-3.8399    2.1641     5.6754
-3.7129    2.1841     5.8488
-3.5368    2.0929     6.0405
-3.3542    2.0066     6.1594
-3.1211    1.9162     6.2368
-2.8541    1.8567     6.2743
-2.6313    1.8191     6.3289
-2.4081    1.7377     6.3385
-2.2347    1.6689     6.3383
-2.0928    1.59       6.3461
-1.9624    1.5653     6.2575
-1.8088    1.4912     6.1071
-1.7801    1.504      5.8983
-1.8014    1.5764     5.829
-1.7863    1.6423     5.7826















































































































































































0.4017     1.3857     4.2892     LORBIT
0.6148     1.5332     4.325
0.7716     1.6457     4.3955
0.8806     1.788      4.5362
0.9944     1.9094     4.7455
1.0857     2.0498     5.0377
1.1187     2.1062     5.1562
1.1419     2.1651     5.2901
1.1177     2.1671     5.3917
1.1522     2.1713     5.5575
1.1077     2.1652     5.7047
1.009      2.1567     5.8373
0.8973     2.12       5.9805
0.6863     2.0028     6.1821
0.5116     1.9447     6.2473
0.3478     1.9023     6.2595
0.1703     1.8298     6.3221
-0.0046    1.7821     6.353
-0.1947    1.7715     6.321
-0.3597    1.7457     6.3484
-0.5492    1.7099     6.3545
-0.7124    1.6738     6.2912
-0.8715    1.5359     6.1672
-0.9576    1.594      5.991
-0.9762    1.5912     5.8574
-0.9583    1.5297     5.5509














































































































































































-4.3581    2.5814     5.6923     RTEMFOS
-4.4155    2.4571     5.4027
-4.4335    2.3941     5.1933
-4.4968    2.3849     4.9303
-4.5072    2.3799     4.6791
-4.5226    2.3933     4.5048
-4.5285    2.3556     4.3593
-4.5702    2.4339     4.1351
-4.6215    2.5259     4.0457
-4.7243    2.6667     3.9804
-4.7513    2.758      3.9549
-4.8125    2.8822     3.9374
-4.8517    3.0222     3.9328
-4.9008    3.1574     3.909
-4.9452    3.3046     3.9106
-4.9888    3.4434     3.9178
-5.0134    3.5365     3.9161
-5.05      3.6058     3.9231
-5.0628    3.7093     3.9059
-5.0786    3.7653     3.9231




















































































































































































1.5042     2.5871     5.7359     LTEMFOS
1.6074     2.52       5.4606
1.6263     2.4598     5.216
1.6641     2.4115     5.0213
1.6796     2.4834     4.8405
1.7006     2.4764     4.6974
1.697      2.4741     4.4646
1.7361     2.4876     4.1996
1.7816     2.6258     4.0925
1.9713     2.8732     3.9511
2.0367     3.071      3.9452
2.1022     3.2725     3.9597
2.1653     3.4585     3.9833
2.2038     3.5686     3.9858
2.219      3.706      3.9987

























































































































































































-1.4886    1.0505     5.987      OP
-1.502     2.3764     6.4261     BA
-1.3683    5.4863     6.0348     ST
-1.2374    7.4049     6.0327     IV
-4.0902    2.8513     6.2589     R_PG
-5.1192    4.2057     6.1295     R_ZTI
-2.6139    5.4093     6.5894     R_M3D
-2.7691    6.3559     6.6405     R_M12
-2.6365    7.5748     6.5213     R_MP3
-2.0631    8.2411     6.2249     R_PMI
1.1832     2.8009     6.1617     L_PG
2.2907     4.0989     5.968      L_ZTI
-0.0817    5.3831     6.5494     L_M3D
0.173      6.2618     6.5781     L_M12
0.1678     7.564      6.3687     L_MP3
-0.3297    8.1365     6.2308     L_PMI
-0.7057    8.3622     5.786      O1
-3.8453    5.7572     3.0897     O2
2.359      3.8546     5.6058     O3
-2.5966    0.004      4.1003     O4




















































































































































































-3.4116    6.7572     5.701      RZYGINF
-3.6544    6.6813     5.6667
-3.8846    6.6645     5.643
-4.0128    6.6377     5.6335
-4.1446    6.509      5.6581
-4.2618    6.3922     5.746
-4.3506    6.2595     5.8376
-4.4397    6.0863     5.8615
-4.5079    5.9691     5.9139
-4.5803    5.7451     5.9709
-4.6168    5.6132     6.0304
-4.6632    5.4433     6.0777
-4.6928    5.2774     6.1194
-4.7565    5.1068     6.1248
-4.8175    4.9514     6.1237
-4.9343    4.71       6.1488
-5.0188    4.5901     6.1544
-5.0585    4.4624     6.1548
-5.0859    4.3428     6.1592
-5.0957    4.2264     6.1453




















































































































































































0.8406     6.6592     5.6544     LZYGINF
1.0209     6.6706     5.5943
1.2605     6.6167     5.5878
1.3962     6.4491     5.64
1.4932     6.2991     5.6589
1.6138     6.1099     5.744
1.7237     5.9799     5.7857
1.8837     5.7824     5.8081
1.9318     5.49       5.9153
1.9629     5.2256     5.9787
2.0408     5.0194     5.9439
2.0739     4.8028     6.0086
2.0393     4.6486     5.9962
2.1791     4.4749     6.0181
2.2416     4.3825     6.0093
2.2812     4.1681     5.9977
2.2945     4.0855     5.9885























































































































































































-2.5825    5.3353     6.5579     R-ALV
-2.6487    5.4587     6.5842
-2.7004    5.6106     6.6087
-2.7092    5.7899     6.5992
-2.7116    5.9408     6.6648
-2.7358    6.1392     6.6851
-2.7594    6.2822     6.6909
-2.752     6.4329     6.6954
-2.7609    6.4999     6.7363
-2.768     6.6094     6.7542
-2.7403    6.7951     6.7215
-2.7235    6.9642     6.6568
-2.7064    7.1132     6.6286
-2.6695    7.2754     6.5755
-2.638     7.3932     6.547
-2.6208    7.5069     6.4641
























































































































































































-0.1264    5.3197     6.5663     L-ALV
-0.0452    5.5261     6.5345
-0.0063    5.6553     6.5901
0.0336     5.7896     6.6042
0.0375     5.8711     6.5839
0.0649     5.9757     6.5869
0.1003     6.1331     6.5574
0.1341     6.2719     6.593
0.1503     6.3772     6.5965
0.1671     6.5532     6.5954
0.1673     6.7399     6.6042
0.1619     6.9229     6.6168
0.1419     7.0395     6.5707
0.1465     7.1568     6.5779
0.1436     7.2668     6.5372
0.1437     7.3922     6.4489
0.1559     7.5425     6.437
