AMNH-A     99.1/1668  Phq10bjw
2.0146     7.5521     5.7196
2.0471     7.5121     5.5364
2.0568     7.4764     5.3786
2.1156     7.4774     5.219
2.172      7.4584     5.0541
2.2605     7.4267     4.8929
2.3578     7.3777     4.7016
2.4218     7.3229     4.5293
2.5053     7.3075     4.4166
2.6066     7.3176     4.231
2.6342     7.3338     4.0202
2.6493     7.42       3.925
































































































































































-1.9424    12.2868    5.5801     ROSTRUM
-2.0528    12.181     5.8926
-2.0098    12.1023    6.1421
-1.9856    12.0209    6.3858
-1.8509    11.9361    6.6681
-1.6151    11.9211    6.9678
-1.458     11.8186    7.2363
-1.3886    11.7628    7.5428
-1.3764    11.7064    7.811
-1.4042    11.6399    8.0203
-1.4368    11.6068    8.2894
-1.4823    11.5178    8.4954
-1.554     11.4414    8.7138
-1.6858    11.3744    8.9603
-1.7973    11.2827    9.2887
-1.807     11.1852    9.5477
-1.6767    11.1436    9.8133
-1.572     11.1047    10.0548
-1.398     11.0597    10.2284
-1.0682    11.0442    10.3231
-0.8577    11.1114    10.2613
-0.5484    11.1124    10.3263
-0.3271    11.0284    10.4551
-0.0468    11.0145    10.5743
0.1677     10.9942    10.6797
0.3458     10.9735    10.7746
0.4861     10.883     10.8977
0.7689     10.7909    11.031
1.0153     10.8356    10.9738
1.1947     10.9406    10.8273
1.2709     11.0536    10.6914
1.447      11.0524    10.625
1.6191     11.0856    10.5428
1.7759     11.1103    10.4442
1.938      11.1015    10.3401
2.1441     11.1519    10.2748
2.3271     11.097     10.2015
2.565      11.0447    10.1966
2.7394     11.0715    10.1066
2.9713     11.0627    10.0419
3.1537     11.0114    9.9747
3.2703     11.0848    9.7573
3.3264     11.1071    9.5887
3.303      11.1524    9.3929
3.2914     11.2121    9.1938
3.2647     11.2368    9.0212
3.1856     11.2838    8.8792
3.0379     11.3426    8.6659
2.9753     11.3821    8.4521
2.9168     11.4775    8.248
2.9147     11.482     8.1271
2.9012     11.5536    7.9423
2.895      11.6015    7.7648
2.9038     11.6264    7.6028
2.9236     11.6745    7.4538
2.9618     11.6905    7.312
3.0135     11.6952    7.1634
3.0673     11.708     7.06
3.157      11.7239    6.897
3.2546     11.7314    6.7537
3.3498     11.7315    6.6176
3.4399     11.7084    6.4215
3.4798     11.7292    6.3286
3.5466     11.7692    6.143
3.5503     11.8036    5.9893
3.568      11.839     5.8383
3.5792     11.8775    5.7155
3.5613     11.8963    5.5277




































































































































-3.2868    16.4051    14.995     SUPORB
-3.248     16.3821    15.1414
-3.1553    16.2759    15.3423
-2.999     16.1509    15.5643
-2.8184    16.1218    15.7944
-2.6661    16.1015    15.9671
-2.4456    16.0569    16.1467
-2.2851    16.0517    16.2862
-2.0536    16.018     16.4133
-1.8632    15.97      16.5373
-1.6006    15.9154    16.6326
-1.3093    15.8419    16.7384
-1.0208    15.8188    16.8401
-0.8743    15.7823    16.8876
-0.5955    15.7171    16.9562
-0.3376    15.5449    16.9949
-0.0511    15.5367    17.0103
0.1881     15.3871    16.9849
0.3654     15.1644    16.9195
0.4844     14.9992    16.8624
0.5662     14.8393    16.8004
0.6823     14.6828    16.7112
0.8335     14.5283    16.6443
1.1141     14.5054    16.5966
1.3249     14.4815    16.5894
1.5343     14.4994    16.6232
1.714      14.5999    16.7241
1.9015     14.7427    16.8051
2.0227     14.8487    16.8251
2.2842     14.9584    16.8892
2.4557     15.0872    16.9141
2.6796     15.2068    16.9331
2.8705     15.2676    16.9265
3.0921     15.3038    16.9061
3.2898     15.3237    16.8549
3.5782     15.375     16.7778
3.7811     15.425     16.7028
4.0264     15.4855    16.6084
4.2604     15.4787    16.5091
4.4163     15.5227    16.4384
4.6101     15.6066    16.3486
4.873      15.6018    16.1804
5.082      15.6386    16.0551
5.2546     15.6355    15.8959
5.4362     15.6516    15.6433
5.5624     15.7024    15.4861
5.6387     15.7744    15.2336
5.7369     15.7852    15.0334
5.5607     15.8476    15.3435























































































































































-1.1525    14.3791    13.0373    RORBIT
-1.5021    14.4214    13.1207
-1.8118    14.5603    13.2174
-2.0435    14.7306    13.3623
-2.2163    14.8992    13.5075
-2.3377    15.0635    13.6903
-2.4751    15.2283    13.9008
-2.6356    15.36      14.1151
-2.7441    15.448     14.2875
-2.8748    15.5031    14.4652
-2.9299    15.5759    14.6142
-2.912     15.5897    14.7865
-2.8372    15.561     14.9281
-2.7118    15.4512    15.196
-2.6081    15.3788    15.2871
-2.5026    15.2515    15.4798
-2.3226    15.1245    15.6369
-2.1207    15.0471    15.7294
-1.9563    14.9438    15.8179
-1.7531    14.8338    15.8749
-1.4935    14.7876    15.8914
-1.2867    14.7359    15.8897
-1.105     14.6425    15.8786
-0.8529    14.6389    15.8391
-0.6524    14.6084    15.8026
-0.3844    14.5359    15.8016
-0.1811    14.5079    15.8309
0.1175     14.4835    15.972
0.3444     14.3791    15.8939
0.4419     14.3369    15.6689
