AMNH       81811      Phu3mic




































7.2043     10.0963    -7.0702    ROSTRUM
6.93       10.1186    -7.2777
6.8593     10.0598    -7.3547
6.7797     9.9968     -7.561
6.7398     9.9448     -7.7789
6.7118     9.9019     -7.9855
6.704      9.8248     -8.1743
12.2628    8.6552     -7.4226
12.3435    8.5243     -7.6668
12.324     8.4727     -7.7957
12.3033    8.389      -7.9557
12.2788    8.3352     -8.1157
12.1662    8.2439     -8.4562
12.0116    8.1998     -8.7349
11.8378    8.187      -8.9927
11.7059    8.1845     -9.2477
11.6075    8.1951     -9.4438
11.5518    8.2075     -9.5958
11.4704    8.1693     -9.7471
11.3687    8.1119     -9.9767
11.2775    8.054      -10.2126
11.171     7.9805     -10.4076
11.113     7.9003     -10.6634
11.1219    7.7476     -10.889
11.3779    7.2798     -10.8469
11.2746    7.1677     -11.1299
11.1429    7.157      -11.2888
10.9529    7.147      -11.443
10.946     7.1524     -11.4293
10.6895    7.2176     -11.5645
10.3777    7.2921     -11.612
10.1058    7.4936     -11.5174
9.8755     7.6881     -11.437
9.6064     7.804      -11.5849
9.5971     7.782      -11.6389
9.2703     7.8087     -11.7407
9.0468     7.9298     -11.7688
8.7124     8.0885     -11.7669
8.5257     8.1918     -11.7656
8.2662     8.3959     -11.6555
8.139      8.5376     -11.4827
7.8561     8.7501     -11.4253
7.5164     8.8638     -11.4473
7.2304     8.9674     -11.5299
7.0262     9.0936     -11.5667
6.9443     9.041      -11.5693
6.7791     9.1369     -11.4874
6.6277     9.3585     -11.3174
6.565      9.462      -11.1319
6.577      9.6128     -10.8748
6.6227     9.6487     -10.6756
6.7233     9.7295     -10.4533
7.0195     9.8727     -9.8966
7.0553     10.0155    -9.5461
7.0211     10.3288    -9.1782
7.0875     10.6188    -8.6581
7.0974     10.7625    -8.4225
7.1191     10.8793    -7.9361
7.2762     11.0497    -7.5179
7.4178     11.0963    -7.3461












































































































































16.0746    10.8102    -16.4857   SUPORB
16.0175    10.8372    -16.7264
16.0178    10.8804    -17.0033
15.9342    11.0084    -17.1362
15.842     11.0299    -17.3948
15.7578    11.0598    -17.5811
15.7358    11.1584    -17.758
15.5666    11.297     -18.1228
15.3866    11.3962    -18.3434
15.1395    11.5263    -18.6868
14.9159    11.5477    -18.771
14.736     11.5803    -18.7656
14.4346    11.5847    -18.8353
14.2489    11.6129    -18.9246
13.9404    11.6535    -19.0084
13.594     11.6718    -19.1174
13.2065    11.7713    -19.2187
12.9825    11.8741    -19.2991
12.6779    11.9856    -19.2936
12.5021    12.0039    -19.2886
12.1445    12.1368    -19.2127
11.8803    12.1111    -19.1105
11.6638    12.0577    -19.0187
11.4635    12.0099    -18.9099
11.3418    11.931     -18.8361
11.234     11.7686    -18.7456
11.1019    11.7432    -18.7124
10.9539    11.9388    -18.7242
10.9981    12.1127    -18.8393
