UCMVZ      81571      Phu48stv
7.858      3.8921     4.9123






























































































































































8.5214     10.291     6.5647     ROSTRUM
8.4547     10.2406    6.8802
8.3499     10.1881    7.1625
8.3802     10.0379    7.2618
8.4385     9.9259     7.4384
8.482      9.8229     7.5235
8.4976     9.7114     7.6332
8.4663     9.6166     7.8078
8.4425     9.5518     7.9688
8.3917     9.5154     8.1997
8.3493     9.5167     8.3219
8.2252     9.4929     8.4727
8.1063     9.4449     8.7729
8.0255     9.3639     9.0175
7.9643     9.3045     9.1158
7.8974     9.2553     9.3443
7.7745     9.2863     9.597
7.6054     9.2903     9.7318
7.4294     9.3178     9.9205
7.3751     9.2607     10.1546
7.3902     9.1409     10.297
7.3958     9.004      10.3469
7.551      8.8276     10.4358
7.678      8.6202     10.5174
7.8324     8.5108     10.5534
7.908      8.4219     10.5684
8.0135     8.2181     10.5769
8.0945     8.1245     10.5816
8.2042     7.998      10.6436
8.2891     7.8521     10.7358
8.3277     7.7584     10.8302
8.3437     7.6455     10.9075
8.4089     7.5741     10.9894
8.4492     7.4804     11.0653
8.5067     7.3973     11.1149
8.6262     7.2328     11.1503
8.8373     6.9643     11.1306
8.944      6.8689     11.11
9.2538     6.7192     10.9178
9.3484     6.6813     10.7551
9.4434     6.6345     10.7225
9.5827     6.4703     10.6502
9.6808     6.3899     10.6185
9.8027     6.306      10.5992
9.9251     6.205      10.5508
10.0232    6.1108     10.5485
10.1212    6.0105     10.5166
10.2303    5.8848     10.5267
10.3144    5.8073     10.4993
10.4647    5.7044     10.4923
10.5582    5.6664     10.4057
10.6664    5.6286     10.2806
10.6664    5.7405     9.9905
10.6845    5.8591     9.8549
10.7037    5.9517     9.7827
10.6919    6.0451     9.6957
10.6738    6.1517     9.5567
10.6921    6.201      9.3721
10.7609    6.2228     9.2712
10.8014    6.2532     9.0313
10.8597    6.3        8.8735
10.8798    6.3641     8.7276
10.9185    6.445      8.5394
10.9655    6.5034     8.4038
10.9851    6.5931     8.23
11.0928    6.658      8.0764
11.168     6.6612     7.9833
11.2517    6.6649     7.8492
11.2998    6.6038     7.7548
11.3933    6.5022     7.587
11.4954    6.4029     7.4649
11.6183    6.3126     7.3963
11.6665    6.2485     7.2912
11.7646    6.215      7.1664
11.7616    6.2152     6.9916
11.7967    6.25       6.8558
11.8106    6.2687     6.7511
11.8026    6.28       6.641
11.8077    6.3009     6.4829

























































































































11.6501    14.5905    15.7523    SUPORB
11.7241    14.5612    15.9897
11.7378    14.479     16.2142
11.7791    14.4469    16.3537
11.7869    14.3664    16.5345
11.8226    14.2858    16.7565
11.8603    14.1457    16.9787
11.9204    14.026     17.1235
11.9535    13.8455    17.2659
11.942     13.6542    17.3901
11.9351    13.4722    17.4777
11.9464    13.3331    17.5363
11.9555    13.22      17.5827
11.9858    13.0631    17.6636
11.9674    12.9014    17.7177
12.0132    12.7323    17.7901
12.0763    12.6633    17.8239
12.1722    12.5593    17.8784
12.264     12.4512    17.9294
12.4854    12.3179    18.0159
