FMNH       27191      Phh6stv
7.1519     8.6622     7.2982
7.115      8.5878     7.5025
6.9533     8.4465     7.7066
6.8632     8.3389     7.8792
6.7627     8.2391     8.0539
6.6823     8.1184     8.1737
6.507      8.0162     8.3265
6.2784     8.0107     8.4802
6.129      7.9181     8.62
6.1338     7.828      8.7832
6.1675     7.6965     8.8524
6.3418     7.4764     8.9157
6.5317     7.3207     8.9155
6.6805     7.1701     8.9482
6.8043     7.0461     8.9808
6.9287     6.8906     8.9972
7.0116     6.7297     9.0732
7.098      6.5919     9.2118
7.1659     6.4149     9.2998
7.2943     6.2327     9.379
7.441      6.0766     9.3779
7.6103     5.9785     9.3599
7.7374     5.8803     9.3406
7.8555     5.8327     9.2691
7.9404     5.7897     9.2324
8.1414     5.7657     9.1525
8.3006     5.7069     9.1173
8.4195     5.5992     9.1199
8.5715     5.4836     9.1006
8.6838     5.3612     9.1223
8.7892     5.2736     9.1625
8.895      5.1933     9.1642
9.0429     5.1077     9.1646
9.1765     5.0318     9.1671
9.4134     4.991      9.0593
9.5314     5.1969     8.9545
9.5849     5.3975     8.7886
9.6358     5.5232     8.6831
9.7027     5.655      8.5679
9.7375     5.7086     8.4537
9.7683     5.7627     8.2921
9.8265     5.8638     8.1456
9.8713     5.9348     7.9867
9.9073     5.9723     7.8778
9.9555     6.0444     7.7431
9.9862     6.13       7.6182
10.024     6.1965     7.4579
10.0789    6.2463     7.323
10.1707    6.3133     7.1924
10.2876    6.3121     7.0994
10.4398    6.2321     6.971
10.545     6.1191     6.897
10.6428    6.0473     6.8353
10.7479    5.9527     6.7555
10.7897    5.883      6.7159
10.9015    5.8311     6.6774
11.0169    5.8333     6.5678
11.0781    5.8611     6.4005
11.1655    5.9061     6.2607





































































































































7.1612     11.9679    14.1937    SUPORB
7.2052     11.8641    14.4085
7.2702     11.7588    14.5958
7.3172     11.64      14.7413
7.3923     11.5565    14.8537
7.4523     11.4057    14.9711
7.5021     11.2627    15.0958
7.5878     11.0074    15.2171
7.6619     10.8731    15.2762
7.7183     10.7314    15.318
7.8023     10.515     15.3841
7.9268     10.3656    15.4535
8.0519     10.164     15.5293
8.2069     9.9342     15.5769
8.3692     9.7287     15.6156
8.5062     9.6105     15.6582
8.5273     9.6821     15.6673
8.763      9.4654     15.7012
8.9891     9.345      15.7554
9.1812     9.2533     15.7575
9.3334     9.1046     15.7188
9.4115     8.9031     15.6573
9.4115     8.7015     15.5848
9.492      8.5282     15.5204
9.5675     8.4416     15.5352
9.8192     8.3032     15.6625
9.9341     8.2301     15.7273
10.126     8.1722     15.7916
10.3619    8.0492     15.8214
10.554     7.994      15.8686
10.7458    7.7672     15.9637
10.9132    7.4937     15.8871
11.0422    7.3939     15.7961
11.2327    7.2597     15.7429
11.5044    7.1058     15.6693
11.6885    6.9657     15.6111
11.9224    6.903      15.553
12.0607    6.7214     15.4504
12.2258    6.6927     15.4175
12.4635    6.6389     15.3032
12.5974    6.5683     15.1684
12.7618    6.5564     15.051
12.8603    6.4963     14.8973
12.9866    6.48       14.7518
13.0895    6.4608     14.6449
13.1685    6.4314     14.4894
13.2535    6.4409     14.3389

























































































































































8.5273     9.5627     12.3446    RORBIT
8.3847     9.7644     12.3117
8.2418     10.0014    12.2962
8.1404     10.1956    12.3194
8.0475     10.3147    12.3835
7.9736     10.5026    12.51
7.9214     10.6446    12.6073
7.8511     10.8457    12.7871
7.8005     10.9664    12.9106
7.7461     11.0446    13.0789
7.7167     11.0736    13.1837
7.6568     11.1161    13.3236
7.6167     11.1511    13.4989
7.5663     11.1772    13.6459
7.5454     11.1485    13.7494
7.4865     11.1124    13.8576
7.5098     10.9643    14.0435
7.5163     10.7421    14.2138
7.5305     10.4809    14.3906
7.6082     10.2787    14.4626
7.6338     10.1524    14.5152
7.7079     9.9704     14.5448
7.7668     9.8162     14.5526
7.8364     9.6781     14.5538
7.9908     9.5091     14.4849
8.0828     9.3641     14.4501
8.1904     9.2666     14.3949
8.2851     8.9959     14.6048
8.4927     8.756      14.5351
8.6058     8.6002     14.4481
8.863      8.5601     14.0683
8.9362     8.474      13.913
8.9755     8.489      13.7919
9.0706     8.4412     13.6566
9.0448     8.4759     13.5628
9.062      8.4643     13.4585




































































































































































10.954     7.3478     12.4746    LORBIT
11.1278    7.2826     12.489
11.313     7.1616     12.5187
11.4545    7.0286     12.5478
11.6716    6.9423     12.6432
11.8005    6.8962     12.7259
11.9148    6.8859     12.8393
12.0279    6.8584     12.9428
12.1576    6.8252     13.1102
12.242     6.8239     13.2463
12.3023    6.785      13.3722
12.3504    6.7142     13.4578
12.3753    6.7115     13.5767
12.4032    6.6773     13.6462
12.4307    6.6424     13.8071
12.4207    6.6194     13.985
12.3423    6.6401     14.1128
12.2518    6.5983     14.2638
12.1482    6.5329     14.4788
12.0355    6.5502     14.5501
11.9004    6.606      14.5739
11.7846    6.6352     14.6324
11.6323    6.6532     14.7101
11.4974    6.6701     14.73
11.4131    6.6598     14.7633
11.1923    6.7267     14.7663
11.0148    6.7791     14.7674
10.8485    6.841      14.7666
10.7154    6.9053     14.7304
10.5896    7.0215     14.6718
10.4584    7.1023     14.6199
10.1931    7.2278     14.655
10.0537    7.2975     14.7436
9.9975     7.4739     14.6562
9.837      7.6691     14.465
9.8225     7.7938     14.2598
9.7972     7.8693     14.07
9.7492     7.8923     13.9199
9.6337     7.8981     13.7913
9.5633     7.9375     13.6708
9.5458     7.9486     13.5752
9.5277     7.9565     13.3971






























































































































































7.1651     11.9764    14.112     RTEMFOS
7.097      11.975     13.8246
7.0078     11.9639    13.5676
6.986      11.9496    13.3621
6.9668     11.943     13.1621
6.9647     11.9131    12.9572
6.9324     11.9476    12.757
6.8991     11.9994    12.4818
6.8573     11.9582    12.3384
6.8342     11.9545    12.2336
6.8329     12.0138    12.0251
6.8187     12.0052    11.9105
6.7996     12.0077    11.7521
6.7927     12.0319    11.5012
6.7505     12.0555    11.3122
6.7277     11.9695    11.1589
6.7411     12.0205    11.0347
6.7019     12.0626    10.9286
6.6872     12.0867    10.7868
6.6558     12.1723    10.6131
6.6008     12.2741    10.47
6.5727     12.4325    10.3571
6.5068     12.5719    10.2323
6.4804     12.6723    10.1839
6.4838     12.8619    10.2035
6.4726     13.1009    10.2227
6.5543     13.4092    10.2718
6.6481     13.5804    10.3297
6.678      13.7415    10.3526
6.7029     13.9213    10.4085
6.7883     14.0767    10.4131









































































































































































13.2228    6.4451     14.2398    LTEMFOS
13.2459    6.3308     13.9467
13.2397    6.2833     13.7525
13.2195    6.2546     13.5882
13.1992    6.207      13.3797
13.2624    6.1892     13.2127
13.2595    6.1499     13.0833
13.2814    6.1141     12.9376
13.3204    6.0731     12.7472
13.333     6.0564     12.6398
13.3892    6.0339     12.4667
13.4461    6.02       12.2968
13.4709    5.9956     12.113
13.5056    5.9806     11.9855
13.5162    5.9449     11.84
13.5787    5.9207     11.6253
13.6177    5.8863     11.4494
13.69      5.8747     11.2714
13.7511    5.8237     11.1174
13.8172    5.7892     10.9795
13.8727    5.746      10.8203
13.9677    5.7431     10.6916
14.0549    5.693      10.5753
14.1769    5.6944     10.4553
14.2942    5.6701     10.3944
14.4805    5.643      10.3181
14.5887    5.6876     10.3348
14.7806    5.716      10.3454
14.9154    5.7378     10.3549
14.9544    5.808      10.3889
15.1648    5.8302     10.4512
15.2392    5.8921     10.4971
15.3267    5.947      10.5236
15.5859    6.0302     10.5754






































































































































































7.39       5.8329     12.5887    OP
8.6712     7.5379     12.9416    BA
12.1859    11.3684    13.2294    ST
15.9035    15.7664    14.8264    IV
5.8383     10.5824    12.6826    R_PG
5.8769     13.2695    12.1141    R_ZTI
11.0435    13.497     14.4015    R_M3D
12.3501    15.7713    15.0367    R_M12
9999       9999       9999       R_MP3
15.5516    17.7503    15.7814    R_PMI
12.1504    5.032      13.1494    L_PG
15.05      5.4827     12.8417    L_ZTI
14.4245    10.657     14.5646    L_M3D
16.3669    12.312     15.2019    L_M12
18.0296    14.3341    16.027     L_MP3
18.1014    15.6694    15.9433    L_PMI
18.314     18.1044    16.5684    O1
9.7071     12.5667    6.5882     O2
15.5797    5.721      12.04      O3
7.0833     3.1153     10.2596    O4




















































































































































































9.4239     14.8731    12.195     RZYGINF
9.194      14.9827    12.1337
9.058      15.0721    12.1218
8.7793     15.1756    12.2419
8.5289     15.1073    12.2774
8.232      15.0303    12.3066
7.9969     14.913     12.3301
7.7661     14.873     12.3563
7.6543     14.7442    12.3778
7.5305     14.5691    12.3742
7.407      14.4741    12.4012
7.3435     14.3991    12.3882
7.2873     14.2973    12.4076
7.1951     14.1454    12.4254
7.1495     14.0888    12.4371
7.0391     13.9438    12.4468
6.9199     13.8526    12.4376
6.8504     13.7674    12.4377
6.7799     13.6854    12.4393
6.6285     13.6148    12.3945
6.498      13.5267    12.3472
6.2958     13.4654    12.309
6.1737     13.3799    12.2774
6.0669     13.2813    12.2342
6.0047     13.2428    12.2023
5.8949     13.2326    12.1488














































































































































































15.8202    9.2468     12.906     LZYGINF
16.072     9.1341     12.7776
16.2549    8.9467     12.8444
16.3109    8.7593     12.8999
16.349     8.5104     12.9964
16.3297    8.2736     13.0461
16.3565    8.1585     13.1049
16.3423    7.9456     13.1399
16.3245    7.7343     13.1642
16.2535    7.6206     13.1724
16.1484    7.4432     13.1832
16.0203    7.295      13.1986
15.9576    7.143      13.2184
15.7371    6.9686     13.2311
15.7157    6.7694     13.2848
15.5512    6.5635     13.2471
15.4435    6.3534     13.2348
15.3742    6.2114     13.1865
15.2871    6.112      13.1176
15.2369    5.9408     13.0889
15.17      5.8131     13.0402
15.0818    5.6622     12.9748
15.0671    5.5643     12.9296
14.9952    5.4974     12.8856
















































































































































































9999       9999       9999       R-ALV







































































































































































































14.422     10.7909    14.5728    L-ALV
14.6654    10.763     14.6286
14.9055    10.8943    14.6278
15.0292    11.0202    14.6789
15.1967    11.1044    14.7494
15.3312    11.2016    14.8032
15.5221    11.335     14.8053
15.6733    11.443     14.8649
15.821     11.5489    14.9099
15.9274    11.6858    14.9455
16.0039    11.8249    14.9585
16.17      11.881     15.0062
16.2766    12.0399    14.9811
16.4144    12.1276    15.1128
16.3357    12.3519    15.202
16.4875    12.4459    15.2451
16.5658    12.5625    15.2715
16.6304    12.677     15.2856
16.7756    12.8556    15.3401
16.9153    13.0005    15.4123
17.036     13.2567    15.4436
17.1171    13.3469    15.4725
17.2912    13.4642    15.5237
17.4018    13.553     15.5517
17.4789    13.6589    15.5663
17.5635    13.7433    15.6296
17.6431    13.8279    15.6265
17.7426    13.9334    15.6817
17.8067    14.0333    15.7412
17.8915    14.1688    15.8172
18.0215    14.3721    15.8866
