NME        AL363-A1   Par1sf
29.12618   -6.1087    8.66648
29.04744   -6.00964   8.50392
29.01696   -5.92582   8.3312
28.956     -5.9182    8.16102
28.92806   -5.88518   7.98068
28.88234   -5.86232   7.91464
28.85948   -5.8293    7.8105
28.83154   -5.79628   7.72414
28.80614   -5.75564   7.67334
28.77566   -5.67436   7.55142
28.73502   -5.59308   7.4422
28.66644   -5.54736   7.2898
28.62072   -5.50672   7.10438
28.56738   -5.54736   6.96214
28.49626   -5.49656   6.8834
28.49626   -5.49656   6.7818
28.46578   -5.48386   6.67004

















































































































26.79192   -12.57554  12.44346   SUPORB
26.7208    -12.50696  12.63142
26.61158   -12.40028  12.84224
26.48712   -12.30122  13.11402
26.4922    -12.20978  13.33246
26.52776   -12.12596  13.4747
26.50236   -11.94816  13.72108
26.62682   -11.77036  13.86586
26.73604   -11.58494  14.00556
26.87828   -11.35634  14.16304
27.05862   -11.0871   14.2494
27.13228   -10.87882  14.29766
27.15514   -10.67816  14.38656
27.1653    -10.51814  14.41704
27.13228   -10.30224  14.43736
27.15514   -10.07872  14.46784
27.1272    -9.87298   14.45768
27.01798   -9.66724   14.4399
26.99004   -9.47928   14.45768
26.99766   -9.32688   14.4653
26.99512   -9.12876   14.42466
26.9621    -8.9281    14.4145
26.93162   -8.76808   14.4018
26.81986   -8.64362   14.39418
26.64714   -8.5725    14.3764
26.62936   -8.3185    14.36116
26.66492   -8.13816   14.4018
26.76144   -8.00608   14.4272
26.81224   -7.82828   14.45006
26.75636   -7.6962    14.49832
26.73858   -7.493     14.51864
26.6446    -7.33806   14.57198
26.68524   -7.0993    14.56436
26.5811    -6.9215    14.58976
26.48204   -6.6167    14.61262
26.23566   -6.40334   14.61262
26.01722   -6.06298   14.57452
25.9207    -5.84454   14.52118
25.80386   -5.64388   14.41196
25.58034   -5.48894   14.30528
25.42032   -5.36194   14.19098
25.26792   -5.21462   14.04874
25.20442   -5.15112   13.9446
25.11298   -5.08254   13.87856
25.02916   -5.02412   13.67028
25.0063    -4.8641    13.48486
24.97836   -4.83362   13.3731
25.00884   -4.7244    13.2207
25.02916   -4.67106   13.08354
25.11298   -4.6355    12.79906






















































































































































28.05938   -9.57072   11.20394   RORBIT
28.03906   -9.72566   11.16584
28.06954   -9.87044   11.16076
28.12542   -9.97712   11.17092
28.12542   -10.07364  11.15568
28.15082   -10.19556  11.176
28.14828   -10.40384  11.23188
28.12288   -10.46988  11.24712
28.1432    -10.63498  11.25728
28.06192   -10.78484  11.3284
28.07208   -10.98042  11.36904
27.99588   -11.1506   11.41984
27.90698   -11.2141   11.53922
27.78252   -11.2649   11.64336
27.72156   -11.303    11.71956
27.66314   -11.33856  11.80592
27.59964   -11.38682  11.88466
27.5717    -11.44016  11.94562
27.4574    -11.50112  12.0777
27.35326   -11.5951   12.37488
27.37358   -11.54684  12.5984
27.4066    -11.43762  12.7254
27.50312   -11.16838  13.02512
27.54376   -10.9982   13.1572
27.58948   -10.84326  13.2588
27.5971    -10.71118  13.31976
27.61742   -10.6299   13.3604
27.66314   -10.46226  13.41628
27.66568   -10.33018  13.40612
27.68092   -10.2108   13.42898
27.68854   -10.0584   13.44168
27.66314   -9.90854   13.38834
27.65298   -9.79678   13.40866
27.64282   -9.64438   13.45184
27.56154   -9.53008   13.45692
27.37866   -9.14146   13.78712
27.39898   -8.9154    13.65504
27.44724   -8.74014   13.3604
27.48534   -8.75792   13.33754
27.4955    -8.75284   13.23594
27.49804   -8.74522   13.09624
27.51836   -8.70712   12.96924
27.54884   -8.67918   12.86256
27.5082    -8.69696   12.73302
27.55138   -8.69696   12.66444
27.57424   -8.70204   12.52728
27.61488   -8.69442   12.44092

























































































































































27.55138   -6.59384   11.38174   LORBIT
27.48788   -6.4262    11.41222
27.36342   -6.22046   11.36904
27.29992   -6.07568   11.42238
27.2415    -5.99186   11.47064
27.11958   -5.8166    11.53922
27.00274   -5.68198   11.6078
26.82748   -5.59816   11.64844
26.67254   -5.43052   11.811
26.543     -5.33654   11.90498
26.46172   -5.31114   12.00912
26.38044   -5.30098   12.0904
26.28392   -5.2832    12.20978
26.20264   -5.24002   12.30884
26.11628   -5.21716   12.46632
26.09596   -5.1816    12.56284
26.02484   -5.19938   12.72032
25.93848   -5.14604   12.8016
26.09088   -5.35686   13.02766
26.20518   -5.39242   13.15466
26.24074   -5.53466   13.208
26.38044   -5.64642   13.34516
26.49474   -5.73024   13.44676
26.58364   -5.85724   13.48232
26.69286   -5.92836   13.51534
26.7843    -5.9817    13.53566
26.88844   -6.11124   13.63218
26.90114   -6.1722    13.61948
26.92908   -6.27888   13.61948
26.98242   -6.40334   13.60932
26.99004   -6.52272   13.58392
27.04592   -6.70814   13.60424
27.04084   -6.88086   13.61694
26.97734   -7.29742   13.87094
27.10688   -7.55142   13.75664
27.15514   -7.64032   13.55598
27.19832   -7.65556   13.26896
27.26436   -7.6454    13.04798
27.28722   -7.63778   12.85748
27.26182   -7.6073    12.70508
27.29992   -7.58444   12.60094
27.33294   -7.55142   12.48664






























































































































































26.72588   -12.53744  12.58062   RTEMFOS
26.80208   -12.56792  12.4079
26.84526   -12.61364  12.30884
26.8859    -12.5857   12.16914
26.96718   -12.60094  12.04468
27.13228   -12.58062  11.8237
27.36342   -12.61618  11.4935
27.40406   -12.56792  11.20648
27.52852   -12.60602  11.07948
27.63266   -12.5603   10.94486
27.69616   -12.51966  10.8331
27.77998   -12.46886  10.72642
27.84094   -12.45616  10.59942
27.89682   -12.4333   10.49528
27.95524   -12.39774  10.38098
27.99842   -12.38504  10.2997
28.04414   -12.3698   10.2235
28.05684   -12.34948  10.0965
28.08732   -12.36472  10.01268
28.16352   -12.37488  9.94664
28.1813    -12.51712  9.79932
28.18638   -12.58824  9.70534
28.14574   -12.64666  9.59104
27.99588   -12.7508   9.61898
27.89682   -12.84732  9.55548
27.83078   -12.91336  9.58342
27.72918   -13.05052  9.62914
27.59456   -13.09624  9.65962
27.51582   -13.22578  9.64692
27.41422   -13.28674  9.65708
27.33548   -13.3731   9.65454
27.20594   -13.4874   9.67486
27.14244   -13.5255   9.72058
27.09926   -13.5763   9.80694
26.94432   -13.68552  9.86536
26.84018   -13.75664  9.8806
26.7208    -13.78458  9.93394



































































































































































9999       9999       9999       LTEMFOS







































































































































































































29.8069    -8.07466   11.73226   OP
27.99588   -8.46582   11.6967    BA
23.01494   -9.58342   11.89482   ST
18.86458   -10.58164  13.02258   IV
9999       9999       9999       R_PG
26.95194   -14.09192  11.17092   R_ZTI
23.46706   -11.71956  13.64488   R_M3D
21.41982   -12.4206   13.85062   R_M12
19.41576   -12.67714  14.0716    R_MP3
18.23212   -12.59586  13.66266   R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
22.37486   -7.41934   13.59916   L_M3D
20.37588   -7.70128   13.8303    L_M12
18.35404   -8.42264   13.84808   L_MP3
17.74444   -8.9662    13.5763    L_PMI
17.42186   -12.06246  12.954     O1
21.86686   -5.36702   10.94994   O2
24.8539    -12.56284  7.12978    O3
32.44596   -9.7028    9.74344    O4




















































































































































































23.02002   -12.8016   11.81354   RZYGINF
23.2664    -12.81938  11.87704
23.37308   -12.9159   11.79322
23.46452   -13.08862  11.70178
23.52548   -13.1953   11.68654
23.62962   -13.3223   11.69924
23.72868   -13.43406  11.66622
23.81758   -13.53058  11.64082
23.99284   -13.6144   11.6713
24.10714   -13.64488  11.67384
24.27732   -13.68298  11.67892
24.41702   -13.74902  11.61288
24.8666    -13.81252  11.5697
25.03932   -13.85062  11.54176
25.15108   -13.87602  11.51382
25.3365    -13.87348  11.45794
25.53208   -13.91666  11.4046
25.6667    -13.99286  11.34364
25.78354   -14.03604  11.28268
25.95372   -14.04366  11.2141
26.1493    -14.08938  11.22172
26.44902   -14.16304  11.19886
26.5557    -14.1605   11.22934
26.67254   -14.09954  11.24204
26.76652   -14.09446  11.22426
26.93162   -14.07922  11.19378
26.9748    -14.07668  11.17092













































































































































































9999       9999       9999       LZYGINF







































































































































































































23.48992   -11.70178  13.60678   R-ALV
23.41372   -11.84656  13.56614
23.30958   -11.93292  13.61948
23.14194   -12.04722  13.62202
23.03272   -12.12088  13.61948
22.88794   -12.2047   13.63472
22.83968   -12.24534  13.6525
21.39696   -12.48156  13.85062
21.24202   -12.4968   13.8938
21.10486   -12.48156  13.90142
20.99056   -12.49172  13.9446
20.88896   -12.52474  13.9065
20.70354   -12.51966  13.9065
20.51812   -12.48918  13.92428
20.43938   -12.46124  13.96746
20.29714   -12.4841   13.92174
20.07616   -12.58062  13.93698
19.94916   -12.59586  14.01572
19.79168   -12.63396  14.0462
19.68754   -12.6619   14.0208
19.54276   -12.67968  14.01826
19.44116   -12.7127   14.03858


















































































































































































22.51456   -7.52856   13.57884   L-ALV
22.39518   -7.44982   13.55852
22.24532   -7.40664   13.59662
22.02942   -7.35584   13.65504
21.80844   -7.32028   13.67282
21.67382   -7.33552   13.6906
21.50618   -7.33806   13.6906
21.38426   -7.32028   13.7668
21.26488   -7.35838   13.73886
21.09216   -7.41934   13.7668
20.955     -7.47014   13.82522
20.7518    -7.47268   13.74394
20.62226   -7.51078   13.79474
20.3581    -7.59968   13.79728
20.1549    -7.69112   13.76426
20.0406    -7.78002   13.76934
19.87804   -7.81558   13.76934
19.67992   -7.91718   13.74648
19.55038   -8.1026    13.78458
19.39036   -8.15086   13.79474
19.25066   -8.2042    13.84808
19.10334   -8.26008   13.87856
18.57756   -8.42772   14.01826
