MNHN       1962.1468  Tg29stv
-1.9166    8.5886     11.313     RORBIT
-2.0827    8.6676     11.302
-2.2295    8.7845     11.3668
-2.4731    8.919      11.4375
-2.6339    9.1182     11.6462
-2.7633    9.263      11.8266
-2.8984    9.4116     12.1108
-2.9581    9.4763     12.3933
-2.9678    9.468      12.5767
-2.9926    9.3095     12.8586
-2.9006    9.1383     13.0084
-2.7672    8.7835     13.2074
-2.5742    8.5667     13.2819
-2.2839    8.4165     13.3088
-1.9486    8.2512     13.3491
-1.5708    8.199      13.4379
-1.3462    8.1828     13.5189
-0.9812    8.3064     13.4945
-0.7208    8.2189     13.4456
-0.5952    8.3058     13.2026
-0.5366    8.3564     12.9684
-0.5193    8.3977     12.864
-0.4421    8.3508     12.7524
-0.4565    8.3233     12.6956
















































































































































































2.1347     8.0919     11.5154    LORBIT
2.3734     8.2051     11.5713
2.6033     8.2863     11.6235
2.7647     8.3571     11.6918
2.8414     8.4239     11.7852
3.0259     8.4933     11.8905
3.107      8.6383     12.0395
3.2669     8.7074     12.208
3.3401     8.7559     12.3471
3.3123     8.8173     12.6101
3.3344     8.8431     12.8169
3.3268     8.8        13.0155
3.2546     8.6811     13.1493
3.1016     8.5666     13.2784
3.0257     8.3025     13.3604
2.7345     8.0915     13.4514
2.5589     7.9782     13.4972
2.2276     7.9034     13.5006
1.8218     7.8616     13.4829
1.5831     7.8312     13.55
1.0145     7.9223     13.6952
0.6637     7.9952     13.6312
0.5217     8.1072     13.3235
0.5179     8.1354     13.1088
0.5123     8.1306     12.9803
0.5401     8.213      12.7165














































































































































































-3.4361    10.1905    13.0277    RTEMFOS
-3.4939    10.2124    12.8545
-3.5612    10.193     12.605
-3.6327    10.1835    12.4207
-3.6965    10.1338    12.195
-3.7525    10.1133    11.9412
-3.7874    10.0864    11.6864
-3.8243    10.0141    11.2633
-3.8552    9.9151     10.9786
-3.8571    9.8509     10.7141
-3.8456    9.8032     10.4966
-3.9399    9.7416     10.3069
-3.98      9.8586     10.1612
-4.0663    9.8732     10.047
-4.1664    9.9059     9.9221
-4.2459    10.0253    9.8428
-4.3114    10.1429    9.7537
-4.3723    10.2928    9.6945
-4.484     10.3949    9.6523
-4.4823    10.5434    9.6313




















































































































































































3.7987     9.5371     13.2976    LTEMFOS
3.8836     9.5203     13.2036
3.9543     9.5098     13.0357
4.0364     9.48       12.882
4.0738     9.459      12.6808
4.1113     9.4453     12.5532
4.1746     9.4085     12.3994
4.1922     9.3857     12.2471
4.2266     9.3457     12.1255
4.2847     9.3247     12.004
4.3384     9.2507     11.826
4.3503     9.2208     11.6605
4.396      9.159      11.4968
4.3997     9.0981     11.326
4.4233     9.0289     11.2025
4.452      8.9821     11.0197
4.5098     8.9364     10.8954
4.5859     8.9605     10.7176
4.6543     8.9373     10.6173
4.7553     9.0233     10.4329
4.8866     9.0634     10.3769
5.0545     9.1587     10.251
5.145      9.2696     10.203
5.226      9.4013     10.1599
5.3179     9.5449     10.1121
5.3556     9.6502     10.1102
5.397      9.7736     10.1084
5.4939     9.8039     10.1261



















































































