UWMA       MP223      Ppw2stv
14.5503    10.6222    4.616
14.5243    10.5899    4.4446
14.5352    10.5894    4.3373












































































































































7.7151     15.981     8.5173     SUPORB
7.7485     16.1567    8.6955
7.8255     16.2456    8.8643
7.9533     16.2606    9.0461
8.0681     16.2842    9.1963
8.1614     16.2705    9.3319
8.2772     16.2258    9.4698
8.4155     16.2101    9.6395
8.5795     16.1799    9.7989
8.7876     16.0151    10.0067
8.9727     15.9107    10.1471
9.1567     15.7311    10.3158
9.5704     15.6286    10.4283
9.8521     15.5734    10.497
10.1243    15.5523    10.5283
10.4984    15.4646    10.561
10.6682    15.4138    10.533
10.916     15.3485    10.5667
11.0827    15.2365    10.549
11.2373    15.1743    10.5278
11.424     15.0294    10.514
11.5868    14.9538    10.4942
11.8113    15.0403    10.5182
12.1961    15.1734    10.5502
12.3553    15.2163    10.5638
12.485     15.2663    10.5806
12.7145    15.37      10.5607
12.8986    15.4359    10.543
13.0995    15.5592    10.514
13.3012    15.6477    10.4925
13.5227    15.7311    10.4349
13.7549    15.7591    10.3782
14.1263    15.8722    10.2368
14.3666    15.8648    10.1055
14.7096    15.8443    9.9424
14.9358    15.9138    9.7584
15.1707    16.0186    9.4835
15.2878    16.0835    9.2251
15.4217    16.0962    9.0834
15.4445    16.1793    8.9106
15.508     16.1063    8.7309































































































































































9.3232     13.8426    8.0016     RORBIT
9.0598     13.8528    7.9493
8.8338     14.0546    8.0006
8.618      14.2236    8.1052
8.3862     14.5173    8.2221
8.3195     14.6944    8.3226
8.271      14.8862    8.4391
8.1999     15.0279    8.5941
8.1662     15.1748    8.834
8.1807     15.2439    9.1366
8.316      15.3093    9.2193
8.5159     15.4228    9.4331
8.6351     15.4044    9.5995
8.7139     15.3743    9.7312
8.8573     15.331     9.8353
8.9765     15.2961    9.9685
9.1315     15.2591    10.0503
9.2906     15.2061    10.1252
9.409      15.1852    10.1385
9.5517     15.1138    10.1798
9.6681     15.0603    10.1874
9.7763     14.9898    10.2277
9.9318     14.949     10.2334
10.1436    14.9549    10.2123
10.3349    15.0297    10.2058
10.5053    14.9665    10.2254
10.7028    14.8715    10.162
10.8717    14.7627    10.1023
10.9292    14.7312    9.9362
11.0008    14.5985    9.5645
11.0815    14.4376    9.3761
11.0413    14.3226    9.1954
10.9888    14.1818    9.0256
10.8933    14.0425    8.8906
10.8253    14.0174    8.8036





































































































































































13.9462    13.9049    8.1253     LORBIT
14.239     14.0588    8.0306
14.3963    14.1964    8.037
14.59      14.2767    8.1067
14.7273    14.4347    8.1691
14.8432    14.5392    8.2239
14.9567    14.8515    8.4241
15.0302    14.9846    8.5624
15.0955    15.0596    8.6907
15.0671    15.181     8.8255
15.0534    15.2851    9.0036
14.9891    15.3419    9.1604
14.9358    15.3927    9.32
14.8169    15.4301    9.4353
14.7044    15.511     9.6123
14.5518    15.5375    9.7896
14.3921    15.4825    9.9422
14.1812    15.4516    10.096
13.9903    15.3999    10.1741
13.8715    15.3189    10.2224
13.5801    15.2727    10.2388
13.2463    15.1713    10.2272
13.121     15.2107    10.1711
12.9623    15.1875    10.2562
12.6015    15.0082    10.2441
12.4137    14.9042    10.1328
12.2923    14.8591    9.9629
12.1967    14.755     9.8098
12.1586    14.6619    9.6407
12.1329    14.5718    9.46
12.1257    14.4489    9.2637
12.1756    14.3342    9.157
12.2578    14.2149    9.0177
12.3507    14.1409    8.8774






































































































































































9999       9999       9999       RTEMFOS







































































































































































































15.5759    15.986     8.6018     LTEMFOS
15.614     15.7931    8.4208
15.6218    15.6156    8.2843
15.6976    15.1292    8.0105
15.7207    14.8798    7.5434
15.8785    14.5626    7.3248
15.9256    14.4036    7.1577
16.0144    14.2549    6.9726
16.1421    14.176     6.7845
16.2361    14.12      6.6542
16.3083    14.074     6.5419
16.3961    14.1293    6.3404
16.5247    14.2574    6.2298
16.5929    14.561     6.1036
16.6958    14.6034    6.0471
16.7454    14.7502    6.0283
16.8103    14.8685    5.9772
16.8854    14.9799    5.9592
16.901     15.0474    5.96





















































































































































































11.1288    14.1049    8.4163     OP
11.218     15.9926    8.2573     BA
11.5855    21.5263    8.2036     ST
11.6332    25.926     9.113      IV
7.1056     16.5735    7.8599     R_PG
9999       9999       9999       R_ZTI
8.8712     21.8522    9.3326     R_M3D
8.7665     24.2259    9.8208     R_M12
9.1877     26.5481    9.9779     R_MP3
9.9386     27.7291    9.5847     R_PMI
15.0582    16.0213    8.5607     L_PG
17.2051    17.7521    7.6059     L_ZTI
13.9481    21.4956    9.5798     L_M3D
14.0828    23.9611    10.1605    L_M12
