TMP        AZ784      Phu111sf






































































































11.4091    13.1144    14.3101    SUPORB
11.4847    13.245     14.6392
11.5367    13.3163    14.8711
11.6141    13.3853    15.122
11.6945    13.4372    15.39
11.8797    13.4584    15.7548
12.018     13.4138    15.9929
12.227     13.3187    16.2654
12.4569    13.2294    16.4717
12.7003    13.1407    16.6608
12.9468    13.0308    16.8084
13.2134    13.0641    16.9391
13.5349    13.1746    17.0606
13.8339    13.1604    17.1766
14.1479    13.1651    17.2515
14.4347    13.1143    17.3266
14.6967    13.0462    17.3746
14.8852    12.9511    17.4098
15.0432    12.85      17.4253
15.2003    12.7129    17.4244
15.377     12.6362    17.3964
15.5993    12.5679    17.3413
15.7592    12.6328    17.3433
16.0241    12.7186    17.4285
16.2617    12.8247    17.4884
16.4258    12.9618    17.4986
16.6556    13.0479    17.5075
16.8835    13.1477    17.4925
17.2469    12.981     17.4716
17.5821    12.9436    17.3888
17.816     12.8256    17.3362
18.0345    12.7496    17.2779
18.2943    12.7598    17.2302
18.6253    12.7948    17.1228
18.9411    12.8661    16.9832
19.118     12.8758    16.8732
19.379     12.9414    16.6604
19.5601    12.9851    16.5004
19.7879    13.0523    16.1896
19.9614    13.1357    15.9046
19.9616    13.1412    15.8828
20.0566    13.1428    15.6696
20.1633    13.1289    15.4487
20.2289    13.1347    15.2133
20.2699    13.0722    15.1138
20.3387    13.0214    14.8904


























































































































































13.9382    11.296     14.0692    RORBIT
13.5748    11.3249    13.8738
13.2787    11.3613    13.9066
12.9432    11.5272    13.917
12.6082    11.8159    14.0139
12.4154    12.08      14.1306
12.2814    12.2533    14.3053
12.1598    12.3635    14.508
12.0966    12.5096    14.7701
12.1284    12.5063    15.09
12.1909    12.4458    15.4497
12.3318    12.4032    15.6223
12.4873    12.2636    15.9241
12.7354    12.1439    16.14
13.0605    11.9868    16.3283
13.3527    11.9132    16.355
13.6355    11.8936    16.3866
13.8419    11.9203    16.3233
14.2472    11.9947    16.5317
14.4765    12.0495    16.553
14.8694    12.0226    16.6252
15.138     11.9765    16.3846
15.228     11.8827    16.1624
15.3015    11.7789    16.0111
15.3853    11.7221    15.7287
15.4774    11.5645    15.521
15.4873    11.5013    15.4038
15.4338    11.4904    15.2916
15.419     11.4112    15.1943











































































































































































18.0757    11.2172    14.2286    LORBIT
18.3386    11.3243    14.2543
18.6665    11.3131    14.2657
