UWMA       MP76       Ppw4stv
7.9762     22.0866    6.1123     R_M12
8.4222     24.092     5.0169     R_MP3
9.1041     25.0548    4.5637     R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
12.6608    20.5317    8.424      L_M3D
12.9208    22.8852    7.7457     L_M12
12.5287    24.5703    6.2256     L_MP3
9999       9999       9999       L_PMI
9.4997     25.31      4.2008     O1
14.1706    21.1485    7.025      O2
11.2742    15.1849    1.8568     O3
12.7815    16.1884    5.9257     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































8.5598     19.8472    6.7233     R-ALV
8.2866     20.1319    6.6628
8.1805     20.4       6.5162
8.0843     20.6475    6.4209
8.0296     20.9096    6.381
8.0186     21.0868    6.2589
8.0021     21.2924    6.1682
7.9834     21.5083    6.0352
7.9684     21.835     5.9778
7.97       22.0469    5.9909
8.0076     22.2119    5.9175
8.0542     22.4645    5.776
8.0659     22.6375    5.7893
8.0674     22.8216    5.5721
8.1391     23.0971    5.4859
8.2467     23.1785    5.364
8.3186     23.4389    5.2767
8.3106     23.6093    5.2338
8.3709     23.84      5.0847
8.3838     23.9268    5.0216
8.3928     24.0475    4.9423
8.4311     24.1471    4.8988
8.4427     24.2309    4.7878

















































































































































































12.938     20.6983    8.2084     L-ALV
13.0861    20.962     8.1647
13.1447    21.2013    8.1401
13.2469    21.4696    8.0361
13.2351    21.7851    7.9646
13.2282    22.0722    7.8699
13.2293    22.287     7.7739
13.1249    22.5627    7.7518
13.0983    22.8691    7.6061
13.0064    23.1599    7.4136
12.945     23.3832    7.2133
12.8787    23.7747    7.117
12.8205    23.9402    6.8082
12.7562    24.1819    6.7176
12.7394    24.3123    6.5839
12.5805    24.5492    6.4426
12.5319    24.7317    6.196
