TMP        AZ 1006    Phu126sf
17.7591    9.7486     12.0797
17.84      9.8301     12.1659
17.8528    9.9231     12.2968
17.9838    10.0058    12.4586
18.0372    10.1154    12.5923
18.0301    10.211     12.7438
18.0975    10.2095    12.9355
18.0113    10.1167    13.1659
17.9173    10.0228    13.3654
17.6742    9.8548     13.5672
17.4943    9.7237     13.7092
17.2815    9.5268     13.8335
16.9769    9.4772     13.7917
16.743     9.3492     13.8458
16.5486    9.3583     13.8487
16.3829    9.3623     13.8498
16.1757    9.3792     13.9637
15.9064    9.2559     14.0875
15.6214    9.233      13.9001
15.4569    9.1301     13.6673
15.3582    9.1022     13.428
15.3158    9.1373     13.2189
15.295     9.0843     13.0682
15.2829    9.0618     12.985
15.3082    9.0562     12.8785









































































































































































11.3037    10.0796    12.4272    RTEMFOS
11.2341    9.9988     12.2951
11.1967    9.9177     12.1203
11.1966    9.8214     11.9313
11.1694    9.7049     11.7782
11.1686    9.5847     11.6144
11.1639    9.4819     11.4536
11.1623    9.3968     11.3389
11.1668    9.2821     11.2027
11.1718    9.1378     11.0065
11.1296    8.9584     10.8054
11.1068    8.8671     10.6221
11.081     8.7715     10.4972
11.0159    8.7296     10.3073
10.9792    8.8186     10.1805
10.9318    8.9707     10.008
10.736     9.4197     9.8973
10.7081    9.5338     9.9062
10.6991    9.6585     9.9314
10.6683    9.7827     9.96




















































































































































































18.3511    10.5876    12.2464    LTEMFOS
18.3596    10.5392    11.9408
18.4588    10.4158    11.8054
18.4573    10.3027    11.5492
18.4706    10.2235    11.4253
18.5035    9.9953     11.1793
18.5023    9.8961     11.0228
18.5267    9.7581     10.9011
18.5182    9.6804     10.7489
18.5658    9.5759     10.6424
18.581     9.4547     10.4592
18.5907    9.4161     10.2733
18.6417    9.3532     10.1831
18.7336    9.4248     9.9213
18.7002    9.6521     9.7944
18.719     9.9202     9.7338
18.7432    10.1676    9.7104
18.8221    10.3824    9.7572
18.8319    10.5399    9.7868





















































































































































































15.5516    5.2897     13.4038    OP
15.2941    7.1461     12.7117    BA
14.8581    11.7287    11.2208    ST
14.2197    16.6856    10.2148    IV
11.6213    6.7888     12.1247    R_PG
10.6966    8.5573     10.9805    R_ZTI
12.7505    11.8284    12.0304    R_M3D
12.0535    14.4129    11.463     R_M12
12.2456    16.9841    10.9217    R_MP3
12.5066    17.8767    10.6673    R_PMI
19.0383    7.8848     12.3649    L_PG
19.6152    9.8013     11.4081    L_ZTI
16.6246    12.5083    12.12      L_M3D
16.4641    15.0313    11.7749    L_M12
15.9469    17.5185    11.1528    L_MP3
15.3995    18.3177    10.8511    L_PMI
13.0791    19.6394    10.2438    O1
18.3423    8.6714     6.7605     O2
10.7219    7.6672     10.8279    O3
17.1367    2.3687     11.3385    O4




















































































































































































11.462     12.0773    10.6642    RZYGINF
11.4145    11.8287    10.6382
11.289     11.5604    10.5419
11.2622    11.3288    10.5428
11.1556    11.1232    10.5909
11.0612    10.8752    10.6886
11.045     10.6384    10.7951
11.0143    10.4071    10.8552
10.9825    10.1932    10.8947
10.896     9.9554     10.9471
10.7401    9.6574     10.9656
10.6841    9.3699     10.9358
10.6218    9.1577     10.899
10.6301    8.9436     10.9355
10.7286    8.7086     10.9832
10.6572    8.5924     10.8917
























































































































































































18.0456    13.0022    10.9333    LZYGINF
18.1943    12.6857    10.9119
18.3401    12.4881    10.8901
18.5485    12.3007    10.9153
18.7209    12.0676    11.0173
18.8111    11.8488    11.0821
18.9759    11.5836    11.205
19.0522    11.3521    11.2672
19.1426    11.0633    11.3359
19.2513    10.8544    11.3451
19.4721    10.577     11.3705
19.5257    10.3153    11.4228
19.5624    10.0897    11.447
19.5824    9.94       11.4678
19.5772    9.8065     11.4778
19.6189    9.7534     11.4448
























































































































































































12.7312    11.8182    12.0126    R-ALV
12.4913    12.138     11.9291
12.314     12.4982    11.9088
12.1963    12.8761    11.8656
12.0647    13.2452    11.7983
12.0565    13.4214    11.7042
11.9858    13.8635    11.5282
11.9749    14.1212    11.4132
12.0031    14.3662    11.3524
12.0165    14.6951    11.3039
12.0982    15.005     11.3048
