NMNH       381435     Php10stv
11.5135    9.5885     9.4813
11.5801    9.4733     9.5168
11.6647    9.4112     9.5407
11.8426    9.2912     9.5445
11.9664    9.2033     9.4908
12.1352    9.2916     9.0994
12.1671    9.5381     8.9953
12.2627    9.5816     8.9332
12.4378    9.594      8.7506
12.5735    9.6116     8.4893
12.687     9.6521     8.2849
12.7601    9.6914     8.0813
12.8428    9.7478     7.8933
12.9089    9.8322     7.6868
13.0524    9.9036     7.4944
13.2312    9.9088     7.3594
13.3562    9.835      7.2593
13.5301    9.7129     7.1359
13.677     9.6976     7.0362
13.8094    9.6759     6.8859
13.8851    9.6938     6.692
13.9191    9.7765     6.5212















































































































































10.5469    15.7756    13.2977    SUPORB
10.5841    15.6801    13.7107
10.6454    15.4018    13.9874
10.6965    15.1598    14.151
10.7622    14.9762    14.2761
10.8537    14.7894    14.4029
10.8844    14.6286    14.459
10.9546    14.492     14.5509
11.0414    14.3618    14.6385
11.2099    14.2273    14.7404
11.2428    14.0386    14.7861
11.3248    13.8719    14.8388
11.4105    13.6857    14.8599
11.4812    13.5153    14.8943
11.6325    13.3301    14.9084
11.7258    13.2349    14.923
11.8154    13.0641    14.943
11.9503    12.9871    14.9546
12.0182    12.8099    14.9292
12.0695    12.6146    14.8787
12.123     12.4705    14.8199
12.1957    12.3746    14.7804
12.2649    12.2923    14.7554
12.4104    12.2342    14.841
12.5885    12.1582    14.9076
12.7901    12.0763    14.967
12.9586    12.0041    14.996
13.1451    11.9645    15.0406
13.4017    11.8301    15.0774
13.5977    11.8255    15.0791
13.8036    11.6276    15.0475
13.9788    11.4959    14.9939
14.1569    11.303     14.9042
14.3706    11.1841    14.8286
14.5211    11.097     14.753
14.6655    10.9808    14.686
14.9109    10.9283    14.6056
15.0768    10.8677    14.5326
15.2991    10.8223    14.4003
15.5206    10.7289    14.2061
15.7552    10.731     14.0422
15.9326    10.7409    13.9188
16.0786    10.7351    13.7712
15.8521    10.5949    13.613




























































































































































11.2705    13.3752    11.6338    RORBIT
11.064     13.5897    11.5661
10.891     13.8286    11.5407
10.7643    14.0067    11.6022
10.6383    14.2646    11.7542
10.5677    14.4825    11.9454
10.5925    14.5796    12.1898
10.5721    14.711     12.3637
10.5061    14.8727    12.6878
10.5157    14.8763    12.8751
10.5164    14.8745    13.1282
10.493     14.7838    13.3183
10.4948    14.6345    13.5277
10.4899    14.4167    13.7763
10.5547    14.109     13.9274
10.6695    13.8633    13.9558
10.848     13.6084    13.9369
10.9854    13.4096    13.9092
11.0756    13.3082    13.8844
11.2069    13.0273    13.8808
11.4117    12.9399    13.8636
11.5765    12.7667    13.9703
11.6455    12.5972    13.946
11.7604    12.496     13.7523
11.8553    12.4357    13.5441
11.9523    12.3458    13.3408
12.0005    12.3245    13.1685
12.0011    12.2129    12.9907












































































































































































13.6478    11.271     11.8369    LORBIT
13.8098    11.0893    11.7665
13.986     10.9587    11.7209
14.1475    10.7727    11.6364
14.3539    10.7007    11.7382
14.5       10.6942    11.7922
14.6262    10.7392    11.9203
14.7296    10.7354    12.0572
14.8114    10.7211    12.1911
14.8703    10.7097    12.3952
14.9781    10.6952    12.5162
15.0509    10.6931    12.6783
15.0973    10.6892    12.9195
15.1439    10.6882    13.0686
15.1127    10.6412    13.3282
15.0493    10.5273    13.6419
14.855     10.6362    13.7832
14.6884    10.6543    13.9578
14.4773    10.7244    14.075
14.2568    10.7848    14.1241
14.0905    10.8497    14.1584
13.8063    10.8504    14.1898
13.6278    10.9031    14.1734
13.503     10.9968    14.1016
13.2804    11.1232    14.0834
13.1252    11.2434    14.0118
12.8233    11.481     14.14
12.5892    11.6881    13.9699
12.4738    11.7688    13.6708
12.4099    11.8245    13.444
12.3827    11.8668    13.2593
12.3074    11.8652    13.0989
12.3328    11.8969    12.9359
12.3374    11.8658    12.7289






































































































































































10.4608    15.7708    13.2391    RTEMFOS
10.4008    15.8126    13.0369
10.2965    15.8675    12.7615
10.2139    15.7975    12.5901
10.1913    15.838     12.3565
10.15      15.7365    12.1156
10.1011    15.6787    11.9365
10.0947    15.6001    11.7713
10.0625    15.569     11.5534
10.0177    15.5241    11.3166
9.9727     15.4966    11.1039
9.9541     15.4372    10.8601
9.9364     15.4695    10.6111
9.926      15.4618    10.3616
9.875      15.5296    10.19
9.8417     15.5902    10.0594
9.8182     15.8442    9.9158
9.7934     16.0727    9.9167
9.8216     16.3178    9.9465
9.8592     16.5435    10.0079
9.9491     16.6942    10.0917



















































































































































































16.0824    10.6396    13.6049    LTEMFOS
16.1319    10.5926    13.3671
16.1032    10.4887    13.2057
16.0423    10.4412    12.9644
15.9194    10.4308    12.7717
15.7322    10.3836    12.4909
15.646     10.3508    12.2402
15.5637    10.275     11.9813
15.6572    10.2329    11.763
15.7006    10.1884    11.636
15.8343    10.0946    11.4028
15.9       10.0427    11.1682
15.9309    9.9935     10.9018
15.9569    9.9114     10.7062
16.0054    9.902      10.5608
16.0759    9.8569     10.4455
16.2873    9.8385     10.2977
16.6189    9.8019     10.2863
16.7523    9.8799     10.3685
16.9828    9.8932     10.3132
17.1028    10.013     10.4773
17.2109    10.1313    10.5672


















































































































































































8.4141     7.7274     11.9834    OP
9.9935     9.2161     12.17      BA
13.5377    12.8409    11.4467    ST
17.649     17.0839    12.0733    IV
7.3679     12.0256    11.6426    R_PG
8.0625     14.7563    10.512     R_ZTI
12.4958    14.9385    12.7982    R_M3D
14.0743    16.8484    12.818     R_M12
15.9686    18.5425    12.8611    R_MP3
17.208     18.6095    12.3268    R_PMI
12.8627    6.8003     11.7346    L_PG
15.627     7.5511     10.748     L_ZTI
15.6561    11.9071    12.8795    L_M3D
17.5528    13.4956    12.9495    L_M12
19.1086    15.5347    13.092     L_MP3
