BM(NH)     ZD.50a     Phh16a
-3.5725    9.7945     13.8295
-3.3264    9.658      14.0031
-3.0927    9.4786     14.1216
-2.8553    9.3309     14.1977
-2.5589    9.2937     14.3068
-2.1779    9.0955     14.3937
-1.862     9.0028     14.4535
-1.5986    8.932      14.4839
-1.2458    8.8194     14.4517
-0.9939    8.7267     14.4222
-0.6882    8.5576     14.3425
-0.5121    8.5199     14.3166
-0.09      8.3798     14.1992
0.0585     8.4249     14.2606
0.3352     8.5642     14.3418
0.7263     8.7091     14.4632
1.0416     8.8132     14.5372
1.3294     8.9051     14.5848
1.8142     8.8436     14.5206
2.0915     8.8343     14.4465
2.3714     8.9634     14.3522
2.7081     9.083      14.2596
3.02       9.1842     14.1299
3.2528     9.3445     14.0338
3.4833     9.6067     13.8961
3.646      9.7268     13.6938
3.7575     9.713      13.5459
3.8324     9.7026     13.4252
3.916      9.6526     13.2579
3.9918     9.6415     13.1337
4.0394     9.5523     13.0094






































































































































































-2.2592    8.6298     11.1149    RORBIT
-2.4597    8.7017     11.1717
-2.7445    8.8264     11.3722
-2.9336    8.9645     11.5989
-3.0427    9.0878     11.815
-3.1926    9.2125     12.1507
-3.3043    9.2618     12.482
-3.3357    9.2617     12.8268
-3.2684    9.1965     13.0258
-3.0588    9.0018     13.3185
-2.8045    8.7418     13.4993
-2.5436    8.554      13.6303
-2.2831    8.4765     13.6651
-2.0616    8.4106     13.6074
-1.9571    8.4112     13.6322
-1.6342    8.4118     13.7819
-1.2772    8.453      13.8155
-1.0014    8.5057     13.7138
-0.7166    8.497      13.3982
-0.6128    8.487      13.066
-0.4322    8.4078     12.7974
-0.4583    8.4202     12.6154
-0.4621    8.3862     12.477

















































































































































































1.9475     8.3908     11.2448    LORBIT
2.2083     8.4185     11.1806
2.413      8.5098     11.2756
2.6226     8.5984     11.3876
2.8293     8.7221     11.5866
3.0402     8.7962     11.7815
3.0996     8.8668     11.9554
3.1468     8.9645     12.1796
3.1358     9.0465     12.4104
3.1413     9.0399     12.7271
3.1148     9.0358     12.9592
2.9379     8.8879     13.2273
2.7991     8.5881     13.4757
2.3773     8.4377     13.5677
2.0851     8.4179     13.5591
1.9288     8.2973     13.5837
1.4366     8.3085     13.7438
1.0887     8.3387     13.8536
0.7817     8.3328     13.7511
0.6432     8.322      13.6199
0.49       8.3612     13.3576
0.4054     8.4095     13.0998
0.3531     8.3993     13.0044
0.2984     8.4617     12.8772
0.3004     8.4707     12.7033















































































































































































-4.0171    9.9411     13.0868    RTEMFOS
-4.0885    9.9282     12.8616
-4.1381    9.8343     12.6536
-4.1931    9.756      12.4468
-4.2094    9.6779     12.2034
-4.271     9.6079     12.0242
-4.2781    9.5281     11.7595
-4.2842    9.4259     11.4623
-4.335     9.3367     11.1996
-4.3944    9.2548     10.9667
-4.4378    9.1742     10.7577
-4.4833    9.1275     10.484
-4.4997    9.0827     10.2806
-4.5303    9.0205     10.0665
-4.6441    8.9934     9.837
-4.7472    9.0988     9.6481
-5.0276    9.2332     9.448
-5.0779    9.5358     9.4352
-5.1545    9.7167     9.4387
-5.2211    9.894      9.4434
-5.2768    10.0984    9.4497
-5.2892    10.2076    9.4792
-5.3548    10.3463    9.462

















































































































































































3.9544     9.5444     13.0101    LTEMFOS
4.0508     9.4823     12.8271
4.1226     9.4515     12.6087
4.1347     9.3101     12.4406
4.1814     9.2905     12.1632
4.1788     9.2422     11.9542
4.2043     9.0798     11.7332
4.2375     9.0454     11.5461
4.2372     9.0485     11.3069
4.3184     8.8281     11.1188
4.2973     8.8379     10.8339
4.2933     8.6806     10.6216
4.3651     8.6053     10.2631
4.4009     8.5539     10.1088
4.5002     8.627      9.8615
4.6153     8.6689     9.7055
4.7478     8.6707     9.5973
4.8422     8.7759     9.5164
4.9242     8.8816     9.5156
5.0259     9.1134     9.487
5.1355     9.3293     9.4802
5.1799     9.4565     9.5015
5.2131     9.5455     9.52
5.2197     9.6652     9.5637
5.2412     9.7586     9.5732
5.2588     9.849      9.5838














































































































































































-0.1898    2.3784     11.6593    OP
-0.2845    4.4181     11.7869    BA
-0.3827    9.4064     11.0841    ST
-0.5538    14.7495    11.6674    IV
-4.0985    4.388      11.0898    R_PG
-5.7634    6.3775     10.2802    R_ZTI
-2.5436    10.0008    12.0891    R_M3D
-3.0191    12.4382    12.4471    R_M12
-2.7636    14.9316    12.6811    R_MP3
