BPI        M3078      Ppa1stv











































































11.7586    12.9725    5.2995     NOSE
11.3681    12.8029    5.1126
11.1978    12.6192    4.8777
11.0992    12.453     4.6763
11.0287    12.3181    4.5981
10.9753    12.1574    4.44
10.9695    11.9724    4.2738
10.9646    11.7959    4.1078
11.0156    11.5693    3.9542
11.0359    11.446     3.8264
11.1059    11.3242    3.7071
11.1966    11.1947    3.5992
11.2922    11.0878    3.5363
11.3731    10.9062    3.4614
11.4533    10.8372    3.4439
11.5466    10.7699    3.4002
11.6485    10.6606    3.3397
11.762     10.6877    3.2917
11.8788    10.6167    3.2684
12.0498    10.6215    3.3512
12.2361    10.6786    3.4722
12.3454    10.7856    3.5567
12.435     10.9582    3.6377
12.5387    11.1355    3.7155
12.5997    11.285     3.8042
12.6363    11.4737    3.9451
12.6837    11.636     4.0394
12.685     11.8087    4.135
12.6528    12.0028    4.2531
12.6301    12.147     4.34
12.5587    12.3133    4.4124
12.5013    12.5109    4.5612
12.4601    12.6052    4.6785
12.296     12.7369    4.9145
12.107     12.7229    5.0465
12.0374    12.7958    5.1016
11.7604    12.973     5.3134



































































































































































11.8974    10.6737    3.272      NASP-PR
11.8555    10.4066    3.1559
11.8413    10.2658    2.9759
11.8183    10.1658    2.87
11.8059    10.1047    2.7471



































































































































































































11.3928    13.6386    5.6842     R-PM/MAX
11.2967    13.4966    5.548
11.2453    13.3738    5.4041
11.2037    13.2841    5.3218
11.1822    13.1487    5.2277
11.1281    12.9628    5.046
11.0664    12.7331    4.9103
10.9829    12.5712    4.7218
10.8983    12.3891    4.5407
10.7835    12.2183    4.4032
10.7258    12.0682    4.256
10.7304    11.9329    4.1633
10.7195    11.7567    3.9999
10.7218    11.5873    3.8865
10.6843    11.4361    3.7084
10.7257    11.3109    3.5872
10.6792    11.1458    3.3811
10.6704    10.9586    3.1862
10.6816    10.8711    3.1081
10.6648    10.712     3.0043
10.6675    10.6365    2.8186
10.7114    10.6007    2.5819
10.6881    10.6694    2.5101

















































































































































































12.0309    13.6309    5.5767     L-PM/MAX
12.125     13.4819    5.3881
12.1762    13.3501    5.2393
12.2793    13.1414    5.1434
12.3083    12.9931    5.0286
12.4157    12.8901    4.9027
12.5329    12.7236    4.7346
12.5949    12.5491    4.5509
12.6474    12.4201    4.4211
12.7582    12.1104    4.2275
12.7983    11.9759    4.1484
12.8489    11.7909    4.0753
12.8652    11.5635    3.9246
12.917     11.3818    3.7658
12.9354    11.2409    3.637
13.0088    11.0735    3.4647
13.0412    10.8789    3.304
13.1108    10.7895    3.151
13.1938    10.7314    3.0187
13.2458    10.7359    2.9239
13.2692    10.7829    2.7456



















































































































































































9.3406     13.2728    2.1215     ROSTRUM
9.3759     13.2942    2.4481
9.4108     13.3206    2.7305
9.5624     13.3916    2.9914
9.7679     13.3792    3.2415
9.9014     13.3294    3.4572
9.95       13.3617    3.7287
9.9968     13.3235    4.0058
10.017     13.4203    4.2379
10.1736    13.2569    4.509
10.4024    13.3777    4.7224
10.5587    13.4936    4.8992
10.686     13.5447    5.0162
10.8074    13.5841    5.157
10.9663    13.6094    5.2661
11.097     13.6862    5.3763
11.2076    13.7587    5.5281
11.3001    13.8418    5.7678
11.4232    13.8871    5.9326
11.5401    13.9367    5.9841
11.5939    13.9719    6.0638
11.7528    14.0753    6.0414
11.8791    14.0514    5.9581
11.9697    14.0186    5.8264
12.048     13.9988    5.5886
12.1544    13.9982    5.4365
12.2673    13.9679    5.2914
12.4257    13.9334    5.1338
12.6022    13.9427    4.9836
12.7509    13.9571    4.9066
12.9111    13.9352    4.7639
13.0516    13.9515    4.6269
13.1966    13.9444    4.5473
13.2837    13.8817    4.3817
13.3042    13.8968    4.1463
13.2949    13.9184    3.983
13.2832    13.8928    3.8364
13.2777    13.8969    3.6753
13.3037    13.9092    3.5554
13.3125    13.9259    3.5253
13.3584    13.9402    3.3291
13.4391    13.942     3.1264
13.5508    13.9579    2.984
13.635     13.9689    2.8613
13.7563    13.9906    2.5815
13.7841    13.9738    2.3871
13.7557    14.0133    2.0971
13.7665    14.0611    2.0164
13.736     14.0174    1.8585























































































































































9999       9999       9999       SUPORB
11.7023    15.7579    7.3958
11.994     15.8451    7.4566
12.3125    15.9583    7.4545
12.5896    16.0405    7.4397
12.8773    16.1205    7.4271
13.1118    16.2196    7.3505
13.3476    16.269     7.2643
13.5835    16.3945    7.153
13.8681    16.5436    7.0063
14.0963    16.7278    6.8199
14.2882    16.8465    6.5915
14.4493    16.8639    6.3962
14.4976    16.8634    6.2731
14.5755    16.8382    6.1373
14.6355    16.9043    5.9336
























































































































































































9999       9999       9999       RORBIT







































































































































































































13.4889    14.9528    4.9449     LORBIT
13.702     15.0501    4.9618
13.8067    15.1616    5.0236
13.954     15.2743    5.0557
13.9724    15.3733    5.0808
14.1733    15.4927    5.1404
14.212     15.6485    5.2299
14.2944    15.7832    5.3293
14.3023    15.9474    5.4604
14.4397    16.0452    5.5663
14.4181    16.1079    5.7307
14.3962    16.1742    5.8287
14.3663    16.2095    6.0048
14.2965    16.2194    6.2139
14.1649    16.2068    6.4762
14.0336    16.1953    6.7024
13.8386    16.1105    6.7538
13.6779    16.0417    6.8952
13.4854    15.9538    6.9795
13.3441    15.8803    7.0501
13.2003    15.8146    7.0515
13.0444    15.7573    7.006
12.923     15.6666    7.0196
12.7771    15.5984    6.9579
12.4703    15.5647    6.953
12.1762    15.4202    7.0129
11.9659    15.2893    6.6787
11.958     15.1848    6.496
11.9883    15.1354    6.2781
12.033     15.1126    6.1005
12.0555    14.9426    6.0001









































































































































































9999       9999       9999       RTEMFOS







































































































































































































14.652     16.9271    5.9348     LTEMFOS
14.7202    16.8931    5.7742
14.8302    16.7011    5.4609
14.852     16.5953    5.3111
14.8806    16.4909    5.0885
14.8992    16.3958    4.9054
14.9222    16.2276    4.7065
14.9302    16.0376    4.5659
14.9104    15.9426    4.4185
14.9284    15.8624    4.2293
14.9726    15.8271    4.0758
15.0047    15.8583    3.9478
15.0507    15.9345    3.8548
15.1213    16.0883    3.7323
15.1877    16.2175    3.6202
15.315     16.3685    3.5458
15.3211    16.5093    3.554























































































































































































9999       9999       9999       OP
9999       9999       9999       BA
12.5581    10.7577    6.6768     ST
12.5169    8.0193     6.9097     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
14.0037    11.6809    7.0969     R_M3D
14.3583    9.6949     7.8983     R_M12
14.1018    7.631      7.6528     R_MP3
13.5646    6.8709     7.6741     R_PMI
9.1338     15.0475    5.5706     L_PG
8.0117     12.7853    4.8706     L_ZTI
10.5884    11.5681    6.5829     L_M3D
10.1223    9.5193     7.0754     L_M12
10.919     7.3458     6.8649     L_MP3
11.3996    6.3798     7.233      L_PMI
11.0817    7.1094     6.0426     O1
14.7342    11.5237    3.0711     O2
8.6312     13.482     3.9551     O3
12.6109    18.5547    4.4272     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9.4247     10.5532    5.9285     LZYGINF
9.1646     10.7119    5.7973
8.884      10.7829    5.7586
8.6332     10.9251    5.7029
8.4658     11.0356    5.6299
8.4403     11.2641    5.5391
8.3583     11.4139    5.4959
8.2802     11.6281    5.4463
8.2669     11.8127    5.3798
8.2361     11.9209    5.3092
8.2137     12.0553    5.2234
8.1981     12.1811    5.1281
8.1344     12.2641    5.0342
8.0584     12.443     4.9971
8.0188     12.5437    4.9374
8.0092     12.698     4.9338
























































































































































































13.9601    11.8433    6.9762     R-ALV
14.1352    11.5644    7.1194
14.2297    11.2648    7.2615
14.3087    10.9327    7.4414
14.309     10.7352    7.6271
14.4433    10.4339    7.7165
14.4784    10.1681    7.6743
14.4601    9.9288     7.7803
14.3908    9.5739     7.8809
14.364     9.353      7.9463
14.3241    9.0998     7.972
14.2824    8.8535     7.9057
14.2416    8.6991     7.8476
14.1483    8.4014     7.8493
14.0819    8.2161     7.8988
14.0873    7.9718     7.7542
14.0626    7.7573     7.6862
14.0564    7.5969     7.4881






















































































































































































10.5645    11.5819    6.5443     L-ALV
10.4657    11.3667    6.5701
10.356     11.0978    6.557
10.2311    10.8882    6.6517
10.1885    10.7065    6.6854
10.1299    10.5198    6.7004
10.1116    10.2843    6.7843
10.0692    10.1359    6.847
10.0387    9.9848     6.8803
10.0542    9.6904     6.9351
10.0733    9.5416     6.9891
10.0986    9.4604     7.0122
10.1643    9.2533     6.9709
10.2132    9.0088     6.9814
10.2287    8.7599     7.0449
10.3328    8.584      7.0306
10.4217    8.3077     7.0736
10.4789    8.0352     7.1409
10.5365    7.8918     7.0579
10.6265    7.743      7.0096
10.7645    7.6037     6.8972
