MNHN       1970.409   Phu169sf
4.4719     11.3863    11.8654
4.494      11.0433    11.8465
4.538      10.9144    11.8373
4.6603     10.7725    11.8325
4.7456     10.6436    11.8428
4.9011     10.5177    11.7957
5.0593     10.4222    11.7494
5.1194     10.3711    11.6979
5.1687     10.3144    11.6613
5.1789     10.2461    11.6137
5.2311     10.1805    11.5316












































































































































































-3.0877    15.1628    13.5735    R-ALV
-3.307     15.6782    13.4976
-3.3683    16.1167    13.5387
-3.3948    16.4071    13.4752
-3.3877    16.6725    13.5064
-3.4158    16.9848    13.4199
-3.3918    17.3397    13.3813
-3.3825    17.5766    13.3942
-3.3516    17.9089    13.4196
-3.35      18.217     13.4295
-3.2662    18.5523    13.2857
-3.2802    19.0228    13.3185
-3.2995    19.351     13.3732
-3.2826    19.5189    13.4625
-3.2688    19.7834    13.4857
-3.292     19.9659    13.5203
-3.271     20.067     13.5928























































































































































































1.8431     15.0581    13.9386    L-ALV
1.9999     15.3546    13.8473
2.1232     15.7047    13.753
2.1812     16.0851    13.7038
2.2161     16.4191    13.6868
2.2367     16.9611    13.7284
2.2127     17.4311    13.6575
2.1559     17.8361    13.7412
2.1183     18.1802    13.7643
2.0189     18.5617    13.6702
1.9881     18.8559    13.7383
2.0082     19.1236    13.7629
1.9713     19.4197    13.8233
1.9211     19.6827    13.9058
1.8705     19.941     13.9439
1.8441     20.2003    14.0083
