AMNH       103367     scc12cs.xls
7.2509     11.3235    -6.969
7.1791     11.3113    -6.7326
7.1766     11.2816    -6.5002
7.1326     11.3448    -6.2423
7.1498     11.4878    -6.0381
7.1917     11.6703    -5.9471
7.2849     11.8728    -5.8656





























































































































































































6.825      6.8835     -7.8735    OP
8.0525     7.8981     -8.2815    BA
10.9554    10.2374    -6.9398    ST
12.8702    11.871     -6.5988    IV
10.3213    6.2725     -8.0391    R_PG
9999       9999       9999       R_ZTI
11.7881    9.2378     -7.7179    R_M3D
12.9793    10.0199    -7.5555    R_M12
13.9232    11.221     -7.0732    R_MP3
13.8792    11.8692    -6.9121    R_PMI
6.7844     10.1876    -8.0437    L_PG
7.3702     12.145     -6.9602    L_ZTI
9.9357     11.2954    -7.7685    L_M3D
10.7603    12.2542    -7.4658    L_M12
12.1135    13.0572    -6.9871    L_MP3
12.9043    12.8498    -6.817     L_PMI
11.7933    12.7948    -6.3714    O1
9.8216     12.6408    -6.0622    O2
6.2759     10.0182    -6.5234    O3
6.1415     6.1937     -5.3906    O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9.9988     12.581     -6.7926    LZYGINF
9.736      12.6827    -6.8314
9.4406     12.7767    -6.9376
9.0909     12.8316    -6.8843
8.7032     12.7912    -6.8494
8.3904     12.6809    -6.8825
8.114      12.5816    -6.9564
7.8679     12.4244    -7.032
7.6202     12.3339    -7.0368
7.4321     12.2464    -7.03
7.3317     12.1861    -6.987





























































































































































































11.81      9.26       -7.7411    R-ALV
12.0815    9.3807     -7.6721
12.4394    9.5545     -7.6185
12.7319    9.7351     -7.5874
13.0404    10.0112    -7.5089
13.2629    10.1683    -7.3995
13.4375    10.4591    -7.3053
13.6337    10.6759    -7.2243
13.8121    10.8573    -7.1129
13.9504    11.1042    -7.0854
13.8938    11.221     -7.1086





































































































