NME        KL39-1     Too3sf2
10.305     9.2577     9.9795




































































































































































7.3587     13.8279    10.348     RTEMFOS
7.1656     13.7926    10.1304
7.0971     13.6985    9.9916
6.9709     13.6943    9.8039
6.9147     13.6587    9.6725
6.8325     13.5785    9.5165
6.8089     13.4927    9.4213
6.7221     13.3978    9.2686
6.676      13.3294    9.1389
6.5901     13.2248    8.8841
6.5075     13.0914    8.651
6.3473     12.4647    8.0972
6.1682     12.4814    7.9639
5.9384     12.4444    7.7124
5.7386     12.5506    7.3859
5.5679     12.6432    7.1905
5.248      12.8948    6.9297
5.1139     13.0152    6.8366
4.994      13.2428    6.8288
4.987      13.4899    6.781
4.9811     13.7913    6.7807
5.0628     14.0193    6.867
5.1002     14.1851    6.8507
5.1861     14.3686    6.8602
5.2157     14.5449    6.8581
5.2841     14.7267    6.8588
5.3344     14.8017    6.8668
5.3658     14.9333    6.867
5.4727     15.1007    6.9045











































































































































































14.6149    8.657      10.4371    LTEMFOS
14.6404    8.5243     10.1741
14.7032    8.4135     9.7895
14.7263    8.2959     9.539
14.6798    8.2427     9.255
14.5883    8.1379     9.0738
14.5308    8.0427     8.9452
14.404     7.9821     8.8031
14.3493    7.9        8.6476
14.1779    7.6484     8.4839
14.0897    7.5814     8.33
13.4733    6.8125     7.4883
13.5551    6.6275     7.1384
13.6186    6.4367     7.0711
13.7926    6.3511     6.9488
13.9965    6.2311     6.7347
14.1534    6.1016     6.6487
14.3989    6.1074     6.5545
14.7594    6.1784     6.5443
15.0048    6.3695     6.5917
15.0753    6.4758     6.6346
15.2929    6.5775     6.6242
15.4066    6.6893     6.648
15.4348    6.7611     6.6677
15.6064    6.9273     6.6833















































































































































































7.9384     7.4135     9.7696     OP
9.1066     8.895      9.5275     BA
13.6568    13.4574    8.9678     ST
9999       9999       9999       IV
9999       9999       9999       R_PG
6.9743     16.1353    7.4823     R_ZTI
12.7811    17.1105    9.6755     R_M3D
14.6322    19.3209    8.7214     R_M12
17.0697    20.8627    8.5182     R_MP3
18.5539    21.1553    8.2827     R_PMI
9999       9999       9999       L_PG
17.1127    7.5146     9.3977     L_ZTI
16.7203    13.3201    10.6539    L_M3D
19.218     15.4663    9.9869     L_M12
20.2847    17.6095    9.4286     L_MP3
20.9391    19.2556    8.7321     L_PMI
20.957     19.7734    7.7076     O1
10.1345    13.8873    2.4636     O2
18.0315    8.1802     8.8691     O3
6.6514     5.1817     7.2212     O4




















































































































































































12.1907    17.675     8.0037     RZYGINF
12.0024    17.7298    7.858
11.7741    17.7998    7.7822
11.6527    17.975     7.6749
11.3437    18.0651    7.583
11.1876    18.2045    7.501
11.0475    18.3484    7.4389
10.7873    18.4235    7.4459
10.4974    18.4144    7.4006
10.2944    18.3402    7.4061
10.0824    18.2705    7.3872
9.8791     18.1891    7.3541
9.6125     18.0877    7.3289
9.4004     18.0107    7.3035
9.2292     17.9503    7.2897
8.8808     17.7367    7.2863
8.6339     17.5969    7.2426
8.3383     17.46      7.2239
8.0715     17.2837    7.2122
7.8021     17.0694    7.2357
7.6149     16.9616    7.2512
7.3973     16.7176    7.2921
7.2075     16.5826    7.3264
7.0332     16.3103    7.4523
6.9172     16.227     7.4369















































































































































































18.288     11.8123    9.0146     LZYGINF
18.4482    11.7045    8.9778
18.584     11.449     8.971
18.7762    11.2417    8.9683
18.8891    10.9176    9.0999
18.9322    10.6496    9.0169
18.8799    10.4277    9.0521
18.8287    10.2358    9.0375
18.7649    10.0813    9.1557
18.7073    9.848      9.2138
18.6796    9.628      9.1887
18.5339    9.3825     9.1797
18.4381    9.1007     9.1416
18.2769    8.8846     9.1646
18.1564    8.7378     9.2125
18.0339    8.5147     9.1951
17.9359    8.372      9.2271
17.8296    8.1798     9.2591
17.6409    8.0287     9.3273
17.5724    7.9044     9.3468
17.4615    7.8727     9.4188
17.3713    7.757      9.4248
17.2644    7.648      9.4592
17.1755    7.5413     9.4347
















































































































































































12.8117    17.147     9.8033     R-ALV
12.8674    17.4562    9.5936
12.9903    17.6386    9.5033
13.1106    17.8198    9.4207
13.1873    17.9701    9.3554
13.2905    18.1286    9.3123
13.3893    18.2764    9.3064
13.5896    18.4165    9.1967
13.8345    18.6328    9.0997
14.0303    18.8448    8.9583
14.1645    19.0218    8.9183
14.2944    19.0981    8.8383
14.2507    19.1212    8.8726
14.7738    19.488     8.7847
14.9985    19.6561    8.7337
15.1918    19.7734    8.7078
15.4631    19.8777    8.5907
15.5641    20.0271    8.7294
15.7778    20.1314    8.6837
16.0339    20.2377    8.7261
16.2349    20.3421    8.7916
16.3989    20.4455    8.7344
16.54      20.5461    8.7192
16.725     20.6277    8.6237
16.8813    20.6826    8.5552
17.0025    20.7568    8.506
17.0838    20.8289    8.4875













































































































































































16.7283    13.3121    10.6038    L-ALV
16.9374    13.3251    10.5264
17.1619    13.4923    10.4985
17.3787    13.6653    10.4619
17.5336    13.7758    10.4489
17.6012    13.865     10.4154
17.8749    14.0074    10.3799
18.0207    14.14      10.2931
18.1377    14.2643    10.2999
18.2511    14.3794    10.2228
18.4468    14.4464    10.213
18.6474    14.6618    10.1417
18.7773    14.8503    10.1176
18.9165    14.8469    9.9947
19.0491    14.9967    9.9479
19.1543    15.1166    9.9561
19.2239    15.38      9.8615
19.2809    15.4939    9.848
19.3727    15.5874    9.8121
19.5442    15.8929    9.7043
19.7038    16.0449    9.6581
19.8729    16.297     9.5157
19.9699    16.6985    9.5425
20.1154    16.9012    9.4552
20.2228    17.0969    9.4428
20.2491    17.2686    9.3785
20.2798    17.4359    9.392
20.3199    17.7211    9.3036
