AMNH       116274     Phk1stv
11.7439    7.4382     11.8352
11.9189    7.3502     11.6834
12.067     7.366      11.6206
12.2498    7.3676     11.4972
12.3901    7.3703     11.4003
12.5501    7.3245     11.2785
12.6576    7.3238     11.1685
12.749     7.306      11.0625
12.8561    7.3299     10.9343
12.9041    7.3296     10.798
12.9873    7.349      10.6514
13.0054    7.3217     10.498

























































































































































8.5374     9.5315     9.2338     RORBIT
8.3893     9.7413     9.2079
8.2465     9.9557     9.2654
8.1606     10.0927    9.293
8.0361     10.2935    9.401
7.971      10.46      9.5583
7.893      10.5946    9.7009
7.9107     10.7011    9.9262
7.8271     10.7416    10.1034
7.8058     10.7913    10.2838
7.8535     10.7827    10.3927
7.8946     10.7967    10.5477
7.8646     10.7666    10.6961
7.8847     10.7242    10.8525
7.9054     10.6634    10.9903
7.9354     10.5694    11.1604
7.9764     10.4498    11.3429
8.0363     10.3       11.4898
8.1055     10.1546    11.6189
8.1901     9.9684     11.7564
8.26       9.8516     11.7325
8.3851     9.7504     11.6892
8.4772     9.5662     11.6966
8.5754     9.5056     11.6527
8.6369     9.4374     11.6254
8.7067     9.3674     11.5868
8.8303     9.2398     11.5466
8.9364     9.1499     11.5397
9.052      9.0562     11.5052
9.0761     9.0214     11.5041
9.1361     8.8353     11.4305
9.2687     8.8217     11.2999
9.3615     8.8503     11.098
9.418      8.7711     10.9746
9.432      8.8001     10.7502
9.4389     8.7952     10.5803
9.4047     8.801      10.4239
9.3708     8.7803     10.248


































































































































































10.8904    7.8095     9.1558     LORBIT
11.0699    7.637      9.0712
11.2602    7.5652     9.0804
11.3919    7.5032     9.1109
11.6112    7.332      9.0989
11.8002    7.3072     9.2876
11.9086    7.3105     9.4251
12.0295    7.2638     9.5715
12.0825    7.2925     9.7121
12.1814    7.1936     9.8554
12.1807    7.2327     10.0201
12.212     7.2381     10.2252
12.2073    7.1983     10.5209
12.0854    7.2554     10.7881
12.001     7.2961     10.9518
11.9089    7.2486     11.1324
11.7289    7.2396     11.3808
11.577     7.278      11.4767
11.3978    7.358      11.516
11.1981    7.4188     11.6332
11.0224    7.5791     11.5357
10.8441    7.7042     11.5051
10.7251    7.7422     11.4831
10.5757    7.7919     11.5052
10.4569    7.8294     11.5331
10.3827    7.886      11.5046
10.217     7.9765     11.5067
10.0502    8.0927     11.3774
9.9536     8.1896     11.2359
9.9267     8.2847     11.0409
9.9082     8.3411     10.8415
9.9047     8.369      10.6894
9.9909     8.419      10.4895
10.0141    8.4129     10.391
10.012     8.4003     10.2429





































































































































































7.7353     11.5416    10.6595    RTEMFOS
7.7216     11.5105    10.3418
7.6434     11.4416    10.1241
7.5932     11.4062    9.7927
7.5778     11.3809    9.5334
7.5839     11.3701    9.3132
7.5591     11.363     9.1447
7.5127     11.3295    8.8582
7.5078     11.3318    8.723
7.4642     11.3283    8.5433
7.4465     11.3787    8.342
7.4501     11.4662    8.1608
7.4455     11.6078    8.0009
7.4451     11.8011    7.8882
7.455      12.0244    7.8544
7.5176     12.1746    7.892
7.5702     12.2963    7.9304
7.6533     12.4267    7.9886
7.6933     12.5288    8.03
7.7887     12.6423    8.1135
7.8187     12.6811    8.15



















































































































































































12.9868    7.2982     10.4226    LTEMFOS
12.9926    7.2942     10.2434
12.9651    7.2602     10.1034
12.9016    7.2172     10.0251
12.8307    7.1873     9.8217
12.8281    7.1551     9.6307
12.8281    7.1724     9.4043
12.7868    7.13       9.2351
12.7936    7.1415     9.0868
12.7484    7.1523     8.8325
12.699     7.1397     8.6361
12.6984    7.1453     8.3803
12.7145    7.1281     8.1711
12.7928    7.1554     7.9843
12.9082    7.1563     7.8274
13.072     7.2271     7.7039
13.2448    7.2907     7.6301
13.4396    7.3555     7.6083
13.607     7.4392     7.6566
13.7814    7.5317     7.7182
13.8499    7.6215     7.8136
13.9367    7.7392     7.9509


















































































































































































9.7339     9.104      12.4143    OP
10.8524    10.473     11.9944    BA
13.2279    13.1847    10.6443    ST
15.1301    15.4449    10.0111    IV
8.5542     12.631     11.4177    R_PG
9.1031     14.6661    10.791     R_ZTI
12.1381    14.5853    11.5127    R_M3D
13.1875    15.9247    11.3555    R_M12
14.4263    16.7596    11.0337    R_MP3
14.8758    17.0954    10.6711    R_PMI
13.3338    8.5772     11.0215    L_PG
15.0841    9.3828     10.3703    L_ZTI
14.7678    12.3789    11.3048    L_M3D
16.0184    13.5516    11.2035    L_M12
16.7332    14.9749    10.9891    L_MP3
16.846     15.4641    10.5794    L_PMI
15.1959    17.0308    9.876      O1
10.0283    14.2145    7.7467     O2
16.0869    10.6451    10.2589    O3
11.8127    7.6239     11.7247    O4




















































































































































































11.353     15.6929    10.6157    RZYGINF
11.2346    15.7731    10.6138
11.0491    15.7745    10.6603
10.9549    15.8219    10.7215
10.7909    15.8142    10.7784
10.6519    15.7268    10.8215
10.5253    15.6126    10.8399
10.3602    15.5574    10.8869
10.2344    15.4218    10.9192
10.038     15.2936    10.9459
9.9257     15.206     10.9065
9.7936     15.1527    10.8879
9.6261     15.07      10.8544
9.5917     14.984     10.8649
9.4988     14.8728    10.8551
9.4398     14.7836    10.8661
9.3551     14.6736    10.8675
9.3003     14.6814    10.8571
9.1822     14.6311    10.8118





















































































































































































15.8612    11.6732    10.414     LZYGINF
15.9393    11.5362    10.4015
15.9798    11.437     10.4287
16.0183    11.2628    10.5239
15.985     10.9966    10.5776
15.936     10.9002    10.6029
15.8911    10.797     10.6228
15.782     10.6551    10.6425
15.7039    10.487     10.6648
15.6151    10.4031    10.6183
15.5851    10.2378    10.6505
15.5424    10.0705    10.6214
15.5363    9.9932     10.589
15.4073    9.8531     10.5267
15.3045    9.7532     10.5087
15.2794    9.6244     10.4889
15.1665    9.5365     10.5042
15.0465    9.4185     10.4586






















































































































































































12.1107    14.6249    11.5018    R-ALV
12.1307    14.8354    11.4094
12.1914    14.9908    11.3603
12.293     15.1739    11.292
12.4204    15.3076    11.271
12.6078    15.4253    11.3673
12.693     15.6201    11.2518
12.7653    15.6924    11.2245
12.8389    15.8144    11.2325
12.9754    15.9624    11.2523
13.1441    16.0232    11.2144
13.2549    16.1167    11.2316
13.3673    16.27      11.2172
13.5537    16.3346    11.2456
13.6906    16.3808    11.2324
13.7806    16.4947    11.1882
13.9123    16.5648    11.1536
14.0346    16.6483    11.1037
14.0746    16.7293    11.0394
14.2596    16.8044    11.0173




















































































































































































14.7516    12.396     11.3044    L-ALV
14.9588    12.4804    11.2793
15.0476    12.5551    11.2755
15.1934    12.6401    11.2379
15.298     12.7409    11.2411
15.4214    12.8586    11.2197
15.4909    12.9433    11.2123
15.689     13.1414    11.2355
15.8423    13.2682    11.2171
15.9349    13.3777    11.2359
16.0312    13.526     11.2237
16.0409    13.6281    11.2347
16.1617    13.7854    11.1557
16.2923    13.9146    11.1578
16.3436    14.0309    11.1061
16.3449    14.2621    11.128
16.4549    14.4021    11.0695
16.4845    14.5291    11.0408
16.5427    14.6721    10.99
16.6425    14.822     10.9968
16.6927    14.9317    10.9794
