AMNH       169432     Phu1pwl
-2.1       14.1508    17.2268
-1.7569    14.1367    17.2487
-1.5123    14.06      17.24
-1.2883    13.9485    17.2318
-1.0155    13.8088    17.1816
-0.803     13.6809    17.1376
-0.6301    13.5431    17.1342
-0.3593    13.5926    17.1829
-0.0955    13.7564    17.2361
0.1999     13.7894    17.3025
0.4411     13.9892    17.3233
0.7333     14.0514    17.3292
1.0914     14.0974    17.3188
1.3898     13.9046    17.3318
1.7638     13.8654    17.2576
2.1438     13.8485    17.1793
2.4106     13.7535    17.0826
2.6658     13.7572    16.9838
2.9852     13.8183    16.8642
3.4755     14.0206    16.4932
3.7644     14.0327    16.2029
3.9953     14.1093    15.8169
4.051      14.0378    15.5883
4.1661     14.1326    15.3595
4.2502     14.1237    15.07

































































































































































-4.2461    13.8764    14.3476    RORBIT
-4.3177    13.9993    14.5558
-4.3552    14.0535    14.7415
-4.3957    14.0323    14.9325
-4.4181    13.9526    15.1862
-4.2711    13.8827    15.4166
-4.1002    13.7471    15.6448
-3.9475    13.648     15.7646
-3.6144    13.4141    15.968
-3.2968    13.3345    16.0067
-2.9669    13.2455    16.0936
-2.6671    13.2623    16.0213
-2.5044    13.1881    16.0355
-1.9625    13.2009    16.3163
-1.7081    13.2554    16.2892
-1.4944    13.1382    16.2212
-1.3536    13.0922    15.9667
-1.3147    13.0992    15.7327
-1.2269    13.0673    15.443
-1.173     13.0378    15.2089
-1.1723    12.9379    14.9631



















































































































































































3.0075     13.1962    14.6405    LORBIT
3.1385     13.2575    14.8566
3.196      13.3717    15.0184
3.2024     13.4319    15.2821
3.1398     13.4       15.4902
3.066      13.3039    15.7275
2.886      13.2411    15.912
2.6397     13.1531    16.1046
2.3239     13.0356    16.2317
2.1046     12.9702    16.2966
1.7836     12.9193    16.3027
1.5185     12.8433    16.2789
1.3359     12.9014    16.2369
1.21       12.8889    16.216
1.0147     12.9326    16.2015
0.5909     13.0268    16.4457
0.3756     13.0394    16.411
0.194      13.1602    16.3553
0.0417     13.2105    16.0665
-0.1293    12.9783    15.8582
