NMNH       257998     Pyg1stv




































































































9999       9999       9999       OP
-0.507     5.2779     7.169      BA
-0.6004    8.8686     6.7348     ST
-0.6834    10.9561    6.8159     IV
-3.2805    5.7168     6.4033     R_PG
-4.0882    7.4183     6.2075     R_ZTI
-2.0542    8.3956     6.8305     R_M3D
-2.4029    9.5714     7.1555     R_M12
-2.0295    11.0808    7.0567     R_MP3
-1.6203    11.498     6.9584     R_PMI
2.1853     5.8202     6.5607     L_PG
2.9387     7.7973     6.2832     L_ZTI
0.743      8.4514     6.8561     L_M3D
1.1105     9.7562     7.1793     L_M12
0.6748     11.2527    6.9478     L_MP3
0.183      11.5091    7.0175     L_PMI
-1.0516    12.1939    7.1075     O1
2.4271     8.6229     4.0503     O2
-4.1974    6.8571     5.9808     O3
-2.0302    2.7437     4.8517     O4




















































































































































































-3.1364    9.594      6.5775     RZYGINF
-3.2965    9.3979     6.6252
-3.392     9.235      6.6613
-3.4759    9.1093     6.6538
-3.5636    8.9435     6.6399
-3.6188    8.8393     6.5884
-3.7062    8.6248     6.5397
-3.7923    8.43       6.5117
-3.8567    8.2297     6.5105
-3.8998    8.0727     6.4967
-3.9735    7.9609     6.4484
-4.0017    7.8392     6.4225
-4.0385    7.691      6.386
-4.0685    7.5787     6.3255
-4.0688    7.4952     6.284
-4.0937    7.4303     6.2213
























































































































































































1.7666     9.7518     6.5771     LZYGINF
1.8863     9.6352     6.6151
2.0046     9.5798     6.6505
2.209      9.3685     6.6726
2.2463     9.2785     6.6722
2.3373     9.1601     6.6374
2.377      8.9978     6.6411
2.3949     8.7861     6.5602
2.5098     8.6779     6.5361
2.5949     8.5244     6.4692
2.6287     8.3125     6.4179
2.7181     8.1637     6.4437
2.7932     8.0337     6.4009
2.8788     7.8832     6.3596
2.9156     7.7478     6.24

























































































































































































-2.0302    8.398      6.9561     R-ALV
-2.1675    8.6212     6.9778
-2.3242    8.9445     6.9868
