FSM        992        Phh27stv







































































































































































-3.0723    15.4114    10.2256    RZYGINF
-3.2552    15.2324    10.0283
-3.425     15.0963    9.9376
-3.6771    14.9608    9.9572
-3.8474    14.8068    9.9925
-4.04      14.5275    10.0075
-4.1388    14.3201    10.0481
-4.2509    14.1095    10.0887
-4.2595    13.947     10.1177
-4.272     13.7169    10.1394
-4.2971    13.5134    10.1804
-4.3177    13.3116    10.2082
-4.2975    13.1653    10.2375
-4.3384    12.9615    10.267
-4.3802    12.8014    10.2613
-4.3828    12.6676    10.2625
-4.3645    12.5135    10.2432
-4.3637    12.4132    10.2393
-4.3668    12.2774    10.2545
-4.3909    12.0804    10.2452
-4.4943    11.9528    10.1851
-4.505     11.8454    10.1735
-4.5196    11.705     10.1639

















































































































































































4.1896     16.226     10.3075    LZYGINF
4.3997     16.1554    10.1703
4.6436     16.0078    10.1214
5.009      15.9372    10.1974
5.3352     15.8224    10.2756
5.5456     15.6245    10.2934
5.6619     15.4209    10.3252
5.7391     15.1589    10.4004
5.7763     14.834     10.4369
5.8628     14.5684    10.4985
5.9022     14.3423    10.5666
5.924      14.1574    10.6096
6.0051     14.0007    10.6066
6.0264     13.8806    10.6234
6.0562     13.6127    10.6127
6.1263     13.3771    10.6278
6.1753     13.2589    10.6245
6.2425     13.136     10.6087
6.223      12.9604    10.6027





















































































































































































-1.4583    15.4596    12.2938    R-ALV
-1.7956    15.7153    12.2666
-1.9687    16.0345    12.2479
-2.0632    16.3186    12.2713
-2.1038    16.4705    12.2883
-2.1788    16.7575    12.3541
-2.2497    17.2249    12.373
-2.2812    17.4514    12.3677
-2.2737    17.7837    12.4389
-2.234     18.0531    12.4536
-2.2005    18.3153    12.4564
-2.2395    18.5139    12.4558
-2.2728    18.7938    12.4377
-2.2017    19.0065    12.4488
-2.1697    19.2491    12.4511
-2.1854    19.4251    12.5044
-2.2076    19.6728    12.5072
-2.2149    19.8411    12.4767
-2.2112    20.0437    12.4752
-2.1769    20.1917    12.4436
-2.1642    20.3137    12.4445
-2.1436    20.3931    12.4564
-2.1458    20.4924    12.4397















































