MNHN       1972.355   Phh24stv
-3.7308    11.1867    12.7913
-3.63      11.1419    13.1316
-3.5045    11.0754    13.3686
-3.3528    11.0247    13.5166
-3.1782    10.8802    13.7059
-2.9819    10.8059    13.7509
-2.7494    10.719     13.7745
-2.4761    10.6542    13.7898
-2.3208    10.6346    13.7672
-2.1693    10.6567    13.7071
-1.9695    10.5935    13.6979
-1.7858    10.6789    13.7098
-1.5493    10.6976    13.7318
-1.355     10.7643    13.7393
-1.2359    10.8284    13.6998
-1.1006    10.7518    13.4656
-0.9679    10.6903    13.2358
-0.906     10.712     12.9699
-0.8844    10.6975    12.8628
-0.8841    10.6909    12.7271
-0.8842    10.6738    12.6001
-0.8775    10.6241    12.5262









































































































































































1.0588     10.6203    11.7427    LORBIT
1.3353     10.6704    11.7069
1.5672     10.7221    11.717
1.7706     10.7557    11.7788
1.9299     10.8059    11.829
2.1582     10.9772    12.0317
2.341      11.0775    12.183
2.4747     11.2027    12.3361
2.6206     11.262     12.7941
2.5782     11.2959    13.0783
2.4843     11.247     13.3852
2.3883     11.1762    13.6087
2.1196     11.0334    13.8277
1.9172     10.9075    13.9979
1.7058     10.8331    13.9575
1.4026     10.741     13.9494
1.1751     10.7995    13.8441
0.9545     10.8203    13.7712
0.7155     10.6843    13.8301
0.5253     10.7918    13.7945
0.2845     10.7904    13.8077
-0.0075    10.6751    13.619
-0.1295    10.696     13.413
-0.2782    10.6905    13.1214
-0.2791    10.7403    12.8798
-0.2886    10.6979    12.7055
-0.31      10.653     12.5321













































































































































































-4.6597    11.6281    12.9306    RTEMFOS
-4.7385    11.4994    12.6454
-4.7856    11.3545    12.3861
-4.8276    11.2925    12.1999
-4.8223    11.2001    11.9097
-4.8514    11.0926    11.7117
-4.8392    11.0161    11.4397
-4.8455    10.9001    11.2401
-4.8047    10.7981    10.87
-4.8618    10.6753    10.6931
-4.8299    10.6455    10.4799
-4.8714    10.5782    10.2252
-4.9672    10.5165    10.0367
-5.1428    10.4663    9.7971
-5.3475    10.519     9.6571
-5.5007    10.5815    9.5381
-5.6196    10.6854    9.5207
-5.7756    11.0385    9.515
-6.0863    11.3705    9.5901
-6.1864    11.6881    9.6127
-6.2363    11.9179    9.6384
-6.2772    12.146     9.6617


















































































































































































3.4406     11.7217    13.1636    LTEMFOS
3.511      11.6465    12.8823
3.5761     11.5575    12.6746
3.6181     11.4332    12.4404
3.6498     11.3697    12.2696
3.6875     11.3075    12.1574
3.6974     11.2835    12.0189
3.6986     11.2213    11.8847
3.687      11.1393    11.6686
3.6612     11.0247    11.4065
3.6728     10.8376    11.1832
3.7124     10.8168    10.9798
3.722      10.7232    10.8119
3.7446     10.6659    10.5703
3.8004     10.6482    10.3581
3.8896     10.6343    10.2234
4.0184     10.6429    10.0627
4.182      10.6929    9.9081
4.3734     10.8808    9.8387
4.5218     10.98      9.8129
4.8665     11.4547    9.8117
4.8751     11.6904    9.8637
4.9393     11.8662    9.8833
4.9486     11.9588    9.926
4.9854     12.2352    9.9637















































































































































































0.0864     4.3016     11.5626    OP
0.071      6.3951     11.8674    BA
-0.087     11.5918    11.3172    ST
-0.2445    17.8687    11.5153    IV
-4.0555    6.5392     11.2692    R_PG
-5.7496    9.0529     10.652     R_ZTI
-2.4201    12.4795    12.5584    R_M3D
-2.7678    15.1011    12.6123    R_M12
-2.4681    17.8951    12.8378    R_MP3
-1.8727    19.2316    12.3976    R_PMI
4.2069     6.5115     11.2876    L_PG
5.7202     9.126      10.3922    L_ZTI
2.229      12.5698    12.3976    L_M3D
2.4035     15.3883    12.4585    L_M12
1.9798     17.9514    12.6736    L_MP3
1.376      19.3377    12.1749    L_PMI
0.4296     21.1091    12.5535    O1
-3.5082    10.4084    5.602      O2
5.9289     9.4244     9.9217     O3
-0.9415    2.0014     8.9629     O4




















































































































































































-3.9124    12.7415    10.8401    RZYGINF
-4.0852    12.5994    10.7116
-4.3128    12.4623    10.6121
-4.4292    12.3877    10.6058
-4.6127    12.2857    10.5833
-4.7695    12.1994    10.5974
-4.9591    11.9833    10.6075
-5.0708    11.7467    10.6476
-5.1381    11.589     10.6837
-5.1994    11.4084    10.7299
-5.1979    11.2003    10.7689
-5.2585    10.9849    10.7828
-5.2822    10.6565    10.7702
-5.3151    10.4329    10.772
-5.3671    10.2532    10.7769
-5.3679    10.0825    10.7841
-5.4618    9.8457     10.7824
-5.5707    9.6953     10.7742
-5.6447    9.5737     10.7244
-5.6376    9.4023     10.7173
-5.6777    9.2226     10.6954
-5.7051    9.1287     10.6851
-5.7448    9.0894     10.6562

















































































































































































3.7772     12.8103    10.6178    LZYGINF
4.0176     12.6733    10.4641
4.2136     12.5622    10.387
4.5156     12.386     10.3892
4.7248     12.2112    10.4337
4.9068     11.8681    10.5098
4.9855     11.5988    10.5425
5.0117     11.334     10.5558
5.078      11.0331    10.5681
5.0972     10.831     10.5395
5.2081     10.5921    10.5332
5.3556     10.267     10.5333
5.272      10.1043    10.5436
5.2746     9.8951     10.526
5.2335     9.6669     10.5098
5.2234     9.4178     10.501
5.2513     9.2841     10.4762
5.3829     9.1047     10.4279
5.484      9.0419     10.4305
5.5999     9.0528     10.3844




















































































































































































-2.388     12.4815    12.5837    R-ALV
-2.6134    12.922     12.6016
-2.7746    13.3117    12.5658
-2.7595    13.6219    12.6047
-2.7819    13.9368    12.6026
-2.78      14.2911    12.5814
-2.7969    14.4755    12.5983
-2.8613    14.7507    12.5864
-2.746     15.0635    12.6408
-2.7386    15.2704    12.6617
-2.7305    15.5066    12.6494
-2.7783    15.8673    12.7219
-2.6922    16.1306    12.676
-2.6307    16.2879    12.6629
-2.6532    16.5326    12.6403
-2.6268    16.8016    12.7389
-2.6044    17.2471    12.6866
-2.5332    17.4595    12.7748
-2.5043    17.7541    12.7891
-2.4682    17.8308    12.8199




















































































































































































2.2861     12.6817    12.3051    L-ALV
2.4854     13.1023    12.3275
2.5955     13.3686    12.3364
2.6527     13.7061    12.3124
2.5898     14.0885    12.3916
2.5989     14.4229    12.3742
2.5828     14.6954    12.3665
2.5642     15.0972    12.3574
2.4352     15.3953    12.447
2.4292     15.7304    12.4107
2.4293     16.1022    12.4599
2.3324     16.4028    12.4036
2.2991     16.6354    12.4441
2.3062     16.8661    12.5215
2.3244     17.0757    12.5395
2.2325     17.3483    12.5447
2.1449     17.5767    12.596
2.1524     17.7503    12.5384
2.1112     17.8669    12.5628
2.0328     17.9602    12.6483
