BPI        M3073      Tod28stv
13.356     16.5679    10.4348
13.5198    16.612     10.3724
13.7616    16.779     10.1805
13.9847    16.9837    10.0149
14.1116    17.075     9.908
14.1879    17.1828    9.805
14.3198    17.2713    9.6656
14.3704    17.3317    9.5181
14.4365    17.4119    9.3217
14.44      17.4317    9.1875
14.488     17.4767    8.9698



























































































































































9.0009     15.247     7.7161     RORBIT
8.5162     15.2975    7.8102
8.2315     15.5184    7.923
8.114      15.7523    7.914
7.8985     16.0344    8.1724
7.8437     16.1623    8.3432
7.8345     16.263     8.508
7.7895     16.392     8.7072
7.7208     16.4222    8.8405
7.7398     16.4982    9.0548
7.838      16.5298    9.3713
8.0241     16.3236    9.6124
8.2058     16.2099    9.7776
8.4581     16.111     9.9114
8.7172     16.036     10.0179
8.9024     15.9816    10.0515
9.0849     15.9522    10.069
9.2755     15.948     10.0671
9.4143     15.958     10.0624
9.585      15.9987    10.1194
9.9505     15.9594    10.1032
10.1274    15.9587    10.0122
10.2418    15.9326    9.7716
10.2961    15.7972    9.4573
10.3469    15.699     9.2762
10.3755    15.5954    9.1366
10.4784    15.4324    9.0501













































































































































































12.7754    15.3144    7.5385     LORBIT
13.0148    15.3221    7.5157
13.2243    15.4579    7.5418
13.3974    15.5365    7.5879
13.4855    15.629     7.6499
13.525     15.6761    7.6852
13.6255    15.7871    7.7402
13.7855    15.9375    7.9089
13.8851    16.0463    7.9966
13.9722    16.2703    8.227
13.9707    16.3689    8.3286
13.9765    16.5157    8.5905
13.91      16.6368    8.805
13.9322    16.6939    9.076
13.9488    16.666     9.3626
13.9598    16.6091    9.5578
13.7701    16.5036    9.7079
13.5855    16.3791    9.9051
13.4146    16.3116    10.0119
13.2602    16.21      10.0955
13.0019    16.1099    10.206
12.7771    16.0678    10.2324
12.5889    16.0291    10.175
12.3823    15.9831    10.1774
12.0967    15.9816    10.2046
11.8058    15.9745    10.1816
11.6047    15.9175    10.1473
11.4611    15.9179    9.9338
11.4252    15.8967    9.7367
11.4081    15.8439    9.5668
11.397     15.8162    9.4095
11.4171    15.7723    9.2796
11.4323    15.7564    9.168
11.4267    15.6781    9.0276
11.4423    15.5883    8.8998





































































































































































14.5365    17.4433    8.8511     RTEMFOS
14.7456    17.274     8.6746
14.7812    17.0881    8.3754
14.7573    16.9652    8.1935
14.725     16.832     7.9205
14.7174    16.6646    7.7345
14.6786    16.5399    7.5646
14.6838    16.3965    7.38
14.6698    16.3115    7.173
14.6526    16.1487    6.9855
14.6982    16.0781    6.7098
14.9016    16.0456    6.5242
14.994     16.0332    6.2994
15.0734    15.9756    6.1086
15.1226    15.9895    5.9471
15.2856    16.0671    5.7592
15.4079    16.2264    5.6541
15.5255    16.3829    5.5375
15.5424    16.5424    5.5054
15.6233    16.787     5.4781
15.6898    16.947     5.4405
15.6807    17.1902    5.487


















































































































































































14.629     17.3673    8.7981     LTEMFOS
14.7577    17.2618    8.6428
14.7826    17.1533    8.3658
14.7568    16.9621    8.104
14.6919    16.7854    7.8972
14.6722    16.5995    7.6651
14.6699    16.4958    7.5325
14.6163    16.2983    7.346
14.5906    16.1622    7.1873
14.6193    16.0822    6.9619
14.6787    16.0475    6.726
14.928     16.0112    6.4361
15.0399    15.9666    6.1844
15.0753    15.9587    6.0322
15.179     16.026     5.8505
15.3396    16.1413    5.6759
15.514     16.2995    5.5414
15.556     16.5096    5.5035
15.5877    16.6704    5.4852
15.6626    16.8062    5.4749
15.6497    16.9997    5.4748
15.6973    17.2045    5.484


















































































































































































10.6023    9.5506     9.1665     OP
10.8819    11.6255    9.0034     BA
11.2172    16.423     8.3726     ST
11.4023    20.4603    8.6151     IV
7.108      11.0153    8.2077     R_PG
9999       9999       9999       R_ZTI
8.9808     17.0715    9.5197     R_M3D
9.1782     20.1413    9.4053     R_M12
9.6671     21.4831    9.1988     R_MP3
10.1142    22.0872    8.9768     R_PMI
14.9503    11.1855    9.0655     L_PG
16.1295    13.0682    8.5477     L_ZTI
13.338     16.7495    9.7937     L_M3D
13.5757    19.7364    9.2913     L_M12
13.1625    21.137     9.1657     L_MP3
12.6274    21.7445    9.2234     L_PMI
10.5555    22.2063    7.8716     O1
8.0491     14.6749    2.9835     O2
16.1655    12.2783    7.7662     O3
11.8158    6.9117     7.2095     O4




















































































































































































9999       9999       9999       RZYGINF



















































































































