UWMA       MP 222     Tod27stv
10.1243    24.231     10.1678    R_PMI
14.9024    12.7187    7.2606     L_PG
16.4056    15.0957    7.1074     L_ZTI
13.4377    18.0519    9.0276     L_M3D
13.7293    21.2113    9.4425     L_M12
12.9793    23.7945    9.8224     L_MP3
12.3643    24.1642    10.0446    L_PMI
12.1786    24.2323    8.89       O1
7.8013     17.4123    2.6577     O2
16.2768    14.9124    6.405      O3
12.6266    9.3526     4.5342     O4




















































































































































































7.4848     18.9967    8.2332     RZYGINF
7.1837     18.8453    8.1291
7.0568     18.8296    8.068
6.8737     18.76      8.0055
6.6379     18.665     7.9641
6.4802     18.534     7.9631
6.3212     18.396     7.9296
6.1646     18.2954    7.899
6.0635     18.1408    7.8942
5.934      17.8889    7.8858
5.8359     17.6252    7.8558
5.861      17.3878    7.8935
5.8906     17.126     7.9161
5.8681     16.8085    7.933
5.8201     16.5774    7.895
5.8058     16.389     7.8322
5.7011     16.1674    7.6835
5.7346     16.0484    7.5596
5.7202     15.8646    7.4573
5.681      15.7445    7.3784
5.6245     15.5757    7.3155
5.5874     15.5048    7.2424
5.5205     15.4205    7.1026

















































































































































































15.0339    18.5339    8.1156     LZYGINF
15.2549    18.45      8.0388
15.4402    18.4566    8.0094
15.5795    18.3707    7.9903
15.7656    18.2199    7.958
15.9271    17.9747    7.9304
15.9949    17.8023    7.9241
16.0371    17.6127    7.9194
16.0394    17.4024    7.8913
16.0525    17.2409    7.8945
16.0252    17.0858    7.8975
16.0466    16.8591    7.8922
16.0769    16.6737    7.8931
16.0811    16.4152    7.8698
16.1249    16.2084    7.8269
16.1675    16.0365    7.7905
16.2024    15.8574    7.7126
16.2422    15.7451    7.6469
16.3096    15.6218    7.5586
16.3352    15.515     7.4452
16.3933    15.4041    7.3595
16.409     15.2116    7.2305
16.3933    15.087     7.1107

















































































































































































8.8601     18.0558    9.0637     R-ALV
8.6648     18.3676    9.1082
8.5516     18.9364    9.1455
8.4213     19.2803    9.2191
8.5137     19.6619    9.2768
8.5044     19.8766    9.3711
8.509      20.2066    9.4038
8.517      20.4489    9.4301
8.5298     20.7521    9.4656
8.6328     21.0379    9.5354
8.8425     21.4204    9.6614
8.817      21.8015    9.7207
8.8652     22.1954    9.7324
9.0344     22.4245    9.7688
9.1153     22.6814    9.8218
9.1362     22.9279    9.8792
9.2212     23.0948    9.9483
9.3101     23.361     9.9304
9.3868     23.5607    9.9266
9.491      23.7207    10.0561




















































































































































































13.4122    18.1029    9.0833     L-ALV
13.6456    18.3161    9.1189
13.7436    18.6569    9.0787
13.8189    18.936     9.1079
13.9605    19.1875    9.1418
13.9788    19.4124    9.1714
13.9552    19.8454    9.1884
13.9684    20.1203    9.303
13.9921    20.3848    9.2714
14.0107    20.5522    9.2907
14.0236    20.8191    9.392
13.832     21.3563    9.3537
13.7434    21.7419    9.3982
13.6862    21.9152    9.3857
13.7047    22.1421    9.5219
13.4614    22.4321    9.6389
13.3956    22.8624    9.6336
13.3076    23.1014    9.6573
13.2425    23.3827    9.679
13.1973    23.5059    9.7816
13.1341    23.6946    9.789
13.0249    23.8654    9.8064
