UWMA       GV4040     Phg1stv
29.5413    -9.365     6.5854     RORBIT
29.5668    -9.5888    6.5604
29.5599    -9.8293    6.5361
29.5663    -10.066    6.5494
29.5917    -10.2079   6.5688
29.552     -10.3432   6.6443
29.5201    -10.4903   6.6807
29.4606    -10.5921   6.787
29.3949    -10.6686   6.8693
29.3538    -10.7712   7.0128
29.2738    -10.8766   7.258
29.2279    -10.943    7.4274
29.1811    -10.849    7.5829
29.1398    -10.778    7.8314
29.16      -10.7394   7.9997
29.167     -10.6268   8.0853
29.1541    -10.523    8.2238
29.1339    -10.4192   8.2686
29.0745    -10.2123   8.362
29.0307    -10.0352   8.385
28.9958    -9.8861    8.4668
28.9632    -9.7599    8.5539
28.9112    -9.5946    8.5813
28.8431    -9.4423    8.5942
28.7611    -9.2915    8.6305
28.6753    -9.1305    8.6089
28.6231    -8.968     8.5921
28.5597    -8.7723    8.5328
28.5205    -8.6305    8.384
28.5464    -8.5073    8.2227
28.5714    -8.4508    8.1418
28.6021    -8.3971    7.9562
28.6497    -8.3704    7.8309
28.676     -8.3816    7.7375
28.7317    -8.32      7.6026





































































































































































28.0326    -6.3151    6.9464     LORBIT
27.9126    -6.1069    6.9553
27.7561    -6.024     6.949
27.613     -5.9101    7.0077
27.4777    -5.7979    7.032
27.3024    -5.7102    7.1486
27.1296    -5.6546    7.3021
26.989     -5.6489    7.437
26.9019    -5.6196    7.5619
26.8192    -5.6337    7.7623
26.7346    -5.6369    7.8853
26.7235    -5.6961    8.0469
26.7695    -5.783     8.285
26.8436    -5.8989    8.4473
26.9146    -6.0473    8.568
27.0151    -6.1458    8.7056
27.1245    -6.3122    8.7884
27.2428    -6.3986    8.751
27.3762    -6.5667    8.8567
27.4666    -6.6489    8.8434
27.5911    -6.8338    8.839
27.7262    -6.9986    8.8085
27.8173    -7.1668    8.8099
27.8722    -7.3696    8.8449
27.9682    -7.6059    8.6581
28.1141    -7.7685    8.5133
28.1936    -7.8179    8.2539
28.2645    -7.8372    8.1194
28.345     -7.827     7.9317
28.3545    -7.8019    7.7822
28.3495    -7.772     7.6881









































































































































































9999       9999       9999       RTEMFOS







































































































































































































25.9646    -5.5314    7.7215     LTEMFOS
26.0436    -5.425     7.4583
26.1766    -5.2799    7.2241
26.2537    -5.2124    7.0916
26.3484    -5.1682    6.9731
26.4496    -5.113     6.8301
26.5754    -5.0435    6.5991
26.7426    -4.9489    6.4961
26.806     -4.8899    6.3014
26.8557    -4.8037    6.1667
26.8956    -4.7225    6.0122
26.879     -4.6427    5.8471
26.8482    -4.5684    5.7021
26.7467    -4.4739    5.5415
26.5799    -4.374     5.4089
26.443     -4.4496    5.3712
26.3197    -4.4251    5.3181
26.1755    -4.4462    5.3084
26.0651    -4.4676    5.2958
25.9371    -4.5001    5.3031
25.8299    -4.4944    5.2707
25.7544    -4.5004    5.235
25.611     -4.5174    5.2182

















































































































































































9999       9999       9999       OP
