NMNH       354990     Tg10stv
12.8276    9.7426     13.2237
12.6537    9.8249     13.2119
12.5971    9.9        13.1477
12.4844    10.1993    13.0534
12.3673    10.4261    13.095
12.1849    10.5276    13.0665
12.1928    10.7264    12.9795
12.1322    10.8304    12.9072
12.1223    10.8843    12.8196
12.1722    10.9782    12.6416
12.2009    11.0058    12.5514
12.2748    11.0564    12.4289
12.3065    11.0897    12.3126
12.3571    11.0846    12.2249



































































































































































10.3414    14.0957    13.1039    RTEMFOS
10.3045    14.1498    12.8597
10.358     14.3298    12.6472
10.3114    14.3786    12.3646
10.3639    14.49      12.1065
10.3005    14.5114    11.876
10.3023    14.5347    11.6995
10.2807    14.5789    11.5588
10.2897    14.6475    11.3816
10.3111    14.7091    11.2101
10.3521    14.8052    11.0609
10.3098    14.8858    10.9226
10.3275    15.0555    10.7761
10.3003    15.2377    10.6586
10.3056    15.3845    10.6063
10.3252    15.5981    10.583
10.3936    15.7684    10.5737























































































































































































15.0372    10.1551    13.4221    LTEMFOS
15.0773    10.1444    13.2622
15.1389    10.1256    13.1144
15.2051    10.0998    12.967
15.2804    10.1102    12.8142
15.3527    10.1163    12.6748
15.3767    10.0687    12.4949
15.4274    10.0756    12.3734
15.4684    10.0936    12.2307
15.48      10.0517    12.0685
15.538     10.0882    11.9248
15.5314    10.0543    11.7994
15.5778    9.987      11.5317
15.6517    9.9547     11.296
15.7205    9.9618     11.21
15.8053    9.9756     11.0781
15.9943    10.0104    10.9157
16.1713    9.9715     10.7872
16.2931    9.9783     10.71
16.4468    10.0619    10.7191
16.5889    10.1053    10.7237
16.7486    10.1651    10.7418
16.8699    10.2334    10.8037
16.9656    10.2469    10.8358
















































































































































































10.3085    9.8424     11.5332    OP
11.7674    11.0856    11.9651    BA
14.6165    14.0246    12.1296    ST
17.3716    17.2082    12.8448    IV
9.3763     13.5497    11.3939    R_PG
9.6725     15.6196    10.7791    R_ZTI
13.3841    15.3868    13.2171    R_M3D
14.8243    17.4621    13.149     R_M12
16.6059    18.3667    13.1991    R_MP3
17.2221    18.5959    13.1819    R_PMI
14.2889    8.6076     12.0645    L_PG
16.4964    9.1487     11.5283    L_ZTI
15.9039    13.1826    13.6773    L_M3D
17.718     14.6787    13.62      L_M12
18.7791    16.6006    13.5648    L_MP3
18.9497    17.2506    13.3836    L_PMI
18.8377    17.6575    12.4856    O1
13.2446    15.3139    6.8712     O2
16.2763    8.8203     11.0403    O3
10.3593    7.8518     9.6201     O4




















































































































































































12.3298    16.9556    11.243     RZYGINF
12.1926    16.9515    11.1615
11.9384    16.9321    11.1269
11.6636    16.8808    11.1635
11.5766    16.8481    11.1417
11.3997    16.7894    11.1404
11.1708    16.8197    11.0953
10.9241    16.7294    11.0541
10.8273    16.6457    10.9781
10.7221    16.585     10.9341
10.6199    16.5033    10.8801
10.4711    16.3451    10.8714
10.3532    16.2531    10.849
10.2225    16.2021    10.8246
10.0807    16.1347    10.7977
9.9531     16.024     10.79
9.8881     15.9634    10.7888
9.7868     15.889     10.7836
9.6817     15.7624    10.7682
9.6574     15.6517    10.7693
9.6537     15.57      10.7838



















































































































































































17.4651    11.7543    12.0575    LZYGINF
17.4913    11.6074    11.9969
17.5946    11.4521    11.9973
17.6126    11.2157    11.9904
17.5664    10.9709    12.0319
17.5186    10.7566    12.0213
17.449     10.5984    12.0576
17.4113    10.4788    12.0992
17.3472    10.2936    12.0555
17.2247    10.15      11.9707
17.1492    10.0255    11.851
17.044     9.8678     11.7893
16.9613    9.7389     11.6857
16.8345    9.6594     11.6877
16.7754    9.4881     11.6496
16.58      9.3209     11.5779
16.4558    9.2238     11.5595
16.384     9.1342     11.5343






















































































































































































13.3521    15.4696    13.1844    R-ALV
13.3954    15.7546    13.2259
13.4691    15.9333    13.2347
13.5547    16.1118    13.1291
13.687     16.3206    13.1412
13.871     16.5585    13.0238
14.0007    16.7391    13.0642
14.23      17.0359    12.9557
14.3468    17.138     12.9965
14.4195    17.1882    13.078
14.6766    17.4394    13.0359
14.8952    17.6227    13.0622
15.1287    17.7839    13.0534
15.3543    17.9526    13.0288
15.607     18.0219    13.0651
15.816     18.1677    13.1065
16.0022    18.3254    13.2248
16.1448    18.3935    13.3041
16.3943    18.5682    13.2255
16.5439    18.6115    13.1064




















































































































































































15.7754    13.1482    13.5611    L-ALV
16.146     13.2178    13.6036
16.3321    13.3279    13.601
