MNHN       1904.161   Tg25stv
1.0181     6.9451     12.3424
0.7205     7.1047     12.1188
0.6159     7.1703     11.8405
0.611      7.1823     11.542
0.6554     7.1774     11.3917
0.6745     7.1571     11.3096
0.688      7.1256     11.2293










































































































































































-2.7649    8.6651     12.0816    RTEMFOS
-2.8312    8.6901     11.871
-2.8886    8.6834     11.6784
-2.9568    8.6804     11.5217
-3.0456    8.7885     11.2701
-3.1081    8.7362     11.0576
-3.142     8.7317     10.8062
-3.1641    8.7069     10.5875
-3.1786    8.7126     10.3162
-3.193     8.6286     10.1835
-3.221     8.5703     9.9774
-3.2996    8.6258     9.7389
-3.3841    8.6955     9.5027
-3.471     8.8049     9.3514
-3.5437    8.8669     9.2408
-3.5962    9.0388     9.1576
-3.6356    9.1587     9.1319
-3.6792    9.3298     9.1515






















































































































































































3.2954     8.3417     12.0525    LTEMFOS
3.3582     8.3589     11.8709
3.4198     8.378      11.712
3.4676     8.3911     11.549
3.5219     8.4093     11.39
3.584      8.3923     11.2256
3.6356     8.4148     11.0286
3.6562     8.3473     10.8744
3.692      8.281      10.6289
3.6915     8.2512     10.3844
3.7054     8.2293     10.1429
3.717      8.2057     9.9554
3.7436     8.1859     9.7987
3.8051     8.1945     9.5765
3.8658     8.2401     9.3453
3.9483     8.2518     9.1393
4.0479     8.3779     8.9888
4.1347     8.5349     8.9137
4.1939     8.6912     8.8813
4.2659     8.8101     8.8788




















































































































































































0.4894     5.258      12.1758    OP
0.651      7.0315     11.9432    BA
0.6717     11.2514    10.9632    ST
0.8392     15.318     10.2838    IV
-2.9104    7.2849     11.4936    R_PG
-3.871     9.1052     10.9412    R_ZTI
-0.9453    11.0286    11.466     R_M3D
-1.295     13.5167    11.6561    R_M12
-0.6498    15.6579    11.1402    R_MP3
-0.271     16.4154    10.8112    R_PMI
4.0964     7.2581     11.8007    L_PG
5.1722     8.7966     10.6878    L_ZTI
2.5918     11.0355    11.4717    L_M3D
2.7959     13.4519    11.5228    L_M12
2.234      15.7559    10.9524    L_MP3
1.988      16.4214    10.6635    L_PMI
1.3908     17.3928    10.3424    O1
-2.0237    9.8103     6.2804     O2
5.1467     8.3448     10.1074    O3
0.7831     2.6969     9.9826     O4




















































































































































































-2.2461    11.9315    10.5414    RZYGINF
-2.4347    11.8719    10.478
-2.6639    11.7636    10.4629
-2.8392    11.5475    10.6453
-3.0175    11.4078    10.7121
-3.1714    11.1804    10.8105
-3.3127    10.9613    10.836
-3.3552    10.7113    10.8391
-3.426     10.5201    10.8427
-3.4663    10.4204    10.8554
-3.5231    10.2223    10.8817
-3.5716    10.0067    10.8841
-3.6499    9.9021     10.8534
-3.7112    9.6652     10.8822
-3.7247    9.4919     10.9183
-3.7784    9.3937     10.9442
-3.8531    9.2452     10.9637
-3.8946    9.2011     10.9317
-3.9386    9.138      10.8912





















































































































































































3.92       11.7073    10.467     LZYGINF
4.1619     11.5458    10.4226
4.296      11.4442    10.4451
4.4893     11.263     10.5876
4.5697     11.01      10.7495
4.6515     10.8053    10.8607
4.6655     10.4697    10.8849
4.7808     10.2788    10.8759
4.8834     9.991      10.8081
4.9324     9.7972     10.7395
4.9337     9.6703     10.7343
4.9773     9.4632     10.7264
5.0042     9.2487     10.7486
5.027      9.0695     10.7807
5.1234     9.0175     10.747
5.1826     8.8019     10.6901
























































































































































































-0.8927    11.0771    11.5603    R-ALV
-1.0509    11.3188    11.6234
-1.2075    11.8006    11.7887
-1.2657    12.0655    11.8483
-1.3158    12.2854    11.7989
-1.3773    12.5205    11.765
-1.3852    12.6901    11.7785
-1.3223    12.8574    11.8327
-1.3477    13.0649    11.7706
-1.3248    13.2059    11.7545
-1.322     13.5052    11.6222
-1.2936    13.7364    11.5922
-1.3108    13.9592    11.5206
-1.293     14.2256    11.4732
-1.1567    14.444     11.4201
-1.0166    14.8876    11.1863
-0.9154    15.1458    11.2108
-0.8448    15.3951    11.1308
-0.7732    15.501     11.0486
-0.7317    15.6637    10.9822




















































































































































































2.3594     10.8819    11.322     L-ALV
2.6259     11.2288    11.4278
2.7432     11.6877    11.5512
2.8341     12.1236    11.6439
2.8687     12.3079    11.7833
2.9222     12.5041    11.7249
2.9644     12.7968    11.6236
2.9572     13.0292    11.5069
2.8929     13.4721    11.4013
2.9046     13.7582    11.3116
2.8865     14.1062    11.2589
2.8103     14.3004    11.1905
2.6843     14.6348    11.1061
2.6188     14.8991    11.0144
2.538      15.1251    10.9686
2.4659     15.3552    10.8527
2.4074     15.5428    10.8507
2.3672     15.6541    10.8415
2.3061     15.8778    10.8249
