NMNH       269798     Pygn5stv
-1.5153    5.3554     6.9164
-1.2506    5.3325     7.1059
-1.0909    5.2777     7.2736
-0.7395    5.231      7.3693
-0.475     5.132      7.4177
-0.1305    5.0148     7.4797
0.1404     4.9223     7.4914
0.4825     4.8322     7.4667
0.7402     4.7694     7.3519
0.9665     4.8614     7.0215
1.059      4.8101     6.8135
1.0774     4.8442     6.5215

















































































































































































4.0878     4.764      5.1723     LORBIT
4.3449     4.8629     5.1935
4.6003     4.947      5.2646
4.7942     5.0649     5.4227
4.9016     5.1923     5.7056
5.019      5.3012     6.0598
5.0183     5.3558     6.3038
5.0163     5.3918     6.4882
5.0139     5.4065     6.7225
4.9537     5.4165     6.9216
4.7996     5.4104     7.0446
4.5625     5.3414     7.2596
4.2539     5.302      7.3996
3.9519     5.204      7.5642
3.7155     5.1265     7.5972
3.3965     5.0588     7.5574
3.0828     4.9968     7.5516
2.6928     4.9408     7.4447
2.4198     4.8417     7.2978
2.2854     4.7882     7.0663
2.2555     4.8131     6.8224
2.277      4.8494     6.688
2.2772     4.9005     6.5279

















































































































































































-1.9433    5.835      6.8681     RTEMFOS
-1.9697    5.744      6.5924
-1.9859    5.6738     6.2834
-1.9803    5.599      5.9676
-1.9772    5.4678     5.722
-1.9626    5.483      5.4512
-1.9264    5.4006     5.1817
-1.9034    5.5153     4.8445
-1.9493    5.5848     4.633
-1.9669    5.7154     4.5371
-1.9973    5.8987     4.4728
-2.0585    6.0801     4.5234
-2.0805    6.2615     4.554
























































































