UWMA       MP 224     Ppb5stv























9.085      16.3965    5.3909     RORBIT
8.8045     16.4376    5.4286
8.6179     16.5104    5.4944
8.4305     16.5821    5.5743
8.2832     16.6831    5.6709
8.1124     16.7944    5.8285
7.9781     16.935     6.0518
7.9165     17.0228    6.2242
7.8282     17.1045    6.4891
7.8807     17.2022    6.8052
7.958      17.2083    7.0302
8.0469     17.2075    7.2163
8.2297     17.1687    7.3176
8.3925     17.1486    7.5184
8.5569     17.1492    7.6828
8.7773     17.1214    7.7222
8.9357     17.0914    7.7622
9.1995     17.0856    7.8318
9.4173     16.9818    7.9164
9.5967     16.9337    7.9393
9.7051     16.9186    7.9235
9.8181     16.9191    7.916
9.9487     16.9075    7.8825
10.0571    16.8906    7.7864
10.1291    16.8639    7.6843
10.1556    16.8384    7.5595
10.2903    16.5974    7.2938
10.2911    16.5264    7.1452
10.3332    16.4508    7.0055
10.281     16.4893    6.8587
10.2861    16.4344    6.6843
10.2723    16.3957    6.5683
10.2495    16.3537    6.4978
10.2261    16.3298    6.3583






































































































































































12.1898    16.5839    5.306      LORBIT
12.3897    16.6202    5.2774
12.5098    16.7843    5.3414
12.6497    16.8729    5.3881
12.742     16.9937    5.4565
12.8521    17.099     5.5442
13.0032    17.1802    5.7025
13.0614    17.282     5.8309
13.179     17.3302    6.0085
13.2494    17.4219    6.2127
13.2816    17.4838    6.3649
13.3272    17.5479    6.5732
13.2767    17.5533    6.7204
13.2306    17.5677    6.8859
13.1207    17.511     7.1304
12.971     17.492     7.2575
12.8548    17.4761    7.3514
12.6927    17.4079    7.5326
12.5249    17.3213    7.6495
12.2907    17.3043    7.6904
12.0781    17.2169    7.7192
11.8481    17.1119    7.7518
11.6202    17.0692    7.7896
11.4432    16.9355    7.8048
11.1132    16.7589    7.6682
11.0085    16.7105    7.4139
10.9939    16.6336    7.1179
10.984     16.6276    6.8911
11.0068    16.5808    6.6915
11.0511    16.5758    6.586
11.1281    16.4371    6.3811
11.1709    16.4068    6.2195








































































































































































7.4165     17.5197    6.6697     RTEMFOS
7.3722     17.3893    6.4967
7.3893     17.3092    6.2954
7.3447     17.2024    6.1201
7.3229     17.1347    5.943
7.318      17.0653    5.7592
7.312      17.02      5.6175
7.3024     16.929     5.4319
7.2782     16.8494    5.2505
7.1954     16.7992    5.0772
7.1544     16.7695    4.8826
7.0725     16.7158    4.7
6.9511     16.7536    4.5419
6.8045     16.8243    4.3638
6.7141     17.0081    4.3195
6.6659     17.1107    4.3206
