TMP        AZ 1033    Phu119stv










































































15.1471    7.7159     11.6622    RORBIT
14.8524    7.7611     11.7015
14.5699    7.8277     11.7286
14.2545    8.0379     11.85
14.0711    8.2209     11.9792
13.9523    8.3766     12.0841
13.8306    8.5364     12.259
13.8062    8.6595     12.4473
13.7785    8.7438     12.6437
13.8262    8.8001     12.8824
13.8887    8.7403     13.1368
13.9549    8.6693     13.3797
14.0598    8.5915     13.5482
14.332     8.414      13.7959
14.6068    8.2796     13.9013
14.905     8.1937     13.9226
15.1166    8.1502     13.8987
15.3384    8.1563     13.8245
15.517     8.1435     13.823
15.7429    8.1237     13.8772
15.9696    8.1383     13.9047
16.1562    8.1773     13.8219
16.2747    8.1192     13.6946
16.428     8.0872     13.3651
16.4971    8.0863     13.1636
16.515     8.0579     13.0432
16.5518    7.9911     12.954
16.5389    7.9431     12.8662












































































































































































18.5075    7.7635     11.7069    LORBIT
18.9154    7.7715     11.7374
19.1746    7.8843     11.7938
19.3401    7.9937     11.85
19.4876    8.1597     11.9346
19.6583    8.347      12.0838
19.8207    8.4695     12.2596
19.8834    8.6754     12.5801
19.962     8.7248     12.7663
19.8875    8.7271     13.0347
19.8623    8.6783     13.1835
19.6134    8.5706     13.4784
19.4457    8.4125     13.7049
19.1777    8.3299     13.7752
19.0655    8.2236     13.868
18.849     8.1681     13.894
18.6375    8.1477     13.8694
18.3991    8.1062     13.8617
18.0547    8.0967     13.9105
17.8354    8.0778     13.9804
17.514     8.0692     13.9074
17.3607    8.0844     13.6411
17.2672    8.0933     13.3675
17.1826    8.0453     13.1603
17.1295    8.0187     12.9847
17.14      7.9912     12.8855
17.1408    7.9001     12.7663
17.2023    7.8694     12.6479












































































































































































13.3972    9.2319     12.266     RTEMFOS
13.3331    9.0819     12.0046
13.3461    8.9408     11.8349
13.3564    8.7883     11.6127
13.3642    8.6446     11.3703
13.3732    8.4905     11.2009
13.386     8.3533     10.988
13.3596    8.1932     10.8453
13.3491    8.0461     10.6794
13.2937    8.0786     10.4479
13.1537    8.2597     10.1161
13.0265    8.5062     9.9702
12.8853    8.7286     9.8973
12.8314    8.8902     9.8837
12.834     8.9862     9.8924
12.8039    9.0336     9.8837

































































































