AMNH       99.1/2286  See2stv
1.7149     6.0357     6.1942     LORBIT
1.9787     6.093      6.1583
2.2872     6.175      6.1881
2.487      6.2664     6.3066
2.6228     6.3264     6.4579
2.7814     6.3822     6.6702
2.8845     6.4265     6.9254
2.9345     6.4214     7.1061
2.9759     6.4499     7.3212
3.0791     6.4387     7.4743
3.0032     6.355      7.6847
2.9203     6.2249     7.923
2.8113     6.1075     8.09
2.6571     5.9943     8.2528
2.5206     5.8605     8.3503
2.2741     5.6538     8.5048
1.9957     5.4776     8.5651
1.7456     5.3558     8.5648
1.4302     5.2568     8.525
0.9911     5.0732     8.5059
0.6231     5.0917     8.3105
0.5686     5.1398     8.1459
0.5083     5.3143     7.8748
0.4948     5.463      7.7184
0.4827     5.5572     7.6713















































































































































































-3.6831    6.6354     8.1677     RTEMFOS
-3.8064    6.5957     7.9771
-3.8558    6.6027     7.6593
-3.8775    6.5323     7.4421
-3.918     6.3993     7.1844
-3.9       6.4133     6.8943
-3.8608    6.3736     6.4917
-3.9325    6.477      6.1203
-4.0215    6.532      5.9423
-4.3448    6.7581     5.7474
-4.4624    6.9714     5.7831
-4.5743    7.141      5.8417
-4.6833    7.2846     5.8662



























































































































































































3.3515     6.9532     8.1238     LTEMFOS
3.4281     6.9843     7.8863
3.5013     6.9394     7.7185
3.5111     6.8824     7.5312
3.5205     6.8925     7.2225
3.5247     6.8626     6.9644
3.5162     6.8168     6.6833
3.4836     6.7993     6.4629
3.4933     6.7909     6.1549
3.5494     6.8738     5.9703
3.6575     6.9637     5.7566
3.7732     7.1358     5.6036
3.8786     7.3315     5.5945
3.9834     7.4971     5.6079
4.023      7.6038     5.6384
4.0689     7.6802     5.6916
4.121      7.8348     5.6977























































































































































































0.4855     3.9175     8.9417     OP
0.3681     5.7215     9.3891     BA
0.075      9.4217     8.5705     ST
-0.2       12.5279    8.5856     IV
-3.1354    5.7648     9.2153     R_PG
-4.44      7.6645     8.5993     R_ZTI
-1.6394    9.3601     9.4336     R_M3D
-2.0457    10.7798    9.2962     R_M12
-1.9401    12.5683    9.0132     R_MP3
-1.2228    13.2754    8.8295     R_PMI
3.7143     6.3369     8.8126     L_PG
4.6177     8.4242     8.0059     L_ZTI
1.6772     9.5491     9.2315     L_M3D
1.9499     11.1108    9.0824     L_M12
1.5468     12.8108    8.9004     L_MP3
0.8064     13.431     8.6936     L_PMI
-1.9407    13.4605    9.2773     O1
-3.3661    9.3548     5.3472     O2
4.7676     7.8667     7.6921     O3
-1.0343    2.7915     6.7964     O4




















































































































































































-3.0972    10.2745    8.8245     RZYGINF
-3.2685    10.2728    8.7888
-3.4758    10.162     8.8452
-3.7147    10.0008    8.9273
-3.8656    9.7989     8.9531
-3.965     9.6048     8.9972
-4.0426    9.4193     9.04
-4.0694    9.2139     9.1106
-4.1146    8.9288     9.1006
-4.1278    8.6796     9.0578
-4.2358    8.4937     8.9385
-4.3025    8.3392     8.876
-4.3472    8.1788     8.8111
-4.401     8.011      8.754
-4.4168    7.8909     8.7356
-4.4858    7.7185     8.5964
























































































































































































2.8247     10.666     8.3892     LZYGINF
2.9893     10.6831    8.3386
3.1686     10.7397    8.2554
3.4405     10.6987    8.2777
3.6778     10.5856    8.3032
3.8534     10.438     8.3459
4.0113     10.2771    8.4225
4.1499     10.1241    8.4057
4.173      9.9463     8.4709
4.2347     9.7951     8.4888
4.2419     9.6159     8.5161
4.2783     9.3606     8.5051
4.3266     9.1698     8.4054
4.3906     9.0288     8.3009
4.4558     8.8664     8.2197
4.5109     8.753      8.1612
4.5693     8.6152     8.1122
4.6224     8.39       8.0134






















































































































































































-1.5976    9.3617     9.5213     R-ALV
-1.7398    9.6783     9.4951
-1.8856    9.9302     9.4626
-2.0091    10.2924    9.4127
-2.0564    10.6257    9.371
-2.0726    10.9768    9.3246
-2.0327    11.2497    9.2459
-2.0098    11.4286    9.2147
-1.9623    11.5755    9.1708
-1.9717    11.7578    9.133
-1.9713    12.0699    9.103
-1.9731    12.2765    9.0577
-1.9743    12.4191    9.0386
-1.9537    12.5196    9.0193


























































































































































































1.6962     9.5465     9.2612     L-ALV
1.7827     9.7348     9.2163
1.859      9.9135     9.1849
1.8979     10.0702    9.1138
1.9451     10.2883    9.0057
1.9957     10.4873    9.0451
1.9803     10.7746    9.0419
1.9625     11.019     9.025
1.9278     11.2001    9.0006
1.8508     11.4195    9.0312
1.8235     11.4608    9.084
1.7379     11.8185    8.9842
1.6856     12.0334    8.9493
1.6729     12.2583    8.9044
1.669      12.4198    8.8727
1.66       12.5754    8.844
1.6209     12.7299    8.8158
