TMP        SK 555     Phr5stv































































































































































































9999       9999       9999       L-PM/MAX







































































































































































































13.1058    12.5411    5.5912     ROSTRUM
13.0595    12.6097    5.8379
12.9927    12.6673    6.0586
13.0121    12.7686    6.3536
13.0857    12.8683    6.5775
13.1855    12.9263    6.8051
13.2674    13.0428    7.0265
13.3233    13.1571    7.2132
13.3423    13.2287    7.482
13.3551    13.4409    7.6695
13.3413    13.5343    7.9214
13.3631    13.603     8.0908
13.3255    13.6901    8.2751
13.2676    13.7302    8.4913
13.1654    13.7986    8.7324
13.1204    13.8073    8.9703
13.1904    13.8833    9.1395
13.2728    13.9196    9.3457
13.4137    13.9197    9.503
13.6221    13.9278    9.6328
13.8349    13.9628    9.666
14.0823    13.9294    9.6997
14.4175    13.9166    9.6233
14.7825    13.9547    9.6525
15.0213    13.959     9.6567
15.2563    13.9921    9.5718
15.4544    14.0347    9.6816
15.7476    14.0293    9.7302
16.0083    14.0487    9.717
16.1669    14.0581    9.7071
16.4741    14.0022    9.7238
16.5486    14.0152    9.8067
16.7589    14.0243    9.8836
16.9793    13.9892    10.0464
17.2208    13.9977    10.0898
17.5269    13.9971    10.0934
17.5486    14.0896    10.055
17.8544    13.9595    9.9373
18.0036    13.9325    9.7476
18.0875    13.8746    9.4895
18.0707    13.8374    9.2835
18.0455    13.6999    9.0661
18.0206    13.6822    8.8108
17.9897    13.5766    8.5566
18.0081    13.4842    8.2116
18.0647    13.4086    7.9645
18.1594    13.3543    7.7254
18.3062    13.2992    7.5176
18.551     13.2026    7.3061
18.6996    13.1084    7.1435
18.877     13.0859    6.9624
18.9389    12.9714    6.7883
18.9708    12.9219    6.611
18.9946    12.8571    6.4614
19.0073    12.7903    6.3343
18.9954    12.753     6.2318
















































































































































9999       9999       9999       SUPORB







































































































































































































9999       9999       9999       RORBIT







































































































































































































9999       9999       9999       LORBIT







































































































































































































9999       9999       9999       RTEMFOS







































































































































































































9999       9999       9999       LTEMFOS







































































































































































































9999       9999       9999       OP
9999       9999       9999       BA
15.9111    9.2195     9.4997     ST
15.9852    15.252     6.3366     IV
9999       9999       9999       R_PG
9999       9999       9999       R_ZTI
13.3713    10.8832    9.7351     R_M3D
12.851     13.0779    8.5973     R_M12
13.1394    15.6155    7.1119     R_MP3
13.994     16.8207    6.259      R_PMI
9999       9999       9999       L_PG
9999       9999       9999       L_ZTI
18.2517    10.8926    9.9067     L_M3D
18.6705    13.4189    8.3278     L_M12
18.502     15.8648    7.023      L_MP3
9999       9999       9999       L_PMI
17.9561    19.6673    6.9701     O1
12.851     13.0779    8.5973     O2
18.6705    13.4189    8.3278     O3
12.5965    3.9756     6.3252     O4




















































































































































































9999       9999       9999       RZYGINF







































































































































































































9999       9999       9999       LZYGINF







































































































































































































13.3864    10.8663    9.7839     R-ALV
13.1544    11.3026    9.5946
12.9752    11.5474    9.4893
12.9223    11.8956    9.1056
12.9004    12.3573    8.9911
12.8332    12.6298    8.8872
12.82      12.8212    8.7381
12.8517    13.1491    8.5842
12.8768    13.3944    8.5001
12.9158    13.5983    8.3415
12.9627    13.7805    8.2561
12.9667    13.967     8.0525
13.026     14.1287    7.9168
13.0704    14.3875    7.7713
13.047     14.5482    7.6629
13.0137    14.7483    7.5731
13.0034    14.9596    7.4616
13.0008    15.1145    7.3344
13.017     15.3184    7.198
13.0174    15.4136    7.0345
13.1431    15.6243    7.0026



















































































































































































18.3716    10.9601    9.8197     L-ALV
18.4924    11.2277    9.6614
18.5823    11.5149    9.4909
18.6297    11.758     9.3448
18.6545    12.0672    9.1941
18.6611    12.5374    9.0133
18.6454    12.7192    8.8087
18.7214    13.0498    8.7183
18.6285    13.4526    8.4979
18.5752    13.7756    8.4178
18.5515    14.0079    8.1879
18.505     14.345     8.0006
18.4541    14.5806    7.8642
18.4764    14.9206    7.7247
18.4721    15.1196    7.6302
18.5177    15.4718    7.3958
18.5137    15.5966    7.2238
18.5105    15.7716    7.0873
18.499     15.9042    6.9181
