AMNH       81811      phu3.ams1




































































0.6448     0.363      -0.6693    SUPORB
0.6448     0.3643     -0.6735
0.6415     0.3666     -0.6879
0.6389     0.3662     -0.697
0.6343     0.3712     -0.7083
0.6312     0.3735     -0.721
0.6248     0.3751     -0.7321
0.6143     0.3803     -0.7467
0.5981     0.3897     -0.7522
0.584      0.3873     -0.7567
0.5754     0.3862     -0.759
0.5605     0.3815     -0.7614
0.5511     0.3831     -0.7636
0.5383     0.3889     -0.768
0.5296     0.3969     -0.772
0.5165     0.4011     -0.7737
0.5083     0.4049     -0.7745
0.5014     0.4083     -0.7738
0.4911     0.412      -0.7718
0.4831     0.4107     -0.7693
0.4756     0.4111     -0.7659
0.4655     0.4114     -0.7598
0.4557     0.409      -0.7515
0.4464     0.4107     -0.7512
0.4451     0.4185     -0.7565
0.4452     0.4305     -0.7657
0.4444     0.4358     -0.7675
0.4389     0.4473     -0.7727
0.4332     0.4595     -0.7772
0.4326     0.4646     -0.779
0.4218     0.4758     -0.7796
0.4038     0.4906     -0.7755
0.3934     0.5087     -0.7724
0.3882     0.52       -0.7696
0.3796     0.5359     -0.7646
0.3706     0.5518     -0.7558
0.3655     0.5608     -0.7494
0.3546     0.5728     -0.7351
0.3539     0.5811     -0.7245
0.3462     0.582      -0.7147
0.3446     0.5825     -0.7103
0.3413     0.5849     -0.701
0.3392     0.5855     -0.6879
0.3381     0.5881     -0.6797
0.3384     0.5893     -0.6764



























































































































































0.4689     0.4107     -0.6567    RORBIT
0.4694     0.4116     -0.6665
0.4713     0.4103     -0.6766
0.4749     0.4076     -0.6879
0.4761     0.4037     -0.6983
0.4794     0.3997     -0.7087
0.489      0.3964     -0.7146
0.4939     0.3883     -0.715
0.5051     0.3827     -0.7164
0.5092     0.3795     -0.7124
0.5207     0.3714     -0.7164
0.5313     0.3661     -0.7176
0.5469     0.361      -0.7187
0.5536     0.3586     -0.7168
0.566      0.3557     -0.7139
0.5798     0.3493     -0.7074
0.5863     0.3496     -0.7035
0.5885     0.3511     -0.6991
0.5924     0.3531     -0.6939
0.5956     0.3577     -0.6854
0.5979     0.3602     -0.6797
0.5968     0.3631     -0.6693
0.592      0.3647     -0.6586
0.5792     0.3625     -0.6409
0.57       0.3633     -0.6354
0.5563     0.3632     -0.6279
0.5474     0.3653     -0.6235
0.541      0.3668     -0.6206
0.5341     0.3699     -0.6188
0.5266     0.3787     -0.6177










































































































































































